using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=18, a_nnz=4.84514, ever_a_nnz=8.4737, b_nnz=40.478, uni_search=21.4038, uni_subSolve=1.16304, uni_maintain_time=0.177574, bi_search=128.984, bi_subSolve=0.39407, bi_maintain_time=0.238048, admm_maintain=0.138767, area4=-nan, infea=11.7165, d_obj=16991.2., heldout Acc=0.996049, overall time=2884.46
i=19, a_nnz=4.92959, ever_a_nnz=8.67745, b_nnz=42.6101, uni_search=21.8481, uni_subSolve=1.14191, uni_maintain_time=0.171029, bi_search=144.91, bi_subSolve=0.554636, bi_maintain_time=0.331073, admm_maintain=0.326377, area4=-nan, infea=8.84128, d_obj=11670.9., heldout Acc=0.995062 (1/50), overall time=3053.77
i=20, a_nnz=5.00332, ever_a_nnz=8.87929, b_nnz=44.7885, uni_search=22.5399, uni_subSolve=1.23857, uni_maintain_time=0.185744, bi_search=139.197, bi_subSolve=0.573169, bi_maintain_time=0.317142, admm_maintain=0.164281, area4=-nan, infea=8.4248, d_obj=10255.8., heldout Acc=0.994074 (2/50), overall time=3218.02
i=21, a_nnz=5.05528, ever_a_nnz=9.06262, b_nnz=46.805, uni_search=13.2409, uni_subSolve=0.65644, uni_maintain_time=0.147896, bi_search=136.329, bi_subSolve=0.567581, bi_maintain_time=0.321386, admm_maintain=0.166673, area4=-nan, infea=8.69286, d_obj=7355.29., heldout Acc=0.995309 (3/50), overall time=3369.47
i=22, a_nnz=5.13296, ever_a_nnz=9.23797, b_nnz=48.8218, uni_search=10.295, uni_subSolve=0.480962, uni_maintain_time=0.158731, bi_search=148.376, bi_subSolve=0.64899, bi_maintain_time=0.355952, admm_maintain=0.491445, area4=-nan, infea=6.83547, d_obj=6121.26., heldout Acc=0.993333 (4/50), overall time=3530.31
i=23, a_nnz=5.20133, ever_a_nnz=9.40936, b_nnz=50.8374, uni_search=23.1532, uni_subSolve=1.22665, uni_maintain_time=0.183665, bi_search=144.04, bi_subSolve=0.63199, bi_maintain_time=0.351607, admm_maintain=0.386788, area4=-nan, infea=6.90099, d_obj=5152.31., heldout Acc=0.990123 (5/50), overall time=3700.31
i=24, a_nnz=5.27212, ever_a_nnz=9.57781, b_nnz=52.8655, uni_search=25.8507, uni_subSolve=1.55697, uni_maintain_time=0.214696, bi_search=134.058, bi_subSolve=0.581282, bi_maintain_time=0.31638, admm_maintain=0.19575, area4=-nan, infea=5.34306, d_obj=4532.7., heldout Acc=0.994321 (6/50), overall time=3863.12
i=25, a_nnz=5.35382, ever_a_nnz=9.73975, b_nnz=54.9194, uni_search=12.7909, uni_subSolve=0.639186, uni_maintain_time=0.162673, bi_search=120.676, bi_subSolve=0.425794, bi_maintain_time=0.211987, admm_maintain=0.19376, area4=-nan, infea=4.90707, d_obj=3735.25., heldout Acc=0.994568 (7/50), overall time=3998.24
i=26, a_nnz=5.43336, ever_a_nnz=9.88848, b_nnz=56.8253, uni_search=13.9036, uni_subSolve=0.670631, uni_maintain_time=0.199166, bi_search=116.786, bi_subSolve=0.364059, bi_maintain_time=0.189359, admm_maintain=0.606298, area4=-nan, infea=4.15288, d_obj=3074.39., heldout Acc=0.989136 (8/50), overall time=4130.97
i=27, a_nnz=5.50032, ever_a_nnz=10.029, b_nnz=58.6753, uni_search=15.436, uni_subSolve=0.828471, uni_maintain_time=0.164613, bi_search=127.285, bi_subSolve=0.50351, bi_maintain_time=0.257338, admm_maintain=0.293625, area4=-nan, infea=4.52214, d_obj=2770.82., heldout Acc=0.992593 (9/50), overall time=4275.76
i=28, a_nnz=5.57188, ever_a_nnz=10.1674, b_nnz=60.5397, uni_search=21.0188, uni_subSolve=1.0659, uni_maintain_time=0.196159, bi_search=150.116, bi_subSolve=0.763375, bi_maintain_time=0.396071, admm_maintain=0.590893, area4=-nan, infea=4.39905, d_obj=2650.89., heldout Acc=0.994568 (10/50), overall time=4449.95
i=29, a_nnz=5.63335, ever_a_nnz=10.307, b_nnz=62.4066, uni_search=11.2184, uni_subSolve=0.519946, uni_maintain_time=0.148691, bi_search=139.762, bi_subSolve=0.708299, bi_maintain_time=0.358003, admm_maintain=0.466811, area4=-nan, infea=3.9474, d_obj=2358.9., heldout Acc=0.993086 (11/50), overall time=4603.16
