using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.10
D=5001
K=405
N=15666
d=237.683
r=1
i=19, a_nnz=4.88644, ever_a_nnz=10.8761, b_nnz=72.9142, uni_search=15.4917, uni_subSolve=1.7286, uni_maintain_time=0.243382, bi_search=0.804503, bi_subSolve=1.10029, bi_maintain_time=0.302689, admm_maintain=1.26816, area4=1.8491, infea=1.28724, d_obj=125.569, heldout Acc=1 (1/50), overall time=239.28
i=20, a_nnz=4.91389, ever_a_nnz=11.1537, b_nnz=77.1026, uni_search=12.4388, uni_subSolve=1.46002, uni_maintain_time=0.175831, bi_search=0.608484, bi_subSolve=0.850417, bi_maintain_time=0.224108, admm_maintain=0.901083, area4=1.83493, infea=1.33824, d_obj=534.908, overall time=255.951
i=21, a_nnz=4.95736, ever_a_nnz=11.4308, b_nnz=81.4011, uni_search=16.1525, uni_subSolve=1.77521, uni_maintain_time=0.185587, bi_search=0.672054, bi_subSolve=1.05122, bi_maintain_time=0.329346, admm_maintain=1.08559, area4=1.8131, infea=0.460025, d_obj=45.674, overall time=277.219
i=22, a_nnz=4.99655, ever_a_nnz=11.6972, b_nnz=85.7645, uni_search=14.3664, uni_subSolve=1.72248, uni_maintain_time=0.236855, bi_search=0.677024, bi_subSolve=0.97407, bi_maintain_time=0.273021, admm_maintain=1.05364, area4=1.80148, infea=0.423925, d_obj=-9.45283, overall time=296.535
i=23, a_nnz=5.03479, ever_a_nnz=11.9523, b_nnz=90.1955, uni_search=13.2827, uni_subSolve=1.55891, uni_maintain_time=0.219145, bi_search=0.419351, bi_subSolve=0.61184, bi_maintain_time=0.217448, admm_maintain=1.10189, area4=1.80672, infea=0.511382, d_obj=-17.5963, overall time=313.974
i=24, a_nnz=5.06498, ever_a_nnz=12.1935, b_nnz=94.5829, uni_search=10.8445, uni_subSolve=1.23212, uni_maintain_time=0.244993, bi_search=0.434501, bi_subSolve=0.623953, bi_maintain_time=0.205288, admm_maintain=1.07802, area4=1.80965, infea=0.499868, d_obj=-19.1746, overall time=328.666
i=25, a_nnz=5.09492, ever_a_nnz=12.4322, b_nnz=99.0786, uni_search=11.1618, uni_subSolve=1.23344, uni_maintain_time=0.174299, bi_search=0.68913, bi_subSolve=0.949741, bi_maintain_time=0.276529, admm_maintain=0.99679, area4=1.8251, infea=0.500155, d_obj=-25.3549, overall time=344.158
i=26, a_nnz=5.1149, ever_a_nnz=12.6573, b_nnz=103.438, uni_search=13.3279, uni_subSolve=1.54842, uni_maintain_time=0.188817, bi_search=1.02398, bi_subSolve=1.48837, bi_maintain_time=0.390719, admm_maintain=1.38767, area4=1.86021, infea=0.540108, d_obj=-24.6021, overall time=363.53
i=27, a_nnz=5.13552, ever_a_nnz=12.8769, b_nnz=107.857, uni_search=11.9921, uni_subSolve=1.39765, uni_maintain_time=0.197759, bi_search=0.772637, bi_subSolve=1.12825, bi_maintain_time=0.28013, admm_maintain=1.24254, area4=1.95034, infea=0.440787, d_obj=-26.2963, overall time=380.564
i=28, a_nnz=5.15971, ever_a_nnz=13.09, b_nnz=112.336, uni_search=12.2922, uni_subSolve=1.51788, uni_maintain_time=0.198615, bi_search=0.888982, bi_subSolve=1.2544, bi_maintain_time=0.281675, admm_maintain=1.21171, area4=2.05758, infea=0.438613, d_obj=-26.0953, overall time=398.22
