using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=19, a_nnz=4.88363, ever_a_nnz=10.8666, b_nnz=72.7504, uni_search=5.52, uni_subSolve=0.642458, uni_maintain_time=0.191742, bi_search=0.303723, bi_subSolve=0.430632, bi_maintain_time=0.155383, admm_maintain=0.449592, area4=1.78514, infea=0.453246, d_obj=-3.20491., heldout Acc=0.991605 (1/50), overall time=117.905
i=20, a_nnz=4.91555, ever_a_nnz=11.1491, b_nnz=77.0315, uni_search=5.14876, uni_subSolve=0.569257, uni_maintain_time=0.141935, bi_search=0.279654, bi_subSolve=0.405073, bi_maintain_time=0.136132, admm_maintain=0.408828, area4=1.79242, infea=0.453036, d_obj=-2.34761, overall time=125.003
i=21, a_nnz=4.95544, ever_a_nnz=11.4232, b_nnz=81.3748, uni_search=5.25125, uni_subSolve=0.580883, uni_maintain_time=0.140639, bi_search=0.292345, bi_subSolve=0.426078, bi_maintain_time=0.14113, admm_maintain=0.428765, area4=1.81195, infea=0.649752, d_obj=-4.10236, overall time=132.273
i=22, a_nnz=4.99413, ever_a_nnz=11.6889, b_nnz=85.7415, uni_search=5.34742, uni_subSolve=0.595097, uni_maintain_time=0.141694, bi_search=0.306384, bi_subSolve=0.447504, bi_maintain_time=0.14979, admm_maintain=0.448485, area4=1.82752, infea=0.873861, d_obj=-18.1987, overall time=139.718
i=23, a_nnz=5.02636, ever_a_nnz=11.9446, b_nnz=90.1688, uni_search=5.4543, uni_subSolve=0.607381, uni_maintain_time=0.142814, bi_search=0.319581, bi_subSolve=0.46813, bi_maintain_time=0.1536, admm_maintain=0.471275, area4=1.86774, infea=0.565773, d_obj=84.751, overall time=147.344
i=24, a_nnz=5.05624, ever_a_nnz=12.1878, b_nnz=94.5944, uni_search=5.55653, uni_subSolve=0.62244, uni_maintain_time=0.142641, bi_search=0.336268, bi_subSolve=0.494565, bi_maintain_time=0.15963, admm_maintain=0.494306, area4=1.88983, infea=0.526587, d_obj=-21.3783, overall time=155.159
i=25, a_nnz=5.0676, ever_a_nnz=12.4228, b_nnz=99.013, uni_search=5.91301, uni_subSolve=0.679198, uni_maintain_time=0.152492, bi_search=0.377579, bi_subSolve=0.55094, bi_maintain_time=0.174458, admm_maintain=0.553942, area4=1.92085, infea=0.606876, d_obj=7.3045, overall time=163.57
i=26, a_nnz=5.08605, ever_a_nnz=12.6528, b_nnz=103.492, uni_search=6.02521, uni_subSolve=0.699015, uni_maintain_time=0.15681, bi_search=0.385349, bi_subSolve=0.567912, bi_maintain_time=0.173854, admm_maintain=0.573814, area4=1.97447, infea=0.54212, d_obj=-15.4224, overall time=172.161
i=27, a_nnz=5.1133, ever_a_nnz=12.8753, b_nnz=107.989, uni_search=6.10803, uni_subSolve=0.711516, uni_maintain_time=0.157801, bi_search=0.399217, bi_subSolve=0.590539, bi_maintain_time=0.178585, admm_maintain=0.596016, area4=2.06243, infea=0.526948, d_obj=9.89144, overall time=180.912
i=28, a_nnz=5.13545, ever_a_nnz=13.1008, b_nnz=112.651, uni_search=6.21122, uni_subSolve=0.726456, uni_maintain_time=0.158407, bi_search=0.412254, bi_subSolve=0.613072, bi_maintain_time=0.179953, admm_maintain=0.618118, area4=2.17733, infea=0.49422, d_obj=-23.8647, overall time=189.841
i=29, a_nnz=5.15773, ever_a_nnz=13.321, b_nnz=117.355, uni_search=6.27257, uni_subSolve=0.736803, uni_maintain_time=0.157101, bi_search=0.428311, bi_subSolve=0.639497, bi_maintain_time=0.178805, admm_maintain=0.64288, area4=2.36627, infea=0.48257, d_obj=-16.8331., heldout Acc=0.995309, overall time=198.907
i=30, a_nnz=5.17228, ever_a_nnz=13.5312, b_nnz=122.017, uni_search=6.00948, uni_subSolve=0.690732, uni_maintain_time=0.14264, bi_search=0.40826, bi_subSolve=0.615267, bi_maintain_time=0.1717, admm_maintain=0.614129, area4=2.61266, infea=1.10968, d_obj=89.7155, overall time=207.569
i=31, a_nnz=5.1936, ever_a_nnz=13.7318, b_nnz=126.61, uni_search=6.10224, uni_subSolve=0.704797, uni_maintain_time=0.143555, bi_search=0.419208, bi_subSolve=0.635074, bi_maintain_time=0.173857, admm_maintain=0.634777, area4=2.8348, infea=0.475999, d_obj=24.637, overall time=216.391
i=32, a_nnz=5.22961, ever_a_nnz=13.9283, b_nnz=131.221, uni_search=6.14761, uni_subSolve=0.70803, uni_maintain_time=0.141512, bi_search=0.319589, bi_subSolve=0.516948, bi_maintain_time=0.136549, admm_maintain=0.481522, area4=3.15984, infea=0.454635, d_obj=30.1774, overall time=224.855
i=33, a_nnz=5.25444, ever_a_nnz=14.1215, b_nnz=135.83, uni_search=5.20969, uni_subSolve=0.521956, uni_maintain_time=0.101524, bi_search=0.318747, bi_subSolve=0.52175, bi_maintain_time=0.135484, admm_maintain=0.493984, area4=3.48819, infea=0.500579, d_obj=-17.3472, overall time=232.166
i=34, a_nnz=5.28067, ever_a_nnz=14.3052, b_nnz=140.288, uni_search=5.27377, uni_subSolve=0.530157, uni_maintain_time=0.101878, bi_search=0.328112, bi_subSolve=0.538068, bi_maintain_time=0.138561, admm_maintain=0.508251, area4=3.80697, infea=0.537642, d_obj=-26.2768, overall time=239.593
i=35, a_nnz=5.29025, ever_a_nnz=14.4816, b_nnz=144.627, uni_search=5.31661, uni_subSolve=0.538121, uni_maintain_time=0.102385, bi_search=0.337161, bi_subSolve=0.552494, bi_maintain_time=0.140368, admm_maintain=0.703667, area4=4.02324, infea=0.515454, d_obj=-28.5811, overall time=247.293
i=36, a_nnz=5.30008, ever_a_nnz=14.6542, b_nnz=148.983, uni_search=6.41174, uni_subSolve=0.753454, uni_maintain_time=0.145518, bi_search=0.477673, bi_subSolve=0.731161, bi_maintain_time=0.192088, admm_maintain=0.727238, area4=4.14247, infea=0.728959, d_obj=-15.1814, overall time=256.741
i=37, a_nnz=5.31399, ever_a_nnz=14.8236, b_nnz=153.333, uni_search=6.47866, uni_subSolve=0.76429, uni_maintain_time=0.145126, bi_search=0.492351, bi_subSolve=0.753703, bi_maintain_time=0.195453, admm_maintain=0.747203, area4=4.2815, infea=0.620132, d_obj=-24.3199, overall time=266.327
i=38, a_nnz=5.33008, ever_a_nnz=14.994, b_nnz=157.776, uni_search=6.54477, uni_subSolve=0.777113, uni_maintain_time=0.145059, bi_search=0.503135, bi_subSolve=0.774499, bi_maintain_time=0.200657, admm_maintain=0.767579, area4=4.34291, infea=0.579666, d_obj=-25.542, overall time=276.05
i=39, a_nnz=5.34278, ever_a_nnz=15.1563, b_nnz=162.061, uni_search=6.62037, uni_subSolve=0.7887, uni_maintain_time=0.145573, bi_search=0.514003, bi_subSolve=0.792085, bi_maintain_time=0.203475, admm_maintain=0.787032, area4=4.38797, infea=0.504924, d_obj=-27.2509., heldout Acc=0.993333 (1/50), overall time=285.911
i=40, a_nnz=5.34744, ever_a_nnz=15.312, b_nnz=166.292, uni_search=6.67558, uni_subSolve=0.800518, uni_maintain_time=0.145622, bi_search=0.5273, bi_subSolve=0.812529, bi_maintain_time=0.206295, admm_maintain=0.807183, area4=4.44836, infea=0.520212, d_obj=-22.038, overall time=295.896
i=41, a_nnz=5.35599, ever_a_nnz=15.4593, b_nnz=170.418, uni_search=6.72106, uni_subSolve=0.808225, uni_maintain_time=0.145671, bi_search=0.534876, bi_subSolve=0.826611, bi_maintain_time=0.209407, admm_maintain=0.819822, area4=4.51168, infea=0.492057, d_obj=-29.1297, overall time=305.97
i=42, a_nnz=5.37023, ever_a_nnz=15.609, b_nnz=174.632, uni_search=6.75119, uni_subSolve=0.812986, uni_maintain_time=0.145579, bi_search=0.545319, bi_subSolve=0.843032, bi_maintain_time=0.211834, admm_maintain=0.839636, area4=4.56045, infea=0.539712, d_obj=-28.4866, overall time=316.129
i=43, a_nnz=5.38408, ever_a_nnz=15.7594, b_nnz=178.909, uni_search=6.81733, uni_subSolve=0.823138, uni_maintain_time=0.144837, bi_search=0.55908, bi_subSolve=0.863806, bi_maintain_time=0.214579, admm_maintain=0.859793, area4=4.63884, infea=1.17432, d_obj=53.6123, overall time=326.421
i=44, a_nnz=5.39583, ever_a_nnz=15.9007, b_nnz=183.047, uni_search=6.67734, uni_subSolve=0.793662, uni_maintain_time=0.135275, bi_search=0.41437, bi_subSolve=0.686911, bi_maintain_time=0.161794, admm_maintain=0.646277, area4=4.75463, infea=0.547321, d_obj=-24.523, overall time=335.948
i=45, a_nnz=5.41178, ever_a_nnz=16.0413, b_nnz=187.256, uni_search=6.68548, uni_subSolve=0.738265, uni_maintain_time=0.12192, bi_search=0.637592, bi_subSolve=0.992568, bi_maintain_time=0.220557, admm_maintain=0.880198, area4=4.87565, infea=0.611279, d_obj=-17.0154, overall time=346.233
i=46, a_nnz=5.41804, ever_a_nnz=16.1815, b_nnz=191.472, uni_search=7.80141, uni_subSolve=0.877954, uni_maintain_time=0.133874, bi_search=0.705012, bi_subSolve=1.08619, bi_maintain_time=0.249955, admm_maintain=1.21591, area4=4.98442, infea=0.569391, d_obj=-27.6568, overall time=358.315
i=47, a_nnz=5.42781, ever_a_nnz=16.3151, b_nnz=195.573, uni_search=15.4942, uni_subSolve=1.66895, uni_maintain_time=0.177511, bi_search=1.16005, bi_subSolve=1.81741, bi_maintain_time=0.312301, admm_maintain=1.74458, area4=5.07532, infea=0.661665, d_obj=-30.4166, overall time=380.703
i=48, a_nnz=5.43336, ever_a_nnz=16.4473, b_nnz=199.676, uni_search=9.60566, uni_subSolve=1.14339, uni_maintain_time=0.146473, bi_search=0.832274, bi_subSolve=1.2524, bi_maintain_time=0.246216, admm_maintain=1.26484, area4=5.20758, infea=0.644559, d_obj=-30.1265, overall time=395.206
