using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=17, a_nnz=4.89991, ever_a_nnz=8.06607, b_nnz=36.4447, uni_search=18.6398, uni_subSolve=0.917071, uni_maintain_time=0.140266, bi_search=138.356, bi_subSolve=0.450039, bi_maintain_time=0.259737, admm_maintain=0.249048, area4=-nan, infea=49.5922, d_obj=6381.45., heldout Acc=0.994568 (8/50), overall time=2671.27
i=18, a_nnz=4.98908, ever_a_nnz=8.26082, b_nnz=38.4785, uni_search=19.606, uni_subSolve=1.02501, uni_maintain_time=0.16467, bi_search=132.482, bi_subSolve=0.351505, bi_maintain_time=0.203064, admm_maintain=0.158568, area4=-nan, infea=41.7421, d_obj=5167.84., heldout Acc=0.994815 (9/50), overall time=2825.3
i=19, a_nnz=5.07053, ever_a_nnz=8.45155, b_nnz=40.4998, uni_search=13.8329, uni_subSolve=0.581251, uni_maintain_time=0.115059, bi_search=127.02, bi_subSolve=0.314855, bi_maintain_time=0.178541, admm_maintain=0.163462, area4=-nan, infea=41.1938, d_obj=4645.82., heldout Acc=0.995062 (10/50), overall time=2967.53
i=20, a_nnz=5.14298, ever_a_nnz=8.6322, b_nnz=42.4798, uni_search=14.4004, uni_subSolve=0.611525, uni_maintain_time=0.118185, bi_search=130.55, bi_subSolve=0.343444, bi_maintain_time=0.192077, admm_maintain=0.170297, area4=-nan, infea=30.7057, d_obj=3275.56., heldout Acc=0.994815 (11/50), overall time=3113.94
i=21, a_nnz=5.22941, ever_a_nnz=8.80365, b_nnz=44.4333, uni_search=9.85895, uni_subSolve=0.412316, uni_maintain_time=0.0973062, bi_search=128.142, bi_subSolve=0.387015, bi_maintain_time=0.215618, admm_maintain=0.287277, area4=-nan, infea=33.7412, d_obj=4723.08., heldout Acc=0.996296, overall time=3253.36
i=22, a_nnz=5.29427, ever_a_nnz=8.97249, b_nnz=46.3836, uni_search=20.2568, uni_subSolve=0.986805, uni_maintain_time=0.146501, bi_search=138.176, bi_subSolve=0.546629, bi_maintain_time=0.302404, admm_maintain=0.300658, area4=-nan, infea=30.8414, d_obj=3265.79., heldout Acc=0.991358 (1/50), overall time=3414.11
i=23, a_nnz=5.37878, ever_a_nnz=9.14867, b_nnz=48.3564, uni_search=11.968, uni_subSolve=0.619637, uni_maintain_time=0.18287, bi_search=147.271, bi_subSolve=0.737919, bi_maintain_time=0.401047, admm_maintain=0.433343, area4=-nan, infea=34.6382, d_obj=3806.04., heldout Acc=0.995062 (2/50), overall time=3575.76
i=24, a_nnz=5.42346, ever_a_nnz=9.3122, b_nnz=50.2818, uni_search=10.4848, uni_subSolve=0.491913, uni_maintain_time=0.172857, bi_search=153.692, bi_subSolve=0.838616, bi_maintain_time=0.433457, admm_maintain=0.499195, area4=-nan, infea=36.7792, d_obj=3822.13., heldout Acc=0.992346 (3/50), overall time=3742.41
i=25, a_nnz=5.48213, ever_a_nnz=9.47134, b_nnz=52.2241, uni_search=9.98086, uni_subSolve=0.45219, uni_maintain_time=0.137584, bi_search=108.729, bi_subSolve=0.244049, bi_maintain_time=0.128168, admm_maintain=0.166682, area4=-nan, infea=28.1291, d_obj=2678.86., heldout Acc=0.988889 (4/50), overall time=3862.26
i=26, a_nnz=5.53913, ever_a_nnz=9.6193, b_nnz=54.1183, uni_search=18.255, uni_subSolve=0.971719, uni_maintain_time=0.147025, bi_search=134.158, bi_subSolve=0.558039, bi_maintain_time=0.285446, admm_maintain=0.336424, area4=-nan, infea=26.8565, d_obj=2369.11., heldout Acc=0.993827 (5/50), overall time=4017.01
i=27, a_nnz=5.61049, ever_a_nnz=9.76337, b_nnz=55.9895, uni_search=18.2416, uni_subSolve=1.09828, uni_maintain_time=0.17855, bi_search=125.243, bi_subSolve=0.519877, bi_maintain_time=0.25226, admm_maintain=0.174396, area4=-nan, infea=27.7611, d_obj=2213.11., heldout Acc=0.993086 (6/50), overall time=4162.74
i=28, a_nnz=5.68397, ever_a_nnz=9.90623, b_nnz=57.8781, uni_search=11.2912, uni_subSolve=0.484337, uni_maintain_time=0.106013, bi_search=127.236, bi_subSolve=0.475128, bi_maintain_time=0.254116, admm_maintain=0.229541, area4=-nan, infea=23.331, d_obj=1922.49., heldout Acc=0.990617 (7/50), overall time=4302.84
i=29, a_nnz=5.73382, ever_a_nnz=10.0438, b_nnz=59.6645, uni_search=22.3481, uni_subSolve=1.10275, uni_maintain_time=0.157062, bi_search=138.124, bi_subSolve=0.669922, bi_maintain_time=0.356383, admm_maintain=0.406097, area4=-nan, infea=25.032, d_obj=1909., heldout Acc=0.991358 (8/50), overall time=4466.04
i=30, a_nnz=5.7845, ever_a_nnz=10.1746, b_nnz=61.5144, uni_search=22.2469, uni_subSolve=1.08992, uni_maintain_time=0.157448, bi_search=139.148, bi_subSolve=0.698592, bi_maintain_time=0.348744, admm_maintain=0.42596, area4=-nan, infea=24.7195, d_obj=1546.85., heldout Acc=0.987654 (9/50), overall time=4630.19
i=31, a_nnz=5.84821, ever_a_nnz=10.2973, b_nnz=63.2877, uni_search=20.1801, uni_subSolve=1.20189, uni_maintain_time=0.183054, bi_search=129.503, bi_subSolve=0.639664, bi_maintain_time=0.300831, admm_maintain=0.238092, area4=-nan, infea=23.1408, d_obj=1406.98., heldout Acc=0.988889 (10/50), overall time=4782.46
i=32, a_nnz=5.895, ever_a_nnz=10.427, b_nnz=65.1366, uni_search=21.7151, uni_subSolve=1.33884, uni_maintain_time=0.199678, bi_search=137.743, bi_subSolve=0.791821, bi_maintain_time=0.380735, admm_maintain=0.297782, area4=-nan, infea=37.958, d_obj=4934.17., heldout Acc=0.99037 (11/50), overall time=4944.96
i=33, a_nnz=5.9414, ever_a_nnz=10.579, b_nnz=67.2682, uni_search=15.8425, uni_subSolve=0.857435, uni_maintain_time=0.157749, bi_search=146.22, bi_subSolve=0.958473, bi_maintain_time=0.451424, admm_maintain=0.623461, area4=-nan, infea=35.3099, d_obj=3073.89., heldout Acc=0.996049 (12/50), overall time=5110.11
i=34, a_nnz=5.98545, ever_a_nnz=10.7198, b_nnz=69.2525, uni_search=25.7562, uni_subSolve=1.63539, uni_maintain_time=0.203713, bi_search=137.039, bi_subSolve=0.763066, bi_maintain_time=0.388104, admm_maintain=0.482241, area4=-nan, infea=27.574, d_obj=2081.25., heldout Acc=0.99284 (13/50), overall time=5276.41
i=35, a_nnz=6.02515, ever_a_nnz=10.8494, b_nnz=71.0825, uni_search=11.2834, uni_subSolve=0.518863, uni_maintain_time=0.142328, bi_search=125.819, bi_subSolve=0.647083, bi_maintain_time=0.31871, admm_maintain=0.405681, area4=-nan, infea=25.8435, d_obj=1830.91., heldout Acc=0.988889 (14/50), overall time=5415.57
i=36, a_nnz=6.07896, ever_a_nnz=10.9713, b_nnz=72.875, uni_search=16.6038, uni_subSolve=0.878224, uni_maintain_time=0.151101, bi_search=134.395, bi_subSolve=0.811303, bi_maintain_time=0.395932, admm_maintain=0.686423, area4=-nan, infea=24.5779, d_obj=1523.82., heldout Acc=0.990123 (15/50), overall time=5569.52
