using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=18, a_nnz=4.73924, ever_a_nnz=10.3944, b_nnz=60.3452, uni_search=15.6089, uni_subSolve=0.588262, uni_maintain_time=0.119881, bi_search=120.219, bi_subSolve=0.494003, bi_maintain_time=0.225534, admm_maintain=0.26417, area4=-nan, infea=1.48724, d_obj=204.462., heldout Acc=0.989383 (1/50), overall time=2949.49
i=19, a_nnz=4.77601, ever_a_nnz=10.6629, b_nnz=63.845, uni_search=11.2767, uni_subSolve=0.415295, uni_maintain_time=0.132654, bi_search=121.043, bi_subSolve=0.519401, bi_maintain_time=0.227023, admm_maintain=0.554197, area4=-nan, infea=0.851149, d_obj=96.5614., heldout Acc=0.984938 (2/50), overall time=3083.68
i=20, a_nnz=4.80908, ever_a_nnz=10.9181, b_nnz=67.2642, uni_search=18.4878, uni_subSolve=0.788595, uni_maintain_time=0.137916, bi_search=135.539, bi_subSolve=0.832031, bi_maintain_time=0.34821, admm_maintain=0.274434, area4=-nan, infea=0.883434, d_obj=60.0683., heldout Acc=0.98642 (3/50), overall time=3240.11
i=21, a_nnz=4.85529, ever_a_nnz=11.1702, b_nnz=70.7814, uni_search=13.6832, uni_subSolve=0.543771, uni_maintain_time=0.13334, bi_search=141.133, bi_subSolve=0.977279, bi_maintain_time=0.403048, admm_maintain=0.333186, area4=-nan, infea=1.34062, d_obj=300.884., heldout Acc=0.993086, overall time=3397.35
i=22, a_nnz=4.89187, ever_a_nnz=11.4122, b_nnz=74.2768, uni_search=11.6371, uni_subSolve=0.422587, uni_maintain_time=0.124294, bi_search=138.082, bi_subSolve=0.936876, bi_maintain_time=0.365945, admm_maintain=0.361374, area4=-nan, infea=1.83188, d_obj=2690.62., heldout Acc=0.992593 (1/50), overall time=3549.3
i=23, a_nnz=4.9264, ever_a_nnz=11.6372, b_nnz=77.6932, uni_search=16.4148, uni_subSolve=0.674653, uni_maintain_time=0.133361, bi_search=124.624, bi_subSolve=0.77534, bi_maintain_time=0.290895, admm_maintain=0.364929, area4=-nan, infea=1.55991, d_obj=475.35., heldout Acc=0.988889 (2/50), overall time=3692.6
i=24, a_nnz=4.96349, ever_a_nnz=11.8536, b_nnz=81.0781, uni_search=28.1378, uni_subSolve=0.966489, uni_maintain_time=0.154567, bi_search=138.724, bi_subSolve=1.04048, bi_maintain_time=0.437737, admm_maintain=0.62919, area4=-nan, infea=0.863131, d_obj=95.3998., heldout Acc=0.993086 (3/50), overall time=3862.73
i=25, a_nnz=4.9956, ever_a_nnz=12.0603, b_nnz=84.4347, uni_search=39.2721, uni_subSolve=1.66706, uni_maintain_time=0.20351, bi_search=166.393, bi_subSolve=1.4142, bi_maintain_time=0.558329, admm_maintain=0.736042, area4=-nan, infea=0.800237, d_obj=48.0825., heldout Acc=0.990864 (4/50), overall time=4073.01
i=26, a_nnz=5.02758, ever_a_nnz=12.2528, b_nnz=87.6822, uni_search=27.1178, uni_subSolve=0.972591, uni_maintain_time=0.139273, bi_search=140.854, bi_subSolve=1.04288, bi_maintain_time=0.385606, admm_maintain=0.815829, area4=-nan, infea=0.727652, d_obj=35.6432., heldout Acc=0.990123 (5/50), overall time=4244.37
i=27, a_nnz=5.05841, ever_a_nnz=12.4429, b_nnz=90.9618, uni_search=35.6703, uni_subSolve=1.71547, uni_maintain_time=0.196295, bi_search=161.395, bi_subSolve=1.60537, bi_maintain_time=0.562433, admm_maintain=1.11162, area4=-nan, infea=0.78866, d_obj=14.9869., heldout Acc=0.98716 (6/50), overall time=4446.67
i=28, a_nnz=5.08668, ever_a_nnz=12.6287, b_nnz=94.2788, uni_search=31.01, uni_subSolve=1.07669, uni_maintain_time=0.166527, bi_search=140.467, bi_subSolve=1.229, bi_maintain_time=0.445654, admm_maintain=0.8599, area4=-nan, infea=0.899639, d_obj=22.5029., heldout Acc=0.992346 (7/50), overall time=4621.96
i=29, a_nnz=5.10781, ever_a_nnz=12.8124, b_nnz=97.6097, uni_search=20.9178, uni_subSolve=0.668106, uni_maintain_time=0.123446, bi_search=128.206, bi_subSolve=0.869762, bi_maintain_time=0.317646, admm_maintain=0.79478, area4=-nan, infea=1.18972, d_obj=3219.71., heldout Acc=0.992346 (8/50), overall time=4773.88
i=30, a_nnz=5.1126, ever_a_nnz=12.984, b_nnz=100.746, uni_search=24.9935, uni_subSolve=0.83504, uni_maintain_time=0.139308, bi_search=125.794, bi_subSolve=0.816722, bi_maintain_time=0.299555, admm_maintain=0.826749, area4=-nan, infea=1.29753, d_obj=1126.06., heldout Acc=0.994321, overall time=4927.62
i=31, a_nnz=5.14624, ever_a_nnz=13.1478, b_nnz=103.868, uni_search=13.1707, uni_subSolve=0.479496, uni_maintain_time=0.12121, bi_search=109.936, bi_subSolve=0.619992, bi_maintain_time=0.195819, admm_maintain=0.462685, area4=-nan, infea=1.13947, d_obj=330.891., heldout Acc=0.992346 (1/50), overall time=5052.61
i=32, a_nnz=5.17509, ever_a_nnz=13.3107, b_nnz=107.063, uni_search=13.6585, uni_subSolve=0.525215, uni_maintain_time=0.144094, bi_search=110.211, bi_subSolve=0.646939, bi_maintain_time=0.211877, admm_maintain=0.509786, area4=-nan, infea=1.7509, d_obj=546.423., heldout Acc=0.991358 (2/50), overall time=5178.53
i=33, a_nnz=5.18001, ever_a_nnz=13.4745, b_nnz=110.231, uni_search=13.6229, uni_subSolve=0.514597, uni_maintain_time=0.136375, bi_search=113.2, bi_subSolve=0.735784, bi_maintain_time=0.233711, admm_maintain=1.24038, area4=-nan, infea=3.34983, d_obj=2583.77., heldout Acc=0.994815, overall time=5308.23
i=34, a_nnz=5.19871, ever_a_nnz=13.6307, b_nnz=113.323, uni_search=41.1336, uni_subSolve=2.01085, uni_maintain_time=0.224877, bi_search=165.678, bi_subSolve=1.97846, bi_maintain_time=0.662834, admm_maintain=1.45619, area4=-nan, infea=1.8388, d_obj=354.061., heldout Acc=0.98963 (1/50), overall time=5521.42
i=35, a_nnz=5.21907, ever_a_nnz=13.7811, b_nnz=116.377, uni_search=22.8716, uni_subSolve=0.86111, uni_maintain_time=0.141773, bi_search=141.691, bi_subSolve=1.32529, bi_maintain_time=0.433321, admm_maintain=1.04183, area4=-nan, infea=1.25253, d_obj=183.012., heldout Acc=0.99358 (2/50), overall time=5689.81
i=36, a_nnz=5.25188, ever_a_nnz=13.921, b_nnz=119.296, uni_search=20.6438, uni_subSolve=0.760092, uni_maintain_time=0.121737, bi_search=122.928, bi_subSolve=0.997303, bi_maintain_time=0.326062, admm_maintain=0.659501, area4=-nan, infea=1.10952, d_obj=119.998., heldout Acc=0.993333 (3/50), overall time=5836.27
i=37, a_nnz=5.26612, ever_a_nnz=14.0601, b_nnz=122.21, uni_search=29.6985, uni_subSolve=1.09684, uni_maintain_time=0.144157, bi_search=139.551, bi_subSolve=1.33265, bi_maintain_time=0.44592, admm_maintain=1.02668, area4=-nan, infea=2.14086, d_obj=101.394., heldout Acc=0.992099 (4/50), overall time=6009.59
i=38, a_nnz=5.27863, ever_a_nnz=14.2049, b_nnz=125.234, uni_search=29.6553, uni_subSolve=1.08321, uni_maintain_time=0.141286, bi_search=152.854, bi_subSolve=1.78499, bi_maintain_time=0.582267, admm_maintain=1.47191, area4=-nan, infea=0.970171, d_obj=63.773., heldout Acc=0.991605 (5/50), overall time=6197.2
i=39, a_nnz=5.27774, ever_a_nnz=14.3402, b_nnz=128.133, uni_search=35.1821, uni_subSolve=1.23317, uni_maintain_time=0.173335, bi_search=156.015, bi_subSolve=1.96634, bi_maintain_time=0.647628, admm_maintain=1.11708, area4=-nan, infea=1.10215, d_obj=35.0855., heldout Acc=0.98716 (6/50), overall time=6393.57
