using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=0.1, C=1, eta=0.1
i=18, infea=0.115658, nnz_a=10.4543, nnz_b=16.2758, uni_search=1.28866, uni_subSolve=0.0769729, uni_maintain=0.0915271, bi_search=0.206201, bi_subSolve=0.0210176, bi_maintain=0.0587183, admm_maintain=0.0505881, area1=252.143, area23=1.03041, area4=1.10748, dual_obj=-84.911, overall time=32.2832
i=19, infea=0.118373, nnz_a=10.6054, nnz_b=16.8927, uni_search=1.35036, uni_subSolve=0.0870139, uni_maintain=0.109608, bi_search=0.587624, bi_subSolve=0.0480071, bi_maintain=0.191863, admm_maintain=0.107932, area1=270.874, area23=1.03228, area4=1.10669, dual_obj=-88.3618, p_obj=424.041, heldout Acc=0.26544, overall time=34.8975
i=20, infea=0.120899, nnz_a=10.7447, nnz_b=17.4795, uni_search=0.906602, uni_subSolve=0.0521495, uni_maintain=0.056918, bi_search=0.163086, bi_subSolve=0.0198913, bi_maintain=0.0470085, admm_maintain=0.0337199, area1=289.297, area23=1.03386, area4=1.11638, dual_obj=-91.7385, overall time=36.2396
i=21, infea=0.123303, nnz_a=10.8746, nnz_b=18.0649, uni_search=0.912889, uni_subSolve=0.053101, uni_maintain=0.0581268, bi_search=0.154554, bi_subSolve=0.0201222, bi_maintain=0.0456636, admm_maintain=0.0337689, area1=307.299, area23=1.03545, area4=1.11464, dual_obj=-95.0334, overall time=37.5802
i=22, infea=0.125557, nnz_a=10.9952, nnz_b=18.6112, uni_search=1.07961, uni_subSolve=0.0668399, uni_maintain=0.0801215, bi_search=0.635648, bi_subSolve=0.0530913, bi_maintain=0.201999, admm_maintain=0.119159, area1=324.91, area23=1.0373, area4=1.11098, dual_obj=-98.2551, overall time=39.9397
i=23, infea=0.12767, nnz_a=11.0883, nnz_b=19.1427, uni_search=0.960604, uni_subSolve=0.0580616, uni_maintain=0.0662835, bi_search=0.192227, bi_subSolve=0.0228649, bi_maintain=0.0524102, admm_maintain=0.0519123, area1=341.715, area23=1.03904, area4=1.12259, dual_obj=-101.402, overall time=41.4148
i=24, infea=0.129643, nnz_a=11.172, nnz_b=19.6698, uni_search=1.20099, uni_subSolve=0.0742679, uni_maintain=0.087417, bi_search=0.182622, bi_subSolve=0.0229742, bi_maintain=0.0501849, admm_maintain=0.0343786, area1=358.45, area23=1.04225, area4=1.12322, dual_obj=-104.468, overall time=43.1324
i=25, infea=0.13149, nnz_a=11.2511, nnz_b=20.1814, uni_search=0.991464, uni_subSolve=0.0598296, uni_maintain=0.0671356, bi_search=0.21178, bi_subSolve=0.025067, bi_maintain=0.0562588, admm_maintain=0.054582, area1=374.472, area23=1.04482, area4=1.12608, dual_obj=-107.475, overall time=44.6661
i=26, infea=0.133265, nnz_a=11.3057, nnz_b=20.6692, uni_search=1.13981, uni_subSolve=0.0705898, uni_maintain=0.08199, bi_search=0.1619, bi_subSolve=0.0230189, bi_maintain=0.0454149, admm_maintain=0.0405708, area1=390.344, area23=1.04669, area4=1.12767, dual_obj=-110.426, overall time=46.2926
i=27, infea=0.134944, nnz_a=11.3634, nnz_b=21.1397, uni_search=1.08709, uni_subSolve=0.0667124, uni_maintain=0.0767716, bi_search=0.219301, bi_subSolve=0.0265196, bi_maintain=0.0582042, admm_maintain=0.0566045, area1=405.365, area23=1.05069, area4=1.12513, dual_obj=-113.323, overall time=47.9528
i=28, infea=0.136547, nnz_a=11.4198, nnz_b=21.576, uni_search=1.18571, uni_subSolve=0.0724732, uni_maintain=0.0862171, bi_search=0.369832, bi_subSolve=0.0421834, bi_maintain=0.126262, admm_maintain=0.0884014, area1=419.144, area23=1.05359, area4=1.12736, dual_obj=-116.154, overall time=50.0219
i=29, infea=0.138125, nnz_a=11.4626, nnz_b=21.9855, uni_search=1.27191, uni_subSolve=0.0775707, uni_maintain=0.0931971, bi_search=0.455171, bi_subSolve=0.0478027, bi_maintain=0.147028, admm_maintain=0.0899243, area1=432.596, area23=1.05704, area4=1.13499, dual_obj=-118.928, p_obj=357.752, heldout Acc=0.357424, overall time=52.3109
i=30, infea=0.139591, nnz_a=11.5015, nnz_b=22.3958, uni_search=1.14325, uni_subSolve=0.0692227, uni_maintain=0.0838252, bi_search=0.35575, bi_subSolve=0.0431503, bi_maintain=0.1245, admm_maintain=0.0603597, area1=445.56, area23=1.06142, area4=1.13356, dual_obj=-121.64, overall time=54.2847
i=31, infea=0.141033, nnz_a=11.526, nnz_b=22.7811, uni_search=1.28234, uni_subSolve=0.0761945, uni_maintain=0.0934345, bi_search=0.431231, bi_subSolve=0.0495879, bi_maintain=0.146763, admm_maintain=0.0784265, area1=457.742, area23=1.06524, area4=1.1299, dual_obj=-124.309, overall time=56.5498
i=32, infea=0.142421, nnz_a=11.5449, nnz_b=23.1477, uni_search=1.29215, uni_subSolve=0.0768699, uni_maintain=0.0947918, bi_search=0.400444, bi_subSolve=0.0475239, bi_maintain=0.136984, admm_maintain=0.0476398, area1=469.703, area23=1.06986, area4=1.12656, dual_obj=-126.93, overall time=58.7444
i=33, infea=0.143747, nnz_a=11.5709, nnz_b=23.5016, uni_search=1.18004, uni_subSolve=0.0711296, uni_maintain=0.0865768, bi_search=0.441346, bi_subSolve=0.0513762, bi_maintain=0.149819, admm_maintain=0.0801544, area1=481.205, area23=1.07433, area4=1.13944, dual_obj=-129.494, overall time=60.908
i=34, infea=0.145084, nnz_a=11.5962, nnz_b=23.8351, uni_search=1.1902, uni_subSolve=0.0725144, uni_maintain=0.0885403, bi_search=0.446182, bi_subSolve=0.0524048, bi_maintain=0.152154, admm_maintain=0.079283, area1=491.951, area23=1.08006, area4=1.13244, dual_obj=-132.045, overall time=63.0928
i=35, infea=0.146438, nnz_a=11.607, nnz_b=24.1642, uni_search=1.29312, uni_subSolve=0.077714, uni_maintain=0.0952649, bi_search=0.328908, bi_subSolve=0.0427367, bi_maintain=0.114505, admm_maintain=0.0440191, area1=502.252, area23=1.08641, area4=1.1326, dual_obj=-134.542, overall time=65.1801
i=36, infea=0.147734, nnz_a=11.603, nnz_b=24.4852, uni_search=1.18659, uni_subSolve=0.0719945, uni_maintain=0.0875588, bi_search=0.460688, bi_subSolve=0.0546184, bi_maintain=0.156132, admm_maintain=0.0852887, area1=511.762, area23=1.09234, area4=1.14341, dual_obj=-137.005, overall time=67.3894
i=37, infea=0.148996, nnz_a=11.6122, nnz_b=24.793, uni_search=1.24365, uni_subSolve=0.0746753, uni_maintain=0.0912327, bi_search=0.382263, bi_subSolve=0.0481777, bi_maintain=0.131606, admm_maintain=0.0797493, area1=520.725, area23=1.09846, area4=1.13133, dual_obj=-139.419, overall time=69.5416
i=38, infea=0.150269, nnz_a=11.6249, nnz_b=25.1032, uni_search=1.28292, uni_subSolve=0.0768897, uni_maintain=0.0945433, bi_search=0.468386, bi_subSolve=0.0558897, bi_maintain=0.15851, admm_maintain=0.0807812, area1=529.147, area23=1.10697, area4=1.13371, dual_obj=-141.798, overall time=71.8673
i=39, infea=0.151584, nnz_a=11.6382, nnz_b=25.3958, uni_search=1.30275, uni_subSolve=0.0783845, uni_maintain=0.0970842, bi_search=0.327098, bi_subSolve=0.0442299, bi_maintain=0.1132, admm_maintain=0.0450827, area1=537.197, area23=1.11428, area4=1.13705, dual_obj=-144.173, p_obj=270.002, heldout Acc=0.412615, overall time=73.9661
i=40, infea=0.152909, nnz_a=11.6367, nnz_b=25.7023, uni_search=1.28984, uni_subSolve=0.0837977, uni_maintain=0.101046, bi_search=0.324567, bi_subSolve=0.0402392, bi_maintain=0.0917425, admm_maintain=0.0658344, area1=544.926, area23=1.122, area4=1.13817, dual_obj=-146.507, overall time=76.0461
