using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=0.1, C=1, eta=1
i=0, infea=0.0964916, nnz_a=1.99993, nnz_b=2, uni_search=0.893012, uni_subSolve=0.0129335, uni_maintain=0.00886851, bi_search=0.0512273, bi_subSolve=0.00527284, bi_maintain=0.0181251, admm_maintain=0.00727606, area1=0.999841, area23=1.00382, area4=1.00032, dual_obj=-725.565, overall time=1.20305
i=18, infea=0.531009, nnz_a=15.228, nnz_b=19.5626, uni_search=0.898006, uni_subSolve=0.0679411, uni_maintain=0.0734618, bi_search=0.155527, bi_subSolve=0.0213422, bi_maintain=0.04265, admm_maintain=0.0330914, area1=293.907, area23=1.12252, area4=1.00095, dual_obj=-6418.8, overall time=23.082
i=19, infea=0.529647, nnz_a=15.7081, nnz_b=20.4891, uni_search=0.888874, uni_subSolve=0.0692058, uni_maintain=0.0743747, bi_search=0.164916, bi_subSolve=0.0227113, bi_maintain=0.0450216, admm_maintain=0.0314093, area1=320.28, area23=1.13429, area4=1.00016, dual_obj=-6563.9, p_obj=15027.3, heldout Acc=0.57293, overall time=24.4369
i=20, infea=0.528029, nnz_a=16.1657, nnz_b=21.4133, uni_search=0.924751, uni_subSolve=0.0740558, uni_maintain=0.0810739, bi_search=0.166135, bi_subSolve=0.0235748, bi_maintain=0.0456211, admm_maintain=0.0338808, area1=346.536, area23=1.1447, area4=1.00079, dual_obj=-6701.67, overall time=25.8454
i=21, infea=0.526453, nnz_a=16.6031, nnz_b=22.3295, uni_search=0.950721, uni_subSolve=0.0781892, uni_maintain=0.0868412, bi_search=0.179085, bi_subSolve=0.0252365, bi_maintain=0.0486625, admm_maintain=0.0345439, area1=372.952, area23=1.15796, area4=1.00016, dual_obj=-6833.22, overall time=27.3088
i=22, infea=0.524897, nnz_a=17.0132, nnz_b=23.2352, uni_search=0.912077, uni_subSolve=0.0764244, uni_maintain=0.083475, bi_search=0.19631, bi_subSolve=0.0270561, bi_maintain=0.0522671, admm_maintain=0.0419378, area1=398.767, area23=1.17138, area4=1.00064, dual_obj=-6958.44, overall time=28.76
i=23, infea=0.523577, nnz_a=17.4025, nnz_b=24.1361, uni_search=0.937331, uni_subSolve=0.0804331, uni_maintain=0.0886704, bi_search=0.181537, bi_subSolve=0.0270267, bi_maintain=0.049797, admm_maintain=0.0360288, area1=424.218, area23=1.1847, area4=1.00127, dual_obj=-7079.31, overall time=30.2208
i=24, infea=0.522639, nnz_a=17.7902, nnz_b=25.0334, uni_search=0.945342, uni_subSolve=0.08295, uni_maintain=0.0917344, bi_search=0.196056, bi_subSolve=0.0287301, bi_maintain=0.0533795, admm_maintain=0.0393963, area1=449.061, area23=1.2015, area4=1.00191, dual_obj=-7196.03, overall time=31.7198
i=25, infea=0.522042, nnz_a=18.1458, nnz_b=25.9227, uni_search=0.914665, uni_subSolve=0.0814608, uni_maintain=0.0890182, bi_search=0.191621, bi_subSolve=0.0294485, bi_maintain=0.0527121, admm_maintain=0.0403871, area1=473.17, area23=1.21704, area4=1.00159, dual_obj=-7309.43, overall time=33.181
i=26, infea=0.5219, nnz_a=18.4737, nnz_b=26.8029, uni_search=0.946736, uni_subSolve=0.0861024, uni_maintain=0.0954875, bi_search=0.20623, bi_subSolve=0.0311374, bi_maintain=0.056083, admm_maintain=0.0406641, area1=496.763, area23=1.23523, area4=1.00175, dual_obj=-7420, overall time=34.7049
i=27, infea=0.52225, nnz_a=18.7797, nnz_b=27.6763, uni_search=0.911679, uni_subSolve=0.0838874, uni_maintain=0.0915481, bi_search=0.210584, bi_subSolve=0.0323329, bi_maintain=0.0573295, admm_maintain=0.0483635, area1=519.206, area23=1.25337, area4=1.00238, dual_obj=-7528.17, overall time=36.2041
