using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=1, C=1, eta=0.1
i=19, infea=0.975571, nnz_a=12.4539, nnz_b=13.4655, uni_search=1.24569, uni_subSolve=0.0832348, uni_maintain=0.0994822, bi_search=47.318, bi_subSolve=0.0887096, bi_maintain=0.376973, admm_maintain=0.0719423, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10469.5, p_obj=16039.2, heldout Acc=0.567674, overall time=977.772
i=20, infea=0.96596, nnz_a=12.65, nnz_b=13.7009, uni_search=1.27443, uni_subSolve=0.0859789, uni_maintain=0.106092, bi_search=24.3508, bi_subSolve=0.0309798, bi_maintain=0.15113, admm_maintain=0.0480013, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10556.4, overall time=1003.92
i=21, infea=0.955638, nnz_a=12.848, nnz_b=13.9355, uni_search=1.22107, uni_subSolve=0.0837595, uni_maintain=0.0990072, bi_search=21.4429, bi_subSolve=0.0256483, bi_maintain=0.144788, admm_maintain=0.051004, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10622.9, overall time=1027.07
i=22, infea=0.945012, nnz_a=13.0291, nnz_b=14.172, uni_search=1.31399, uni_subSolve=0.0932858, uni_maintain=0.11846, bi_search=21.4385, bi_subSolve=0.0264034, bi_maintain=0.147121, admm_maintain=0.0480361, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10673.1, overall time=1050.34
i=23, infea=0.934797, nnz_a=13.206, nnz_b=14.4132, uni_search=1.23732, uni_subSolve=0.0871879, uni_maintain=0.103418, bi_search=20.9677, bi_subSolve=0.0239721, bi_maintain=0.12418, admm_maintain=0.0501934, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10710, overall time=1073.01
i=24, infea=0.924832, nnz_a=13.3803, nnz_b=14.6624, uni_search=1.30343, uni_subSolve=0.0947805, uni_maintain=0.117069, bi_search=21.4406, bi_subSolve=0.0285093, bi_maintain=0.168187, admm_maintain=0.0499335, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10735.9, overall time=1096.3
i=25, infea=0.914807, nnz_a=13.546, nnz_b=14.9265, uni_search=1.30632, uni_subSolve=0.0960579, uni_maintain=0.11903, bi_search=25.1938, bi_subSolve=0.0389938, bi_maintain=0.200679, admm_maintain=0.0768541, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10753.4, overall time=1123.44
i=26, infea=0.90551, nnz_a=13.708, nnz_b=15.2088, uni_search=1.31231, uni_subSolve=0.0930432, uni_maintain=0.114378, bi_search=46.1564, bi_subSolve=0.0927168, bi_maintain=0.366002, admm_maintain=0.0876734, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10763.3, overall time=1171.82
i=27, infea=0.896473, nnz_a=13.8885, nnz_b=15.5113, uni_search=1.22331, uni_subSolve=0.0856215, uni_maintain=0.104669, bi_search=43.848, bi_subSolve=0.0892881, bi_maintain=0.350357, admm_maintain=0.0387818, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10767, overall time=1217.69
i=28, infea=0.887504, nnz_a=14.0779, nnz_b=15.8201, uni_search=1.03692, uni_subSolve=0.0747022, uni_maintain=0.0849537, bi_search=20.7789, bi_subSolve=0.0233769, bi_maintain=0.106393, admm_maintain=0.0416995, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10765.8, overall time=1239.91
i=29, infea=0.878953, nnz_a=14.2488, nnz_b=16.1421, uni_search=1.03625, uni_subSolve=0.0755966, uni_maintain=0.0857963, bi_search=20.7749, bi_subSolve=0.023721, bi_maintain=0.105923, admm_maintain=0.0434457, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10760.1, p_obj=16337.7, heldout Acc=0.586071, overall time=1262.13
i=30, infea=0.870375, nnz_a=14.4219, nnz_b=16.4895, uni_search=1.28695, uni_subSolve=0.103686, uni_maintain=0.139758, bi_search=47.1001, bi_subSolve=0.091919, bi_maintain=0.354977, admm_maintain=0.0856898, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10751.3, overall time=1311.44
i=31, infea=0.862105, nnz_a=14.6041, nnz_b=16.8127, uni_search=1.36727, uni_subSolve=0.109081, uni_maintain=0.13297, bi_search=20.9816, bi_subSolve=0.0285636, bi_maintain=0.129421, admm_maintain=0.0575859, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10739.2, overall time=1334.33
i=32, infea=0.854062, nnz_a=14.7995, nnz_b=17.1534, uni_search=1.3675, uni_subSolve=0.110044, uni_maintain=0.13426, bi_search=20.8155, bi_subSolve=0.0272018, bi_maintain=0.122807, admm_maintain=0.0525235, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10724.2, overall time=1357.03
i=33, infea=0.846238, nnz_a=14.9967, nnz_b=17.4841, uni_search=1.11128, uni_subSolve=0.084492, uni_maintain=0.0974636, bi_search=28.2119, bi_subSolve=0.0600816, bi_maintain=0.227274, admm_maintain=0.0417168, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10707.3, overall time=1386.96
i=34, infea=0.838541, nnz_a=15.2032, nnz_b=17.821, uni_search=1.01539, uni_subSolve=0.0773402, uni_maintain=0.0915246, bi_search=34.5996, bi_subSolve=0.0768074, bi_maintain=0.28857, admm_maintain=0.0726364, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10688.4, overall time=1423.3
