using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=1, admm_step_size=0, C=1, eta=1
i=19, infea=0.544161, nnz_a=13.145, nnz_b=20.1235, uni_search=0.85754, uni_subSolve=0.0519202, uni_maintain=0.0637389, bi_search=20.7174, bi_subSolve=0.0288475, bi_maintain=0.0871385, admm_maintain=0.0288474, area1=-nan, area23=-nan, area4=-nan, dual_obj=-6506.45, p_obj=15103.2, heldout Acc=0.432983, overall time=452.92
i=20, infea=0.554763, nnz_a=13.4356, nnz_b=20.9765, uni_search=0.856561, uni_subSolve=0.0527387, uni_maintain=0.0621737, bi_search=20.7164, bi_subSolve=0.029072, bi_maintain=0.0869436, admm_maintain=0.0287386, area1=-nan, area23=-nan, area4=-nan, dual_obj=-6668.73, overall time=474.814
i=21, infea=0.564571, nnz_a=13.7094, nnz_b=21.8167, uni_search=0.921224, uni_subSolve=0.0587507, uni_maintain=0.0735723, bi_search=20.7477, bi_subSolve=0.0319324, bi_maintain=0.0956637, admm_maintain=0.0316896, area1=-nan, area23=-nan, area4=-nan, dual_obj=-6822.86, overall time=496.837
i=22, infea=0.573904, nnz_a=13.9619, nnz_b=22.6458, uni_search=0.921106, uni_subSolve=0.059713, uni_maintain=0.0721441, bi_search=20.7494, bi_subSolve=0.0331173, bi_maintain=0.0992179, admm_maintain=0.0325175, area1=-nan, area23=-nan, area4=-nan, dual_obj=-6968.06, overall time=518.865
i=23, infea=0.582695, nnz_a=14.2027, nnz_b=23.4555, uni_search=0.921738, uni_subSolve=0.06062, uni_maintain=0.0734357, bi_search=21.7391, bi_subSolve=0.0551231, bi_maintain=0.142756, admm_maintain=0.0316757, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7105.66, overall time=541.957
i=24, infea=0.590885, nnz_a=14.434, nnz_b=24.2589, uni_search=0.980976, uni_subSolve=0.0668176, uni_maintain=0.0822963, bi_search=23.0518, bi_subSolve=0.104678, bi_maintain=0.212676, admm_maintain=0.031921, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7235.39, overall time=566.57
i=25, infea=0.598731, nnz_a=14.6505, nnz_b=25.0494, uni_search=0.96227, uni_subSolve=0.0673706, uni_maintain=0.0826438, bi_search=20.9934, bi_subSolve=0.0493427, bi_maintain=0.116918, admm_maintain=0.0351437, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7358.93, overall time=588.945
i=26, infea=0.605963, nnz_a=14.844, nnz_b=25.814, uni_search=0.937132, uni_subSolve=0.064236, uni_maintain=0.0791243, bi_search=20.7377, bi_subSolve=0.0362824, bi_maintain=0.107903, admm_maintain=0.0341986, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7475.54, overall time=611.003
i=27, infea=0.612716, nnz_a=15.0338, nnz_b=26.5621, uni_search=0.854152, uni_subSolve=0.0576571, uni_maintain=0.0719748, bi_search=20.7127, bi_subSolve=0.0333153, bi_maintain=0.10235, admm_maintain=0.0316348, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7585.93, overall time=632.927
i=28, infea=0.619317, nnz_a=15.215, nnz_b=27.2941, uni_search=0.854094, uni_subSolve=0.0581929, uni_maintain=0.070187, bi_search=20.7109, bi_subSolve=0.0338502, bi_maintain=0.101437, admm_maintain=0.0319927, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7690.6, overall time=654.847
i=29, infea=0.62541, nnz_a=15.3871, nnz_b=28.0161, uni_search=0.854265, uni_subSolve=0.0587341, uni_maintain=0.0708739, bi_search=20.7119, bi_subSolve=0.0345185, bi_maintain=0.103834, admm_maintain=0.0321781, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7790.03, p_obj=15358.6, heldout Acc=0.521682, overall time=676.773
i=30, infea=0.631281, nnz_a=15.548, nnz_b=28.7241, uni_search=0.871623, uni_subSolve=0.0635043, uni_maintain=0.0762299, bi_search=20.8853, bi_subSolve=0.042099, bi_maintain=0.140489, admm_maintain=0.0335254, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7884.8, overall time=698.951
i=31, infea=0.63659, nnz_a=15.7047, nnz_b=29.4186, uni_search=0.857753, uni_subSolve=0.0599478, uni_maintain=0.072625, bi_search=20.7632, bi_subSolve=0.0396833, bi_maintain=0.119122, admm_maintain=0.0335709, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7973.82, overall time=720.957
i=32, infea=0.641869, nnz_a=15.8492, nnz_b=30.0905, uni_search=0.857578, uni_subSolve=0.0603864, uni_maintain=0.0738989, bi_search=20.7347, bi_subSolve=0.0390498, bi_maintain=0.11638, admm_maintain=0.0334146, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8059.15, overall time=742.934
i=33, infea=0.646946, nnz_a=15.9829, nnz_b=30.7546, uni_search=0.854508, uni_subSolve=0.0606609, uni_maintain=0.0771529, bi_search=20.725, bi_subSolve=0.0387424, bi_maintain=0.114339, admm_maintain=0.033966, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8140.33, overall time=764.899
i=34, infea=0.651613, nnz_a=16.1089, nnz_b=31.3909, uni_search=0.854543, uni_subSolve=0.0610798, uni_maintain=0.0749415, bi_search=20.7267, bi_subSolve=0.0401562, bi_maintain=0.11602, admm_maintain=0.0343941, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8217.48, overall time=786.867
i=35, infea=0.655991, nnz_a=16.2307, nnz_b=32.0153, uni_search=0.853993, uni_subSolve=0.0614085, uni_maintain=0.0781475, bi_search=20.7189, bi_subSolve=0.0389525, bi_maintain=0.115905, admm_maintain=0.0345335, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8291, overall time=808.83
i=36, infea=0.660311, nnz_a=16.3391, nnz_b=32.6322, uni_search=0.854558, uni_subSolve=0.0617676, uni_maintain=0.0760383, bi_search=20.7516, bi_subSolve=0.0427767, bi_maintain=0.125254, admm_maintain=0.0403538, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8361.39, overall time=830.845
i=37, infea=0.6642, nnz_a=16.4464, nnz_b=33.228, uni_search=0.957674, uni_subSolve=0.0718673, uni_maintain=0.0909786, bi_search=20.7426, bi_subSolve=0.0450191, bi_maintain=0.130152, admm_maintain=0.0383035, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8428.41, overall time=852.986
i=38, infea=0.668119, nnz_a=16.5475, nnz_b=33.8125, uni_search=0.857203, uni_subSolve=0.0625692, uni_maintain=0.0800834, bi_search=20.8862, bi_subSolve=0.0492467, bi_maintain=0.159149, admm_maintain=0.0371391, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8492.46, overall time=875.182
i=39, infea=0.671875, nnz_a=16.641, nnz_b=34.3876, uni_search=0.866019, uni_subSolve=0.0666975, uni_maintain=0.081587, bi_search=20.7965, bi_subSolve=0.0452062, bi_maintain=0.137933, admm_maintain=0.0356968, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8553.8, p_obj=15469, heldout Acc=0.51774 (1/100), overall time=897.275
i=40, infea=0.675436, nnz_a=16.7332, nnz_b=34.9475, uni_search=0.921505, uni_subSolve=0.0693228, uni_maintain=0.0876759, bi_search=20.7547, bi_subSolve=0.0443066, bi_maintain=0.130688, admm_maintain=0.0396413, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8612.06, overall time=919.385
i=41, infea=0.678771, nnz_a=16.8218, nnz_b=35.497, uni_search=0.854911, uni_subSolve=0.0632796, uni_maintain=0.0807825, bi_search=20.7263, bi_subSolve=0.0421738, bi_maintain=0.12424, admm_maintain=0.0361797, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8667.88, overall time=941.375
i=42, infea=0.68191, nnz_a=16.9085, nnz_b=36.028, uni_search=0.921999, uni_subSolve=0.0699948, uni_maintain=0.090691, bi_search=20.7499, bi_subSolve=0.0462073, bi_maintain=0.135972, admm_maintain=0.0415022, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8721.36, overall time=963.496
i=43, infea=0.684867, nnz_a=16.9944, nnz_b=36.5516, uni_search=0.950841, uni_subSolve=0.0732538, uni_maintain=0.0928367, bi_search=20.7403, bi_subSolve=0.0463256, bi_maintain=0.137944, admm_maintain=0.0406656, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8772.49, overall time=985.642
i=44, infea=0.687662, nnz_a=17.0689, nnz_b=37.0594, uni_search=0.939112, uni_subSolve=0.0722384, uni_maintain=0.0916314, bi_search=20.8849, bi_subSolve=0.0527059, bi_maintain=0.165587, admm_maintain=0.0380624, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8821.52, overall time=1007.95
i=45, infea=0.690369, nnz_a=17.1441, nnz_b=37.5548, uni_search=0.867054, uni_subSolve=0.0685549, uni_maintain=0.0839138, bi_search=20.8971, bi_subSolve=0.0590184, bi_maintain=0.172152, admm_maintain=0.0378443, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8868.88, overall time=1030.2
i=46, infea=0.693123, nnz_a=17.2152, nnz_b=38.0412, uni_search=0.915916, uni_subSolve=0.0709551, uni_maintain=0.0896659, bi_search=20.9273, bi_subSolve=0.0558509, bi_maintain=0.176439, admm_maintain=0.038018, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8913.83, overall time=1052.54
i=47, infea=0.695772, nnz_a=17.2794, nnz_b=38.5171, uni_search=0.863676, uni_subSolve=0.0685778, uni_maintain=0.0840603, bi_search=20.8827, bi_subSolve=0.0551609, bi_maintain=0.167624, admm_maintain=0.0374368, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8957.08, overall time=1074.77
i=48, infea=0.698241, nnz_a=17.3439, nnz_b=38.9816, uni_search=0.921162, uni_subSolve=0.0713114, uni_maintain=0.0924327, bi_search=20.7643, bi_subSolve=0.0500227, bi_maintain=0.143689, admm_maintain=0.0410295, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8998.62, overall time=1096.91
i=49, infea=0.700485, nnz_a=17.4045, nnz_b=39.4314, uni_search=0.855261, uni_subSolve=0.0651547, uni_maintain=0.0831641, bi_search=20.7262, bi_subSolve=0.0457397, bi_maintain=0.134721, admm_maintain=0.0390171, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9038.47, p_obj=15496.2, heldout Acc=0.514455 (2/100), overall time=1118.93
i=50, infea=0.702616, nnz_a=17.4639, nnz_b=39.8642, uni_search=0.857856, uni_subSolve=0.0653673, uni_maintain=0.0811768, bi_search=20.7238, bi_subSolve=0.0449618, bi_maintain=0.133705, admm_maintain=0.0394365, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9077.06, overall time=1140.93
i=51, infea=0.704807, nnz_a=17.5169, nnz_b=40.3038, uni_search=0.857513, uni_subSolve=0.0657162, uni_maintain=0.0844301, bi_search=20.7261, bi_subSolve=0.0450046, bi_maintain=0.136583, admm_maintain=0.0383075, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9113.51, overall time=1162.95
i=52, infea=0.706784, nnz_a=17.5687, nnz_b=40.7238, uni_search=0.854828, uni_subSolve=0.0655554, uni_maintain=0.0815487, bi_search=20.879, bi_subSolve=0.0554646, bi_maintain=0.167689, admm_maintain=0.0392209, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9148.95, overall time=1185.16
i=53, infea=0.708786, nnz_a=17.6191, nnz_b=41.1378, uni_search=0.86483, uni_subSolve=0.0695859, uni_maintain=0.0857258, bi_search=20.8979, bi_subSolve=0.0547075, bi_maintain=0.183137, admm_maintain=0.0392987, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9183.01, overall time=1207.42
