using heldout data set: /scratch/cluster/ianyen/data/speech/speech.test, early_terminate=100
D=118
K=878
N=13491
nSeq=912
split_up_rate=5, admm_step_size=1, C=1, eta=10
i=0, infea=0.02011, nnz_a=2, nnz_b=2, uni_search=0.493165, uni_subSolve=0.0202199, uni_maintain=0.00951711, bi_search=0.137699, bi_subSolve=0.00907457, bi_maintain=0.0474869, admm_maintain=0.0144421, area1=1, area23=1.0004, area4=1, dual_obj=-208.399, overall time=1.19054
i=19, infea=0.0388513, nnz_a=10.2005, nnz_b=17.6489, uni_search=0.486988, uni_subSolve=0.0769112, uni_maintain=0.0790039, bi_search=0.383476, bi_subSolve=0.0356681, bi_maintain=0.120467, admm_maintain=0.0546358, area1=256.74, area23=1.11811, area4=1.01654, dual_obj=-1178.65, p_obj=14405.8, heldout Acc=0.623522, overall time=21.7946
i=20, infea=0.0392581, nnz_a=10.4087, nnz_b=18.1587, uni_search=0.473977, uni_subSolve=0.0730394, uni_maintain=0.0748297, bi_search=0.357921, bi_subSolve=0.0345214, bi_maintain=0.113235, admm_maintain=0.048632, area1=280.478, area23=1.12218, area4=1.0221, dual_obj=-1213.57, overall time=23.0613
i=21, infea=0.0396489, nnz_a=10.5983, nnz_b=18.657, uni_search=0.474381, uni_subSolve=0.0743614, uni_maintain=0.0762547, bi_search=0.360837, bi_subSolve=0.0347578, bi_maintain=0.114103, admm_maintain=0.0429767, area1=304.72, area23=1.12691, area4=1.02608, dual_obj=-1247.53, overall time=24.325
i=22, infea=0.0399209, nnz_a=10.7881, nnz_b=19.1344, uni_search=0.477111, uni_subSolve=0.0753782, uni_maintain=0.0774133, bi_search=0.382559, bi_subSolve=0.0366076, bi_maintain=0.119063, admm_maintain=0.0450796, area1=330.081, area23=1.13052, area4=1.03387, dual_obj=-1281.7, overall time=25.6284
i=23, infea=0.040269, nnz_a=10.9738, nnz_b=19.6055, uni_search=0.471762, uni_subSolve=0.0762548, uni_maintain=0.0785853, bi_search=0.39778, bi_subSolve=0.0375746, bi_maintain=0.122613, admm_maintain=0.0504637, area1=356.116, area23=1.13454, area4=1.03546, dual_obj=-1315.08, overall time=26.9503
i=24, infea=0.0405084, nnz_a=11.1482, nnz_b=20.0463, uni_search=0.474258, uni_subSolve=0.0767422, uni_maintain=0.0790393, bi_search=0.407548, bi_subSolve=0.0384087, bi_maintain=0.125212, admm_maintain=0.0469719, area1=383.531, area23=1.13934, area4=1.04086, dual_obj=-1347.7, overall time=28.2879
i=25, infea=0.0406544, nnz_a=11.3296, nnz_b=20.4713, uni_search=0.470907, uni_subSolve=0.0771958, uni_maintain=0.0798048, bi_search=0.429508, bi_subSolve=0.0397207, bi_maintain=0.12959, admm_maintain=0.04719, area1=411.116, area23=1.14452, area4=1.05183, dual_obj=-1379.65, overall time=29.6486
i=26, infea=0.0408045, nnz_a=11.4982, nnz_b=20.8858, uni_search=0.47842, uni_subSolve=0.0795526, uni_maintain=0.0823835, bi_search=0.44383, bi_subSolve=0.0406658, bi_maintain=0.133041, admm_maintain=0.0499128, area1=439.782, area23=1.14934, area4=1.04897, dual_obj=-1411.63, overall time=31.0436
i=27, infea=0.0409735, nnz_a=11.6692, nnz_b=21.2727, uni_search=0.470735, uni_subSolve=0.0797189, uni_maintain=0.0829426, bi_search=0.45445, bi_subSolve=0.0412149, bi_maintain=0.13459, admm_maintain=0.0491049, area1=469.166, area23=1.1524, area4=1.05915, dual_obj=-1442.64, overall time=32.4431
i=28, infea=0.0410943, nnz_a=11.8228, nnz_b=21.6597, uni_search=0.475431, uni_subSolve=0.0806903, uni_maintain=0.084245, bi_search=0.46944, bi_subSolve=0.0423427, bi_maintain=0.137552, admm_maintain=0.0481777, area1=499.311, area23=1.15743, area4=1.07298, dual_obj=-1473.1, overall time=33.8713
