using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.10
D=5001
K=405
N=15666
d=237.683
r=1
i=19, a_nnz=4.87074, ever_a_nnz=10.8746, b_nnz=72.8089, uni_search=15.0195, uni_subSolve=1.91472, uni_maintain_time=0.250768, bi_search=0.791902, bi_subSolve=1.04993, bi_maintain_time=0.267759, admm_maintain=1.40842, area4=1.84527, infea=0.439475, d_obj=-14.213, p_obj=17277.2, heldout Acc=1 (1/50), overall time=274.864
i=20, a_nnz=4.90808, ever_a_nnz=11.1612, b_nnz=77.1046, uni_search=13.175, uni_subSolve=1.57878, uni_maintain_time=0.22885, bi_search=0.575883, bi_subSolve=0.949553, bi_maintain_time=0.236252, admm_maintain=0.942653, area4=1.8574, infea=0.672104, d_obj=41.311, overall time=293.225
i=21, a_nnz=4.9354, ever_a_nnz=11.4383, b_nnz=81.4449, uni_search=14.5183, uni_subSolve=1.56342, uni_maintain_time=0.185383, bi_search=0.572686, bi_subSolve=1.08773, bi_maintain_time=0.304196, admm_maintain=0.971987, area4=1.87846, infea=0.557003, d_obj=45.81, overall time=313.196
i=22, a_nnz=4.98666, ever_a_nnz=11.7079, b_nnz=85.8876, uni_search=11.9823, uni_subSolve=1.2798, uni_maintain_time=0.154343, bi_search=0.57398, bi_subSolve=0.963988, bi_maintain_time=0.244145, admm_maintain=1.2141, area4=1.87157, infea=0.451524, d_obj=-15.6734, overall time=330.372
i=23, a_nnz=5.01104, ever_a_nnz=11.964, b_nnz=90.3022, uni_search=12.2259, uni_subSolve=1.34942, uni_maintain_time=0.157006, bi_search=0.837272, bi_subSolve=1.49098, bi_maintain_time=0.360463, admm_maintain=0.994487, area4=1.87144, infea=0.50979, d_obj=-7.0147, overall time=348.644
i=24, a_nnz=5.04545, ever_a_nnz=12.2127, b_nnz=94.6892, uni_search=12.037, uni_subSolve=1.35349, uni_maintain_time=0.181953, bi_search=0.61586, bi_subSolve=1.12592, bi_maintain_time=0.331362, admm_maintain=1.02589, area4=1.89787, infea=1.76365, d_obj=499.356, overall time=366.187
i=25, a_nnz=5.0616, ever_a_nnz=12.4538, b_nnz=99.1309, uni_search=13.9003, uni_subSolve=1.43283, uni_maintain_time=0.172765, bi_search=0.600021, bi_subSolve=1.038, bi_maintain_time=0.270871, admm_maintain=1.13327, area4=1.92264, infea=0.726764, d_obj=149.711, overall time=385.62
i=26, a_nnz=5.08113, ever_a_nnz=12.6893, b_nnz=103.624, uni_search=14.4586, uni_subSolve=1.73605, uni_maintain_time=0.198468, bi_search=0.597931, bi_subSolve=1.03803, bi_maintain_time=0.251473, admm_maintain=1.15375, area4=1.97957, infea=0.925988, d_obj=77.1808, overall time=406.228
i=27, a_nnz=5.10086, ever_a_nnz=12.9144, b_nnz=108.107, uni_search=12.5696, uni_subSolve=1.27463, uni_maintain_time=0.167045, bi_search=0.621914, bi_subSolve=1.06045, bi_maintain_time=0.262783, admm_maintain=1.09728, area4=2.0863, infea=0.474446, d_obj=-12.158, overall time=424.665
i=28, a_nnz=5.12658, ever_a_nnz=13.133, b_nnz=112.589, uni_search=8.7491, uni_subSolve=0.936087, uni_maintain_time=0.14408, bi_search=0.597932, bi_subSolve=1.0392, bi_maintain_time=0.258522, admm_maintain=1.14468, area4=2.22584, infea=0.585184, d_obj=15.9622, overall time=438.601
