using heldout data set: /scratch/cluster/ianyen/data/multilabel/Eur-Lex-Small.subtest.100
D=5001
K=405
N=15666
d=237.683
r=1
i=19, a_nnz=5.08305, ever_a_nnz=10.875, b_nnz=71.9542, uni_search=4.31291, uni_subSolve=0.414467, uni_maintain_time=0.100235, bi_search=0.195379, bi_subSolve=0.299115, bi_maintain_time=0.115548, admm_maintain=0.289165, area4=1.17069, infea=3.44018, d_obj=7.1277., heldout Acc=0.996296, overall time=98.4656
i=20, a_nnz=5.13373, ever_a_nnz=11.1476, b_nnz=76.0929, uni_search=5.47795, uni_subSolve=0.58362, uni_maintain_time=0.130673, bi_search=0.284426, bi_subSolve=0.413523, bi_maintain_time=0.15825, admm_maintain=0.389053, area4=1.18614, infea=2.67224, d_obj=2.25766, overall time=105.911
i=21, a_nnz=5.17196, ever_a_nnz=11.4169, b_nnz=80.3317, uni_search=5.03003, uni_subSolve=0.536136, uni_maintain_time=0.127465, bi_search=0.268912, bi_subSolve=0.393661, bi_maintain_time=0.150086, admm_maintain=0.400045, area4=1.18205, infea=26.9022, d_obj=285.006, overall time=112.826
i=22, a_nnz=5.22156, ever_a_nnz=11.6727, b_nnz=84.6275, uni_search=5.1885, uni_subSolve=0.564185, uni_maintain_time=0.128808, bi_search=0.294816, bi_subSolve=0.428729, bi_maintain_time=0.16772, admm_maintain=0.427739, area4=1.1929, infea=10.2959, d_obj=49.4738, overall time=120.034
i=23, a_nnz=5.2628, ever_a_nnz=11.9175, b_nnz=88.8853, uni_search=5.35006, uni_subSolve=0.589767, uni_maintain_time=0.13179, bi_search=0.309455, bi_subSolve=0.448797, bi_maintain_time=0.17423, admm_maintain=0.453374, area4=1.20529, infea=6.56614, d_obj=9.7002, overall time=127.5
i=24, a_nnz=5.3071, ever_a_nnz=12.151, b_nnz=93.0124, uni_search=5.41435, uni_subSolve=0.598846, uni_maintain_time=0.131854, bi_search=0.321404, bi_subSolve=0.470815, bi_maintain_time=0.183187, admm_maintain=0.462801, area4=1.23695, infea=4.21352, d_obj=16.3131, overall time=135.091
i=25, a_nnz=5.33997, ever_a_nnz=12.3843, b_nnz=97.1988, uni_search=5.47665, uni_subSolve=0.606717, uni_maintain_time=0.131951, bi_search=0.32937, bi_subSolve=0.48524, bi_maintain_time=0.183208, admm_maintain=0.475204, area4=1.27001, infea=4.81291, d_obj=23.2211, overall time=142.788
i=26, a_nnz=5.37195, ever_a_nnz=12.603, b_nnz=101.347, uni_search=8.54175, uni_subSolve=0.865106, uni_maintain_time=0.148269, bi_search=0.407187, bi_subSolve=0.61836, bi_maintain_time=0.219582, admm_maintain=0.654706, area4=1.29644, infea=2.77328, d_obj=7.04318, overall time=154.252
i=27, a_nnz=5.41268, ever_a_nnz=12.8184, b_nnz=105.619, uni_search=6.94572, uni_subSolve=0.713982, uni_maintain_time=0.134826, bi_search=0.363786, bi_subSolve=0.545244, bi_maintain_time=0.201664, admm_maintain=0.551053, area4=1.37597, infea=2.36369, d_obj=-1.11916, overall time=163.717
i=28, a_nnz=5.44517, ever_a_nnz=13.0219, b_nnz=109.809, uni_search=6.27314, uni_subSolve=0.68079, uni_maintain_time=0.13664, bi_search=0.373531, bi_subSolve=0.561016, bi_maintain_time=0.201927, admm_maintain=0.555115, area4=1.53824, infea=24.2467, d_obj=192.406, overall time=172.508
