using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=19, a_nnz=5.05496, ever_a_nnz=5.71778, b_nnz=26.3812, uni_search=3.2363, uni_subSolve=0.153294, uni_maintain_time=0.0462192, bi_search=44.7051, bi_subSolve=0.125403, bi_maintain_time=0.057129, admm_maintain=0.111007, area4=-nan, infea=780.68, d_obj=11766.1, p_obj=89822.7.........., heldout Acc=0.982035, overall time=971.006
i=20, a_nnz=5.12172, ever_a_nnz=5.79923, b_nnz=27.5482, uni_search=3.33853, uni_subSolve=0.164428, uni_maintain_time=0.0489856, bi_search=44.884, bi_subSolve=0.162008, bi_maintain_time=0.0759291, admm_maintain=0.139591, area4=-nan, infea=754.056, d_obj=11841.8, overall time=1020.01
i=21, a_nnz=5.18354, ever_a_nnz=5.87199, b_nnz=28.6611, uni_search=3.67715, uni_subSolve=0.20013, uni_maintain_time=0.0547189, bi_search=45.199, bi_subSolve=0.241212, bi_maintain_time=0.120901, admm_maintain=0.142933, area4=-nan, infea=723.498, d_obj=11899.7, overall time=1069.88
i=22, a_nnz=5.24022, ever_a_nnz=5.93933, b_nnz=29.7168, uni_search=5.6287, uni_subSolve=0.344089, uni_maintain_time=0.0696854, bi_search=46.1957, bi_subSolve=0.27364, bi_maintain_time=0.136134, admm_maintain=0.138601, area4=-nan, infea=688.679, d_obj=11943.6, overall time=1122.85
i=23, a_nnz=5.28663, ever_a_nnz=5.99784, b_nnz=30.6917, uni_search=3.62202, uni_subSolve=0.195468, uni_maintain_time=0.0551961, bi_search=46.1571, bi_subSolve=0.288119, bi_maintain_time=0.143579, admm_maintain=0.254992, area4=-nan, infea=646.965, d_obj=11963.6, overall time=1173.84
i=24, a_nnz=5.33521, ever_a_nnz=6.05452, b_nnz=31.6451, uni_search=5.76547, uni_subSolve=0.355623, uni_maintain_time=0.0689306, bi_search=46.145, bi_subSolve=0.277418, bi_maintain_time=0.134484, admm_maintain=0.16279, area4=-nan, infea=616.469, d_obj=11960, overall time=1226.97
i=25, a_nnz=5.37883, ever_a_nnz=6.1067, b_nnz=32.5534, uni_search=4.68385, uni_subSolve=0.295607, uni_maintain_time=0.0707609, bi_search=47.3481, bi_subSolve=0.366858, bi_maintain_time=0.186531, admm_maintain=0.197949, area4=-nan, infea=594.433, d_obj=11836.6, overall time=1280.37
i=26, a_nnz=5.42006, ever_a_nnz=6.15613, b_nnz=33.4421, uni_search=5.43953, uni_subSolve=0.320886, uni_maintain_time=0.0585104, bi_search=45.841, bi_subSolve=0.29906, bi_maintain_time=0.145432, admm_maintain=0.15518, area4=-nan, infea=567.559, d_obj=11733, overall time=1332.83
i=27, a_nnz=5.45496, ever_a_nnz=6.20005, b_nnz=34.2644, uni_search=3.88339, uni_subSolve=0.216724, uni_maintain_time=0.0505557, bi_search=45.0978, bi_subSolve=0.244898, bi_maintain_time=0.110128, admm_maintain=0.178462, area4=-nan, infea=546.136, d_obj=11495.8, overall time=1382.83
i=28, a_nnz=5.48951, ever_a_nnz=6.24017, b_nnz=35.0385, uni_search=4.04526, uni_subSolve=0.251956, uni_maintain_time=0.0736497, bi_search=45.7079, bi_subSolve=0.266592, bi_maintain_time=0.120077, admm_maintain=0.165091, area4=-nan, infea=525.128, d_obj=11307.5, overall time=1433.74
