using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.100
D=47237
K=225
N=20835
d=75.9802
r=6
i=19, a_nnz=6.75503, ever_a_nnz=8.08529, b_nnz=41.2498, uni_search=3.37944, uni_subSolve=1.35018, uni_maintain_time=0.128842, bi_search=0.405221, bi_subSolve=0.442255, bi_maintain_time=0.145683, admm_maintain=0.594831, area4=1.03081, infea=1010.17, d_obj=12212.2, overall time=85.7982
i=20, a_nnz=6.88505, ever_a_nnz=8.28692, b_nnz=43.6268, uni_search=2.77617, uni_subSolve=0.902617, uni_maintain_time=0.125975, bi_search=0.261799, bi_subSolve=0.290313, bi_maintain_time=0.108485, admm_maintain=0.560652, area4=1.03523, infea=985.278, d_obj=12427.5, overall time=90.8357
i=21, a_nnz=7.01262, ever_a_nnz=8.48327, b_nnz=46.007, uni_search=2.81805, uni_subSolve=1.02556, uni_maintain_time=0.119501, bi_search=0.603826, bi_subSolve=0.666047, bi_maintain_time=0.194452, admm_maintain=0.644847, area4=1.03081, infea=966.716, d_obj=12696.4, overall time=96.9314
i=22, a_nnz=7.13636, ever_a_nnz=8.67137, b_nnz=48.394, uni_search=2.71932, uni_subSolve=0.965768, uni_maintain_time=0.116165, bi_search=0.372941, bi_subSolve=0.41103, bi_maintain_time=0.137304, admm_maintain=0.354678, area4=1.03321, infea=943.716, d_obj=12948.9, overall time=102.021
i=23, a_nnz=7.25419, ever_a_nnz=8.84987, b_nnz=50.7073, uni_search=2.70553, uni_subSolve=0.956619, uni_maintain_time=0.120188, bi_search=0.396501, bi_subSolve=0.440396, bi_maintain_time=0.145643, admm_maintain=0.43802, area4=1.03475, infea=911.798, d_obj=13153.2, overall time=107.236
i=24, a_nnz=7.36376, ever_a_nnz=9.01862, b_nnz=53.0055, uni_search=3.55201, uni_subSolve=1.37685, uni_maintain_time=0.132747, bi_search=0.34306, bi_subSolve=0.383822, bi_maintain_time=0.133239, admm_maintain=0.560284, area4=1.03408, infea=881.482, d_obj=13342.4, overall time=113.731
i=25, a_nnz=7.47564, ever_a_nnz=9.1856, b_nnz=55.3527, uni_search=3.43542, uni_subSolve=1.28879, uni_maintain_time=0.1308, bi_search=0.420257, bi_subSolve=0.469884, bi_maintain_time=0.154353, admm_maintain=0.573321, area4=1.03648, infea=870.809, d_obj=13506.9, overall time=120.216
i=26, a_nnz=7.58119, ever_a_nnz=9.34154, b_nnz=57.5997, uni_search=3.12788, uni_subSolve=1.14057, uni_maintain_time=0.127343, bi_search=0.663431, bi_subSolve=0.741598, bi_maintain_time=0.202973, admm_maintain=0.611518, area4=1.04156, infea=842.042, d_obj=13560.5, overall time=126.845
i=27, a_nnz=7.67583, ever_a_nnz=9.48625, b_nnz=59.7542, uni_search=2.69913, uni_subSolve=0.920908, uni_maintain_time=0.119343, bi_search=0.398141, bi_subSolve=0.451624, bi_maintain_time=0.14474, admm_maintain=0.472766, area4=1.04281, infea=822.064, d_obj=13583.2, overall time=132.063
i=28, a_nnz=7.77331, ever_a_nnz=9.62856, b_nnz=61.9149, uni_search=3.71988, uni_subSolve=1.35234, uni_maintain_time=0.132283, bi_search=0.489178, bi_subSolve=0.55588, bi_maintain_time=0.169287, admm_maintain=0.39228, area4=1.04444, infea=804.587, d_obj=13550.3, overall time=138.887
