using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.10
D=47237
K=225
N=20835
d=75.9802
r=6
i=19, a_nnz=6.72546, ever_a_nnz=8.06705, b_nnz=41.0139, uni_search=2.92141, uni_subSolve=0.884526, uni_maintain_time=0.152113, bi_search=0.524543, bi_subSolve=0.597367, bi_maintain_time=0.26063, admm_maintain=0.778373, area4=1.03081, infea=1008.51, d_obj=12194.7, p_obj=707760, heldout Acc=0.995556, overall time=98.8666
i=20, a_nnz=6.8647, ever_a_nnz=8.27223, b_nnz=43.4234, uni_search=4.00324, uni_subSolve=1.23276, uni_maintain_time=0.179382, bi_search=0.421717, bi_subSolve=0.49422, bi_maintain_time=0.160213, admm_maintain=0.633868, area4=1.0263, infea=990.552, d_obj=12445.6, overall time=107.283
i=21, a_nnz=6.99717, ever_a_nnz=8.4694, b_nnz=45.8478, uni_search=3.82621, uni_subSolve=1.33107, uni_maintain_time=0.125714, bi_search=0.684485, bi_subSolve=0.742455, bi_maintain_time=0.210786, admm_maintain=0.815378, area4=1.02995, infea=970.197, d_obj=12733, overall time=115.828
i=22, a_nnz=7.11649, ever_a_nnz=8.65289, b_nnz=48.2034, uni_search=3.5128, uni_subSolve=1.14941, uni_maintain_time=0.120605, bi_search=0.676505, bi_subSolve=0.698002, bi_maintain_time=0.242818, admm_maintain=0.955222, area4=1.0335, infea=943.501, d_obj=12987.9, overall time=123.887
i=23, a_nnz=7.23062, ever_a_nnz=8.82731, b_nnz=50.484, uni_search=4.00185, uni_subSolve=1.17224, uni_maintain_time=0.141344, bi_search=0.596045, bi_subSolve=0.776023, bi_maintain_time=0.223023, admm_maintain=0.58576, area4=1.03043, infea=904.221, d_obj=13203.9, overall time=131.946
i=24, a_nnz=7.34384, ever_a_nnz=8.99568, b_nnz=52.7761, uni_search=3.62485, uni_subSolve=1.12818, uni_maintain_time=0.109458, bi_search=0.728742, bi_subSolve=0.770736, bi_maintain_time=0.190961, admm_maintain=0.873529, area4=1.03446, infea=883.255, d_obj=13421.7, overall time=140.038
i=25, a_nnz=7.45313, ever_a_nnz=9.15632, b_nnz=55.0127, uni_search=5.44215, uni_subSolve=1.60822, uni_maintain_time=0.161443, bi_search=0.751273, bi_subSolve=0.827313, bi_maintain_time=0.240882, admm_maintain=0.620104, area4=1.03187, infea=863.436, d_obj=13550.4, overall time=150.383
i=26, a_nnz=7.55383, ever_a_nnz=9.30828, b_nnz=57.1808, uni_search=5.04164, uni_subSolve=1.32967, uni_maintain_time=0.136761, bi_search=0.712033, bi_subSolve=0.772759, bi_maintain_time=0.225438, admm_maintain=1.05606, area4=1.04176, infea=834.141, d_obj=13613.9, overall time=160.53
i=27, a_nnz=7.65366, ever_a_nnz=9.45414, b_nnz=59.3449, uni_search=4.16188, uni_subSolve=1.27011, uni_maintain_time=0.145764, bi_search=0.785806, bi_subSolve=0.963877, bi_maintain_time=0.217222, admm_maintain=0.905221, area4=1.03897, infea=818.142, d_obj=13622.4, overall time=169.755
i=28, a_nnz=7.75128, ever_a_nnz=9.59563, b_nnz=61.4745, uni_search=4.78577, uni_subSolve=1.5564, uni_maintain_time=0.152299, bi_search=0.569758, bi_subSolve=0.781069, bi_maintain_time=0.22496, admm_maintain=0.757901, area4=1.03475, infea=805.043, d_obj=13587.8, overall time=179.275
