using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=83, a_nnz=11.2069, ever_a_nnz=14.2489, b_nnz=171.536, uni_search=3.95341, uni_subSolve=1.18101, uni_maintain_time=0.104235, bi_search=0.837652, bi_subSolve=1.04091, bi_maintain_time=0.253126, admm_maintain=1.21357, area4=1.11068, infea=600.342, d_obj=11541.9, overall time=576.494
i=84, a_nnz=11.2494, ever_a_nnz=14.3068, b_nnz=173.486, uni_search=4.38196, uni_subSolve=1.41003, uni_maintain_time=0.114999, bi_search=1.00007, bi_subSolve=1.19028, bi_maintain_time=0.284094, admm_maintain=1.20392, area4=1.11337, infea=592.431, d_obj=11387.4, overall time=587.169
i=85, a_nnz=11.2943, ever_a_nnz=14.3654, b_nnz=175.459, uni_search=4.37606, uni_subSolve=1.40588, uni_maintain_time=0.114692, bi_search=1.0256, bi_subSolve=1.2188, bi_maintain_time=0.289219, admm_maintain=1.24529, area4=1.11202, infea=596.954, d_obj=11252.4, overall time=597.967
i=86, a_nnz=11.3359, ever_a_nnz=14.4222, b_nnz=177.397, uni_search=4.43812, uni_subSolve=1.43365, uni_maintain_time=0.11433, bi_search=1.02722, bi_subSolve=1.22494, bi_maintain_time=0.29104, admm_maintain=1.23428, area4=1.10809, infea=592.344, d_obj=11087.1, overall time=608.845
i=87, a_nnz=11.3766, ever_a_nnz=14.4789, b_nnz=179.355, uni_search=4.44848, uni_subSolve=1.44012, uni_maintain_time=0.115309, bi_search=1.03923, bi_subSolve=1.23609, bi_maintain_time=0.291843, admm_maintain=1.25282, area4=1.11721, infea=594.039, d_obj=10944.4, overall time=619.802
i=88, a_nnz=11.4131, ever_a_nnz=14.5305, b_nnz=181.175, uni_search=4.49976, uni_subSolve=1.45804, uni_maintain_time=0.115697, bi_search=1.05491, bi_subSolve=1.25347, bi_maintain_time=0.296353, admm_maintain=1.26325, area4=1.1197, infea=591.402, d_obj=10753.5, overall time=630.878
i=89, a_nnz=11.4544, ever_a_nnz=14.5876, b_nnz=183.211, uni_search=4.46132, uni_subSolve=1.43207, uni_maintain_time=0.115447, bi_search=1.04964, bi_subSolve=1.251, bi_maintain_time=0.296745, admm_maintain=1.25252, area4=1.11865, infea=597.162, d_obj=10612.7, overall time=641.853
i=90, a_nnz=11.4942, ever_a_nnz=14.6451, b_nnz=185.237, uni_search=4.50128, uni_subSolve=1.4536, uni_maintain_time=0.115253, bi_search=1.07831, bi_subSolve=1.28462, bi_maintain_time=0.297239, admm_maintain=1.29189, area4=1.12585, infea=598.941, d_obj=10467.1, overall time=653.034
i=91, a_nnz=11.5296, ever_a_nnz=14.6999, b_nnz=187.227, uni_search=4.51611, uni_subSolve=1.46043, uni_maintain_time=0.115819, bi_search=1.08004, bi_subSolve=1.29123, bi_maintain_time=0.305054, admm_maintain=1.29762, area4=1.11567, infea=598.674, d_obj=10340.6, overall time=664.26
i=92, a_nnz=11.5698, ever_a_nnz=14.7536, b_nnz=189.13, uni_search=4.59959, uni_subSolve=1.49766, uni_maintain_time=0.116183, bi_search=1.11562, bi_subSolve=1.32039, bi_maintain_time=0.307119, admm_maintain=1.33054, area4=1.12517, infea=597.736, d_obj=10229, overall time=675.742
i=93, a_nnz=11.6077, ever_a_nnz=14.8069, b_nnz=191.092, uni_search=4.57103, uni_subSolve=1.49129, uni_maintain_time=0.115831, bi_search=1.11304, bi_subSolve=1.3174, bi_maintain_time=0.315107, admm_maintain=1.32888, area4=1.12988, infea=598.884, d_obj=10111, overall time=687.201
i=94, a_nnz=11.6415, ever_a_nnz=14.8588, b_nnz=193, uni_search=4.57524, uni_subSolve=1.49345, uni_maintain_time=0.116966, bi_search=1.12448, bi_subSolve=1.33039, bi_maintain_time=0.310635, admm_maintain=1.36119, area4=1.12901, infea=592.026, d_obj=9984.98, overall time=698.731
i=95, a_nnz=11.6776, ever_a_nnz=14.9105, b_nnz=194.9, uni_search=4.63257, uni_subSolve=1.5128, uni_maintain_time=0.117282, bi_search=1.12906, bi_subSolve=1.33693, bi_maintain_time=0.311501, admm_maintain=1.34967, area4=1.12786, infea=590.379, d_obj=9869.93, overall time=710.323
i=96, a_nnz=11.7155, ever_a_nnz=14.963, b_nnz=196.869, uni_search=4.60501, uni_subSolve=1.50123, uni_maintain_time=0.117045, bi_search=1.12188, bi_subSolve=1.33697, bi_maintain_time=0.31582, admm_maintain=1.37951, area4=1.12633, infea=588.136, d_obj=9739.58, overall time=721.927
i=97, a_nnz=11.7502, ever_a_nnz=15.0142, b_nnz=198.768, uni_search=4.6394, uni_subSolve=1.51267, uni_maintain_time=0.117942, bi_search=1.13426, bi_subSolve=1.34668, bi_maintain_time=0.313868, admm_maintain=1.36781, area4=1.12585, infea=584.433, d_obj=9606.3, overall time=733.61
i=98, a_nnz=11.7845, ever_a_nnz=15.0649, b_nnz=200.674, uni_search=4.64424, uni_subSolve=1.51252, uni_maintain_time=0.119073, bi_search=1.14253, bi_subSolve=1.36365, bi_maintain_time=0.320242, admm_maintain=1.47394, area4=1.12661, infea=585.41, d_obj=9471.4, overall time=745.605
i=99, a_nnz=11.8178, ever_a_nnz=15.1162, b_nnz=202.653, uni_search=5.0247, uni_subSolve=1.71931, uni_maintain_time=0.128128, bi_search=1.32183, bi_subSolve=1.5201, bi_maintain_time=0.353111, admm_maintain=1.54169, area4=1.1341, infea=588.085, d_obj=9337.03, p_obj=21335.5.........., heldout Acc=0.997257, overall time=758.59
i=100, a_nnz=11.8519, ever_a_nnz=15.1672, b_nnz=204.584, uni_search=5.09622, uni_subSolve=1.76348, uni_maintain_time=0.136736, bi_search=1.43222, bi_subSolve=1.64652, bi_maintain_time=0.390378, admm_maintain=1.70181, area4=1.13756, infea=585.9, d_obj=9210.93, overall time=772.261
i=101, a_nnz=11.8862, ever_a_nnz=15.2141, b_nnz=206.382, uni_search=5.08982, uni_subSolve=1.74519, uni_maintain_time=0.13382, bi_search=1.36261, bi_subSolve=1.56482, bi_maintain_time=0.366177, admm_maintain=1.61097, area4=1.13074, infea=586.066, d_obj=9062.12, overall time=785.574
i=102, a_nnz=11.924, ever_a_nnz=15.2673, b_nnz=208.462, uni_search=4.98157, uni_subSolve=1.68419, uni_maintain_time=0.131057, bi_search=1.38668, bi_subSolve=1.59311, bi_maintain_time=0.372288, admm_maintain=1.60998, area4=1.1294, infea=588.427, d_obj=8952.6, overall time=798.775
i=103, a_nnz=11.956, ever_a_nnz=15.3176, b_nnz=210.446, uni_search=5.0768, uni_subSolve=1.74683, uni_maintain_time=0.135729, bi_search=1.50443, bi_subSolve=1.7144, bi_maintain_time=0.422723, admm_maintain=1.74994, area4=1.13449, infea=588.707, d_obj=8852.51, overall time=812.67
i=104, a_nnz=11.9876, ever_a_nnz=15.3675, b_nnz=212.378, uni_search=5.23102, uni_subSolve=1.82514, uni_maintain_time=0.141276, bi_search=1.4701, bi_subSolve=1.69193, bi_maintain_time=0.404222, admm_maintain=1.76627, area4=1.13612, infea=586.017, d_obj=8757.83, overall time=826.729
i=105, a_nnz=12.0187, ever_a_nnz=15.4156, b_nnz=214.256, uni_search=5.28502, uni_subSolve=1.83805, uni_maintain_time=0.142014, bi_search=1.48854, bi_subSolve=1.70965, bi_maintain_time=0.403937, admm_maintain=1.7896, area4=1.14437, infea=583.049, d_obj=8649.16, overall time=840.949
i=106, a_nnz=12.049, ever_a_nnz=15.4621, b_nnz=216.123, uni_search=5.2881, uni_subSolve=1.843, uni_maintain_time=0.140764, bi_search=1.52776, bi_subSolve=1.74197, bi_maintain_time=0.412395, admm_maintain=1.82527, area4=1.13727, infea=578.901, d_obj=8522.4, overall time=855.328
i=107, a_nnz=12.084, ever_a_nnz=15.5102, b_nnz=218.043, uni_search=5.19525, uni_subSolve=1.79839, uni_maintain_time=0.135927, bi_search=1.44845, bi_subSolve=1.66394, bi_maintain_time=0.392875, admm_maintain=1.73215, area4=1.14504, infea=580.232, d_obj=8391.86, overall time=869.218
i=108, a_nnz=12.1159, ever_a_nnz=15.5593, b_nnz=220.05, uni_search=5.1121, uni_subSolve=1.7424, uni_maintain_time=0.132242, bi_search=1.44149, bi_subSolve=1.66583, bi_maintain_time=0.394872, admm_maintain=1.74298, area4=1.15157, infea=584.839, d_obj=8281.93, overall time=883.009
i=109, a_nnz=12.1425, ever_a_nnz=15.6044, b_nnz=221.915, uni_search=5.1624, uni_subSolve=1.76641, uni_maintain_time=0.132142, bi_search=1.49442, bi_subSolve=1.72362, bi_maintain_time=0.398796, admm_maintain=1.70554, area4=1.14216, infea=580.487, d_obj=8136.91, overall time=896.916
i=110, a_nnz=12.1756, ever_a_nnz=15.6522, b_nnz=223.863, uni_search=6.39404, uni_subSolve=2.12625, uni_maintain_time=0.142736, bi_search=1.76212, bi_subSolve=2.13749, bi_maintain_time=0.464573, admm_maintain=2.17606, area4=1.14476, infea=584.21, d_obj=8030.69, overall time=914.117
i=111, a_nnz=12.207, ever_a_nnz=15.6973, b_nnz=225.768, uni_search=5.65591, uni_subSolve=1.91188, uni_maintain_time=0.145849, bi_search=1.28166, bi_subSolve=1.51355, bi_maintain_time=0.383595, admm_maintain=1.66137, area4=1.14293, infea=586.152, d_obj=7898.46, overall time=928.036
i=112, a_nnz=12.2364, ever_a_nnz=15.743, b_nnz=227.68, uni_search=4.73365, uni_subSolve=1.60327, uni_maintain_time=0.139718, bi_search=1.27131, bi_subSolve=1.52647, bi_maintain_time=0.378025, admm_maintain=1.48893, area4=1.1462, infea=581.011, d_obj=7788.1, overall time=940.377
i=113, a_nnz=12.2654, ever_a_nnz=15.7894, b_nnz=229.584, uni_search=3.88498, uni_subSolve=1.1415, uni_maintain_time=0.102937, bi_search=0.896227, bi_subSolve=1.15801, bi_maintain_time=0.291866, admm_maintain=1.23234, area4=1.14984, infea=580.219, d_obj=7667.9, overall time=950.161
i=114, a_nnz=12.2933, ever_a_nnz=15.8337, b_nnz=231.485, uni_search=4.52621, uni_subSolve=1.33351, uni_maintain_time=0.110965, bi_search=1.1992, bi_subSolve=1.59627, bi_maintain_time=0.3689, admm_maintain=1.59395, area4=1.15061, infea=579.322, d_obj=7559.6, overall time=962.3
i=115, a_nnz=12.3229, ever_a_nnz=15.8794, b_nnz=233.458, uni_search=5.22515, uni_subSolve=1.56095, uni_maintain_time=0.119297, bi_search=1.23156, bi_subSolve=1.63792, bi_maintain_time=0.377078, admm_maintain=1.63723, area4=1.15042, infea=578.135, d_obj=7425.53, overall time=975.542
i=116, a_nnz=12.3541, ever_a_nnz=15.9216, b_nnz=235.268, uni_search=5.27901, uni_subSolve=1.5797, uni_maintain_time=0.118731, bi_search=1.24354, bi_subSolve=1.65377, bi_maintain_time=0.386935, admm_maintain=1.64536, area4=1.15109, infea=571.428, d_obj=7309.41, overall time=988.926
i=117, a_nnz=12.3868, ever_a_nnz=15.9669, b_nnz=237.24, uni_search=5.2963, uni_subSolve=1.59094, uni_maintain_time=0.120905, bi_search=1.28528, bi_subSolve=1.69954, bi_maintain_time=0.394132, admm_maintain=1.69317, area4=1.16319, infea=575.479, d_obj=7204.06, overall time=1002.26
i=118, a_nnz=12.414, ever_a_nnz=16.0102, b_nnz=239.137, uni_search=3.98229, uni_subSolve=1.19262, uni_maintain_time=0.104434, bi_search=0.951573, bi_subSolve=1.22781, bi_maintain_time=0.306512, admm_maintain=1.16977, area4=1.16079, infea=573.364, d_obj=7092.35, overall time=1012.31
i=119, a_nnz=12.4389, ever_a_nnz=16.0541, b_nnz=241.086, uni_search=3.99348, uni_subSolve=1.1958, uni_maintain_time=0.105171, bi_search=0.962447, bi_subSolve=1.23764, bi_maintain_time=0.308854, admm_maintain=1.293, area4=1.15618, infea=573.684, d_obj=6978.43, overall time=1022.55
i=120, a_nnz=12.4688, ever_a_nnz=16.0976, b_nnz=243.019, uni_search=3.98996, uni_subSolve=1.19274, uni_maintain_time=0.104874, bi_search=0.972837, bi_subSolve=1.25064, bi_maintain_time=0.311236, admm_maintain=1.56894, area4=1.1581, infea=578.341, d_obj=6875.55, overall time=1033.47
i=121, a_nnz=12.4958, ever_a_nnz=16.1431, b_nnz=245.054, uni_search=5.38699, uni_subSolve=1.63247, uni_maintain_time=0.121542, bi_search=1.28498, bi_subSolve=1.71576, bi_maintain_time=0.394676, admm_maintain=1.72801, area4=1.16338, infea=577.575, d_obj=6773.14, overall time=1047.23
i=122, a_nnz=12.5241, ever_a_nnz=16.1855, b_nnz=246.876, uni_search=5.39249, uni_subSolve=1.63208, uni_maintain_time=0.119843, bi_search=1.47725, bi_subSolve=1.92369, bi_maintain_time=0.435098, admm_maintain=2.00119, area4=1.16616, infea=574.157, d_obj=6672.58, overall time=1061.99
i=123, a_nnz=12.5535, ever_a_nnz=16.2294, b_nnz=248.842, uni_search=6.2168, uni_subSolve=2.02104, uni_maintain_time=0.137915, bi_search=1.70467, bi_subSolve=2.16536, bi_maintain_time=0.473075, admm_maintain=2.17976, area4=1.17106, infea=570.722, d_obj=6571.28, overall time=1078.85
i=124, a_nnz=12.5829, ever_a_nnz=16.2722, b_nnz=250.801, uni_search=6.06474, uni_subSolve=1.99442, uni_maintain_time=0.139733, bi_search=1.23129, bi_subSolve=1.50184, bi_maintain_time=0.373159, admm_maintain=1.46831, area4=1.16645, infea=573.917, d_obj=6468.41, overall time=1093.08
i=125, a_nnz=12.6085, ever_a_nnz=16.3165, b_nnz=252.81, uni_search=4.50388, uni_subSolve=1.47198, uni_maintain_time=0.123355, bi_search=1.23701, bi_subSolve=1.50112, bi_maintain_time=0.375722, admm_maintain=1.6247, area4=1.17202, infea=575.254, d_obj=6401.67, overall time=1105.19
i=126, a_nnz=12.6363, ever_a_nnz=16.3569, b_nnz=254.69, uni_search=4.51603, uni_subSolve=1.47718, uni_maintain_time=0.123167, bi_search=1.23881, bi_subSolve=1.50989, bi_maintain_time=0.37541, admm_maintain=1.63198, area4=1.16789, infea=570.479, d_obj=6318.92, overall time=1117.53
i=127, a_nnz=12.6609, ever_a_nnz=16.3978, b_nnz=256.581, uni_search=5.47181, uni_subSolve=1.79697, uni_maintain_time=0.132593, bi_search=1.74374, bi_subSolve=2.21419, bi_maintain_time=0.484742, admm_maintain=2.25209, area4=1.18085, infea=571.722, d_obj=6203.64, overall time=1133.65
i=128, a_nnz=12.6842, ever_a_nnz=16.438, b_nnz=258.453, uni_search=6.42785, uni_subSolve=2.10879, uni_maintain_time=0.142323, bi_search=1.76156, bi_subSolve=2.23727, bi_maintain_time=0.496749, admm_maintain=2.27701, area4=1.16875, infea=568.412, d_obj=6110.41, overall time=1151.13
i=129, a_nnz=12.7125, ever_a_nnz=16.4786, b_nnz=260.322, uni_search=6.40187, uni_subSolve=2.09651, uni_maintain_time=0.140614, bi_search=1.5978, bi_subSolve=2.07596, bi_maintain_time=0.463769, admm_maintain=2.0962, area4=1.17567, infea=564.56, d_obj=5995.57, overall time=1167.85
i=130, a_nnz=12.7396, ever_a_nnz=16.5193, b_nnz=262.251, uni_search=6.08141, uni_subSolve=1.94148, uni_maintain_time=0.131981, bi_search=1.62993, bi_subSolve=2.09405, bi_maintain_time=0.459823, admm_maintain=2.11433, area4=1.18219, infea=565.131, d_obj=5887.25, overall time=1183.64
i=131, a_nnz=12.7664, ever_a_nnz=16.5603, b_nnz=264.2, uni_search=4.16401, uni_subSolve=1.28457, uni_maintain_time=0.108684, bi_search=1.20531, bi_subSolve=1.5114, bi_maintain_time=0.372667, admm_maintain=1.62505, area4=1.17106, infea=563.192, d_obj=5751.26, overall time=1195.38
i=132, a_nnz=12.7916, ever_a_nnz=16.5999, b_nnz=266.045, uni_search=4.41351, uni_subSolve=1.44093, uni_maintain_time=0.116467, bi_search=1.41847, bi_subSolve=1.72396, bi_maintain_time=0.41772, admm_maintain=1.42125, area4=1.18219, infea=566.019, d_obj=5630.66, overall time=1207.48
i=133, a_nnz=12.817, ever_a_nnz=16.6408, b_nnz=267.965, uni_search=3.97591, uni_subSolve=1.35659, uni_maintain_time=0.113807, bi_search=1.13843, bi_subSolve=1.3718, bi_maintain_time=0.348044, admm_maintain=1.59463, area4=1.1725, infea=564.355, d_obj=5520.09, overall time=1219.11
i=134, a_nnz=12.8406, ever_a_nnz=16.6809, b_nnz=269.889, uni_search=5.70779, uni_subSolve=2.03455, uni_maintain_time=0.150945, bi_search=1.73671, bi_subSolve=2.11512, bi_maintain_time=0.496495, admm_maintain=2.16538, area4=1.182, infea=566.458, d_obj=5408.67, overall time=1235.45
i=135, a_nnz=12.8626, ever_a_nnz=16.7189, b_nnz=271.723, uni_search=6.1484, uni_subSolve=1.99692, uni_maintain_time=0.136983, bi_search=1.72582, bi_subSolve=2.11918, bi_maintain_time=0.492136, admm_maintain=2.21627, area4=1.17999, infea=568.87, d_obj=5321, overall time=1252.25
i=136, a_nnz=12.8817, ever_a_nnz=16.7581, b_nnz=273.606, uni_search=6.12654, uni_subSolve=1.99749, uni_maintain_time=0.138422, bi_search=1.71364, bi_subSolve=2.12189, bi_maintain_time=0.496474, admm_maintain=2.1955, area4=1.18421, infea=562.972, d_obj=5234.71, overall time=1269
i=137, a_nnz=12.9037, ever_a_nnz=16.7998, b_nnz=275.611, uni_search=6.18159, uni_subSolve=2.02346, uni_maintain_time=0.139774, bi_search=1.74554, bi_subSolve=2.15113, bi_maintain_time=0.503573, admm_maintain=2.19821, area4=1.19381, infea=566.082, d_obj=5147.68, overall time=1285.89
i=138, a_nnz=12.927, ever_a_nnz=16.8391, b_nnz=277.535, uni_search=6.18558, uni_subSolve=2.02518, uni_maintain_time=0.137926, bi_search=1.7647, bi_subSolve=2.17893, bi_maintain_time=0.510572, admm_maintain=2.19975, area4=1.19525, infea=565.805, d_obj=5064.69, overall time=1302.81
i=139, a_nnz=12.9498, ever_a_nnz=16.8764, b_nnz=279.371, uni_search=6.11621, uni_subSolve=1.991, uni_maintain_time=0.138678, bi_search=1.77503, bi_subSolve=2.19443, bi_maintain_time=0.516278, admm_maintain=2.2162, area4=1.18747, infea=566.11, d_obj=4980.92, overall time=1319.73
i=140, a_nnz=12.975, ever_a_nnz=16.9143, b_nnz=281.217, uni_search=6.22894, uni_subSolve=2.04818, uni_maintain_time=0.142359, bi_search=1.76155, bi_subSolve=2.17084, bi_maintain_time=0.513535, admm_maintain=2.27013, area4=1.19141, infea=563.517, d_obj=4914.82, overall time=1336.84
i=141, a_nnz=13.0012, ever_a_nnz=16.9539, b_nnz=283.149, uni_search=6.29149, uni_subSolve=2.07422, uni_maintain_time=0.142489, bi_search=1.83555, bi_subSolve=2.25813, bi_maintain_time=0.527211, admm_maintain=2.27126, area4=1.18671, infea=562.951, d_obj=4836.85, overall time=1354.28
i=142, a_nnz=13.0245, ever_a_nnz=16.991, b_nnz=284.997, uni_search=6.33629, uni_subSolve=2.08787, uni_maintain_time=0.139559, bi_search=1.83149, bi_subSolve=2.25416, bi_maintain_time=0.530295, admm_maintain=2.26851, area4=1.18613, infea=560.366, d_obj=4754.83, overall time=1371.78
i=143, a_nnz=13.0482, ever_a_nnz=17.0305, b_nnz=286.975, uni_search=6.30943, uni_subSolve=2.07164, uni_maintain_time=0.139054, bi_search=1.80747, bi_subSolve=2.23628, bi_maintain_time=0.532296, admm_maintain=2.34541, area4=1.1939, infea=564.079, d_obj=4695.17, overall time=1389.24
i=144, a_nnz=13.0689, ever_a_nnz=17.0664, b_nnz=288.773, uni_search=6.27982, uni_subSolve=2.06539, uni_maintain_time=0.137993, bi_search=1.86219, bi_subSolve=2.28886, bi_maintain_time=0.533935, admm_maintain=2.26704, area4=1.19765, infea=557.089, d_obj=4596.19, overall time=1406.87
i=145, a_nnz=13.0907, ever_a_nnz=17.1027, b_nnz=290.637, uni_search=6.32069, uni_subSolve=2.0864, uni_maintain_time=0.140841, bi_search=1.8713, bi_subSolve=2.30169, bi_maintain_time=0.536164, admm_maintain=2.33242, area4=1.18757, infea=558.472, d_obj=4504.18, overall time=1424.46
i=146, a_nnz=13.113, ever_a_nnz=17.1384, b_nnz=292.478, uni_search=6.31226, uni_subSolve=2.09065, uni_maintain_time=0.138769, bi_search=1.8306, bi_subSolve=2.25922, bi_maintain_time=0.530145, admm_maintain=2.37048, area4=1.18623, infea=552.437, d_obj=4411.8, overall time=1442.08
i=147, a_nnz=13.1358, ever_a_nnz=17.1749, b_nnz=294.306, uni_search=6.33759, uni_subSolve=2.09247, uni_maintain_time=0.139156, bi_search=1.91546, bi_subSolve=2.35839, bi_maintain_time=0.540872, admm_maintain=2.33609, area4=1.1988, infea=551.917, d_obj=4313.55, overall time=1459.89
i=148, a_nnz=13.1557, ever_a_nnz=17.21, b_nnz=296.116, uni_search=6.38491, uni_subSolve=2.11807, uni_maintain_time=0.13989, bi_search=1.88519, bi_subSolve=2.32228, bi_maintain_time=0.535989, admm_maintain=2.42506, area4=1.18901, infea=554.629, d_obj=4195.02, overall time=1477.82
i=149, a_nnz=13.176, ever_a_nnz=17.2467, b_nnz=298.012, uni_search=6.41473, uni_subSolve=2.12877, uni_maintain_time=0.140368, bi_search=1.9305, bi_subSolve=2.37247, bi_maintain_time=0.558937, admm_maintain=2.37131, area4=1.19842, infea=558.277, d_obj=4077.33, overall time=1495.87
i=150, a_nnz=13.1987, ever_a_nnz=17.2835, b_nnz=299.899, uni_search=6.4527, uni_subSolve=2.14495, uni_maintain_time=0.140555, bi_search=1.93826, bi_subSolve=2.38764, bi_maintain_time=0.559129, admm_maintain=2.48675, area4=1.18776, infea=555.199, d_obj=3961.5, overall time=1514.17
i=151, a_nnz=13.221, ever_a_nnz=17.3181, b_nnz=301.668, uni_search=6.51833, uni_subSolve=2.18325, uni_maintain_time=0.142421, bi_search=1.97454, bi_subSolve=2.42695, bi_maintain_time=0.563934, admm_maintain=2.4755, area4=1.20322, infea=555.962, d_obj=3850.29, overall time=1532.61
i=152, a_nnz=13.2381, ever_a_nnz=17.3523, b_nnz=303.47, uni_search=6.48983, uni_subSolve=2.16674, uni_maintain_time=0.142483, bi_search=1.94189, bi_subSolve=2.38598, bi_maintain_time=0.559428, admm_maintain=2.45689, area4=1.20245, infea=551.309, d_obj=3729.59, overall time=1550.82
i=153, a_nnz=13.2625, ever_a_nnz=17.3892, b_nnz=305.402, uni_search=6.37023, uni_subSolve=2.11128, uni_maintain_time=0.141701, bi_search=1.859, bi_subSolve=2.32381, bi_maintain_time=0.552725, admm_maintain=2.34842, area4=1.18719, infea=557.68, d_obj=3650.46, overall time=1568.65
i=154, a_nnz=13.2848, ever_a_nnz=17.4249, b_nnz=307.253, uni_search=6.3589, uni_subSolve=2.11692, uni_maintain_time=0.140349, bi_search=1.93112, bi_subSolve=2.39298, bi_maintain_time=0.559796, admm_maintain=2.38172, area4=1.19054, infea=558.407, d_obj=3582.41, overall time=1586.67
i=155, a_nnz=13.305, ever_a_nnz=17.4611, b_nnz=309.175, uni_search=6.46037, uni_subSolve=2.14987, uni_maintain_time=0.141965, bi_search=1.94789, bi_subSolve=2.40998, bi_maintain_time=0.570323, admm_maintain=2.3608, area4=1.18862, infea=553.892, d_obj=3518.89, overall time=1604.66
i=156, a_nnz=13.3241, ever_a_nnz=17.4952, b_nnz=310.967, uni_search=6.02281, uni_subSolve=1.97392, uni_maintain_time=0.12906, bi_search=1.89066, bi_subSolve=2.35135, bi_maintain_time=0.557729, admm_maintain=2.23909, area4=1.2036, infea=553.034, d_obj=3452.83, overall time=1621.85
i=157, a_nnz=13.3461, ever_a_nnz=17.5302, b_nnz=312.829, uni_search=6.10856, uni_subSolve=1.98675, uni_maintain_time=0.13384, bi_search=1.77496, bi_subSolve=2.24187, bi_maintain_time=0.540021, admm_maintain=2.32257, area4=1.21042, infea=550.193, d_obj=3410.68, overall time=1638.9
i=158, a_nnz=13.3658, ever_a_nnz=17.5639, b_nnz=314.646, uni_search=6.15217, uni_subSolve=2.01256, uni_maintain_time=0.13465, bi_search=1.80652, bi_subSolve=2.26965, bi_maintain_time=0.538783, admm_maintain=2.33663, area4=1.19093, infea=551.886, d_obj=3348.88, overall time=1656.12
i=159, a_nnz=13.384, ever_a_nnz=17.5975, b_nnz=316.451, uni_search=6.19873, uni_subSolve=2.02781, uni_maintain_time=0.135036, bi_search=1.91823, bi_subSolve=2.39347, bi_maintain_time=0.570479, admm_maintain=2.51038, area4=1.20581, infea=548.148, d_obj=3265.76, overall time=1673.99
i=160, a_nnz=13.4045, ever_a_nnz=17.6313, b_nnz=318.251, uni_search=6.58637, uni_subSolve=2.22351, uni_maintain_time=0.147429, bi_search=2.01887, bi_subSolve=2.50216, bi_maintain_time=0.596761, admm_maintain=2.55481, area4=1.21032, infea=545.161, d_obj=3185.44, overall time=1692.78
i=161, a_nnz=13.4264, ever_a_nnz=17.6649, b_nnz=320.037, uni_search=6.60917, uni_subSolve=2.24512, uni_maintain_time=0.146488, bi_search=2.03768, bi_subSolve=2.5077, bi_maintain_time=0.593615, admm_maintain=2.58322, area4=1.21579, infea=548.775, d_obj=3073.18, overall time=1711.58
i=162, a_nnz=13.4455, ever_a_nnz=17.6981, b_nnz=321.861, uni_search=6.74288, uni_subSolve=2.30509, uni_maintain_time=0.150793, bi_search=2.1386, bi_subSolve=2.62256, bi_maintain_time=0.618767, admm_maintain=2.69986, area4=1.2084, infea=545.565, d_obj=2962.77, overall time=1730.94
i=163, a_nnz=13.4624, ever_a_nnz=17.7318, b_nnz=323.662, uni_search=4.7106, uni_subSolve=1.77194, uni_maintain_time=0.134973, bi_search=1.59743, bi_subSolve=1.81483, bi_maintain_time=0.467412, admm_maintain=1.97602, area4=1.218, infea=549.177, d_obj=2840.77, overall time=1745.09
i=164, a_nnz=13.4838, ever_a_nnz=17.7649, b_nnz=325.51, uni_search=4.73104, uni_subSolve=1.78637, uni_maintain_time=0.138198, bi_search=1.64045, bi_subSolve=1.86459, bi_maintain_time=0.488006, admm_maintain=2.02283, area4=1.21157, infea=551.046, d_obj=2762.03, overall time=1759.48
i=165, a_nnz=13.5007, ever_a_nnz=17.7966, b_nnz=327.228, uni_search=4.84005, uni_subSolve=1.86427, uni_maintain_time=0.145287, bi_search=1.66384, bi_subSolve=1.89453, bi_maintain_time=0.498709, admm_maintain=2.06278, area4=1.20235, infea=545.056, d_obj=2675.15, overall time=1774.2
i=166, a_nnz=13.521, ever_a_nnz=17.8316, b_nnz=329.123, uni_search=4.85957, uni_subSolve=1.86976, uni_maintain_time=0.146551, bi_search=1.69139, bi_subSolve=1.92432, bi_maintain_time=0.50535, admm_maintain=2.07674, area4=1.21013, infea=549.753, d_obj=2614.64, overall time=1789.04
i=167, a_nnz=13.5413, ever_a_nnz=17.8651, b_nnz=331.022, uni_search=4.75176, uni_subSolve=1.79965, uni_maintain_time=0.140407, bi_search=1.50255, bi_subSolve=1.75086, bi_maintain_time=0.450376, admm_maintain=1.91808, area4=1.21377, infea=549.921, d_obj=2572.59, overall time=1803.22
i=168, a_nnz=13.5614, ever_a_nnz=17.8985, b_nnz=332.852, uni_search=6.05629, uni_subSolve=2.12542, uni_maintain_time=0.147106, bi_search=1.92926, bi_subSolve=2.39808, bi_maintain_time=0.566503, admm_maintain=2.41692, area4=1.20456, infea=551.397, d_obj=2530.37, overall time=1820.95
i=169, a_nnz=13.5769, ever_a_nnz=17.9291, b_nnz=334.53, uni_search=6.07407, uni_subSolve=2.15703, uni_maintain_time=0.149245, bi_search=2.32016, bi_subSolve=2.82215, bi_maintain_time=0.674832, admm_maintain=2.70504, area4=1.20638, infea=550.201, d_obj=2470.85, overall time=1840.72
