using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.1k
D=47237
K=226
N=20835
d=75.9802
r=6
i=19, a_nnz=6.76184, ever_a_nnz=8.09038, b_nnz=41.2613, uni_search=3.32616, uni_subSolve=1.15369, uni_maintain_time=0.118241, bi_search=0.415523, bi_subSolve=0.454111, bi_maintain_time=0.145187, admm_maintain=0.579216, area4=1.02966, infea=1009.34, d_obj=12276.1, overall time=83.4034
i=20, a_nnz=6.89638, ever_a_nnz=8.29254, b_nnz=43.629, uni_search=3.34551, uni_subSolve=1.15348, uni_maintain_time=0.119421, bi_search=0.480689, bi_subSolve=0.535909, bi_maintain_time=0.175076, admm_maintain=0.477789, area4=1.03408, infea=988.953, d_obj=12506.7, overall time=90.2134
i=21, a_nnz=7.02525, ever_a_nnz=8.49023, b_nnz=46.0409, uni_search=3.50495, uni_subSolve=1.21073, uni_maintain_time=0.121716, bi_search=0.448408, bi_subSolve=0.497463, bi_maintain_time=0.157765, admm_maintain=0.664525, area4=1.03437, infea=969.527, d_obj=12769.5, overall time=97.3883
i=22, a_nnz=7.14802, ever_a_nnz=8.67603, b_nnz=48.4203, uni_search=3.35471, uni_subSolve=1.09795, uni_maintain_time=0.113717, bi_search=0.426999, bi_subSolve=0.477687, bi_maintain_time=0.146864, admm_maintain=0.622426, area4=1.03561, infea=940.048, d_obj=13014.1, overall time=104.306
i=23, a_nnz=7.26547, ever_a_nnz=8.85188, b_nnz=50.7006, uni_search=3.57142, uni_subSolve=1.15372, uni_maintain_time=0.117671, bi_search=0.501552, bi_subSolve=0.579968, bi_maintain_time=0.179681, admm_maintain=0.606091, area4=1.03408, infea=903.982, d_obj=13211.7, overall time=111.459
i=24, a_nnz=7.37739, ever_a_nnz=9.01973, b_nnz=52.9669, uni_search=2.85807, uni_subSolve=0.784077, uni_maintain_time=0.0955843, bi_search=0.340295, bi_subSolve=0.409756, bi_maintain_time=0.13804, admm_maintain=0.42489, area4=1.03619, infea=880.917, d_obj=13393.7, overall time=116.965
i=25, a_nnz=7.49326, ever_a_nnz=9.18757, b_nnz=55.3265, uni_search=2.91424, uni_subSolve=0.797409, uni_maintain_time=0.0965902, bi_search=0.351814, bi_subSolve=0.428316, bi_maintain_time=0.141193, admm_maintain=0.455136, area4=1.03494, infea=866.051, d_obj=13538.8, overall time=122.619
i=26, a_nnz=7.59443, ever_a_nnz=9.34082, b_nnz=57.5387, uni_search=2.95894, uni_subSolve=0.832047, uni_maintain_time=0.0988325, bi_search=0.378592, bi_subSolve=0.44039, bi_maintain_time=0.141168, admm_maintain=0.463124, area4=1.03926, infea=836.878, d_obj=13563.6, overall time=128.419
i=27, a_nnz=7.69335, ever_a_nnz=9.4874, b_nnz=59.7199, uni_search=3.02568, uni_subSolve=0.833372, uni_maintain_time=0.0990752, bi_search=0.379111, bi_subSolve=0.45567, bi_maintain_time=0.146402, admm_maintain=0.477203, area4=1.04156, infea=819.952, d_obj=13583.1, overall time=134.337
i=28, a_nnz=7.78843, ever_a_nnz=9.62822, b_nnz=61.8571, uni_search=3.05032, uni_subSolve=0.85456, uni_maintain_time=0.0988217, bi_search=0.390432, bi_subSolve=0.485161, bi_maintain_time=0.149297, admm_maintain=0.48653, area4=1.04108, infea=803.783, d_obj=13559.7, overall time=140.362
i=29, a_nnz=7.88044, ever_a_nnz=9.76439, b_nnz=64.019, uni_search=3.08908, uni_subSolve=0.849994, uni_maintain_time=0.0991892, bi_search=0.395477, bi_subSolve=0.480607, bi_maintain_time=0.148522, admm_maintain=0.502214, area4=1.04089, infea=790.642, d_obj=13507, overall time=146.449
i=30, a_nnz=7.97283, ever_a_nnz=9.90007, b_nnz=66.1903, uni_search=3.13936, uni_subSolve=0.867399, uni_maintain_time=0.100058, bi_search=0.414156, bi_subSolve=0.504423, bi_maintain_time=0.155167, admm_maintain=0.520312, area4=1.04291, infea=785.4, d_obj=13480.2, overall time=152.707
i=31, a_nnz=8.06619, ever_a_nnz=10.0287, b_nnz=68.2977, uni_search=3.20464, uni_subSolve=0.888427, uni_maintain_time=0.101285, bi_search=0.436598, bi_subSolve=0.521681, bi_maintain_time=0.15825, admm_maintain=0.541726, area4=1.04147, infea=780.041, d_obj=13444.2, overall time=159.112
