using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=100
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=0, C=1, eta=1
i=16, infea=0.160408, nnz_a=5.22141, nnz_b=11.1823, uni_search=0.226303, uni_subSolve=0.0496543, uni_maintain=0.0417749, bi_search=1.02899, bi_subSolve=0.126468, bi_maintain=0.116742, admm_maintain=0.128683, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23946.4, p_obj=28000.5, heldout Acc=0.914826 (4/100), overall time=41.9393
i=17, infea=0.159497, nnz_a=5.3808, nnz_b=11.4577, uni_search=0.227587, uni_subSolve=0.0499864, uni_maintain=0.044703, bi_search=1.03018, bi_subSolve=0.128803, bi_maintain=0.1184, admm_maintain=0.130679, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24151.3, p_obj=30064.4, heldout Acc=0.915755 (5/100), overall time=44.4623
i=18, infea=0.158691, nnz_a=5.54213, nnz_b=11.7095, uni_search=0.227549, uni_subSolve=0.0502134, uni_maintain=0.0438838, bi_search=1.03139, bi_subSolve=0.131471, bi_maintain=0.118872, admm_maintain=0.129621, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24323.8, p_obj=28279.1, heldout Acc=0.912914 (6/100), overall time=46.9895
i=19, infea=0.157999, nnz_a=5.7049, nnz_b=11.9416, uni_search=0.227795, uni_subSolve=0.0505452, uni_maintain=0.0443876, bi_search=1.03239, bi_subSolve=0.135793, bi_maintain=0.119886, admm_maintain=0.13145, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24472, p_obj=30089.8, heldout Acc=0.913229 (7/100), overall time=49.529
i=20, infea=0.157386, nnz_a=5.86726, nnz_b=12.1543, uni_search=0.227798, uni_subSolve=0.0508366, uni_maintain=0.0452803, bi_search=1.03313, bi_subSolve=0.141297, bi_maintain=0.121083, admm_maintain=0.133455, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24600.8, p_obj=28442.4, heldout Acc=0.914871 (8/100), overall time=52.0792
i=21, infea=0.15683, nnz_a=6.02878, nnz_b=12.3505, uni_search=0.227648, uni_subSolve=0.0510527, uni_maintain=0.0461491, bi_search=1.0343, bi_subSolve=0.147201, bi_maintain=0.122079, admm_maintain=0.138349, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24714, p_obj=27839.3, heldout Acc=0.912517 (9/100), overall time=54.6433
i=22, infea=0.156303, nnz_a=6.18796, nnz_b=12.5304, uni_search=0.227353, uni_subSolve=0.0514049, uni_maintain=0.0470911, bi_search=1.03521, bi_subSolve=0.152829, bi_maintain=0.122899, admm_maintain=0.134066, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24814.4, p_obj=27768.5, heldout Acc=0.911452 (10/100), overall time=57.224
i=23, infea=0.155861, nnz_a=6.34598, nnz_b=12.6979, uni_search=0.24556, uni_subSolve=0.053848, uni_maintain=0.0488307, bi_search=1.05236, bi_subSolve=0.170895, bi_maintain=0.131638, admm_maintain=0.166617, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24903.1, p_obj=28467.1, heldout Acc=0.914447 (11/100), overall time=59.9563
i=24, infea=0.155433, nnz_a=6.50084, nnz_b=12.8527, uni_search=0.235233, uni_subSolve=0.0528965, uni_maintain=0.0491506, bi_search=1.04439, bi_subSolve=0.198607, bi_maintain=0.125503, admm_maintain=0.139913, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24983.2, p_obj=27329.9, heldout Acc=0.912435 (12/100), overall time=62.6152
i=25, infea=0.155032, nnz_a=6.65686, nnz_b=12.9987, uni_search=0.235961, uni_subSolve=0.0529938, uni_maintain=0.0498398, bi_search=1.06907, bi_subSolve=0.211374, bi_maintain=0.127546, admm_maintain=0.141369, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25055.9, p_obj=28107.9, heldout Acc=0.914727 (13/100), overall time=65.3288
i=26, infea=0.154646, nnz_a=6.80975, nnz_b=13.1342, uni_search=0.236441, uni_subSolve=0.0534057, uni_maintain=0.0507457, bi_search=1.04474, bi_subSolve=0.204879, bi_maintain=0.127292, admm_maintain=0.140943, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25120.7, p_obj=27791.4, heldout Acc=0.914556 (14/100), overall time=68.0016
i=27, infea=0.154278, nnz_a=6.96275, nnz_b=13.2622, uni_search=0.235987, uni_subSolve=0.0536128, uni_maintain=0.0513484, bi_search=1.04405, bi_subSolve=0.206412, bi_maintain=0.127241, admm_maintain=0.142622, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25180.6, p_obj=27131.8, heldout Acc=0.914456 (15/100), overall time=70.68
i=28, infea=0.153922, nnz_a=7.11289, nnz_b=13.3819, uni_search=0.239775, uni_subSolve=0.0541032, uni_maintain=0.0524426, bi_search=1.06315, bi_subSolve=0.221832, bi_maintain=0.139197, admm_maintain=0.152315, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25233.7, p_obj=27387.8, heldout Acc=0.912066 (16/100), overall time=73.4516
i=29, infea=0.1536, nnz_a=7.26118, nnz_b=13.494, uni_search=0.253099, uni_subSolve=0.0560358, uni_maintain=0.05446, bi_search=1.0593, bi_subSolve=0.221608, bi_maintain=0.137792, admm_maintain=0.152959, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25283.2, p_obj=27312.7, heldout Acc=0.914519 (17/100), overall time=76.2324
i=30, infea=0.153285, nnz_a=7.4064, nnz_b=13.6004, uni_search=0.253217, uni_subSolve=0.0564435, uni_maintain=0.055219, bi_search=1.05944, bi_subSolve=0.223988, bi_maintain=0.138859, admm_maintain=0.154771, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25329.5, p_obj=28996, heldout Acc=0.912336 (18/100), overall time=79.0198
i=31, infea=0.152965, nnz_a=7.55145, nnz_b=13.7016, uni_search=0.255993, uni_subSolve=0.0574289, uni_maintain=0.0565952, bi_search=1.05273, bi_subSolve=0.223137, bi_maintain=0.134389, admm_maintain=0.143887, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25371.4, p_obj=26922.1, heldout Acc=0.912995 (19/100), overall time=81.777
i=32, infea=0.152671, nnz_a=7.69378, nnz_b=13.7968, uni_search=0.233022, uni_subSolve=0.0548655, uni_maintain=0.0556693, bi_search=1.04307, bi_subSolve=0.209304, bi_maintain=0.129559, admm_maintain=0.139465, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25410.8, p_obj=27333.8, heldout Acc=0.912905 (20/100), overall time=84.4537
i=33, infea=0.152359, nnz_a=7.83136, nnz_b=13.8874, uni_search=0.225378, uni_subSolve=0.054304, uni_maintain=0.0559962, bi_search=1.03987, bi_subSolve=0.194802, bi_maintain=0.12899, admm_maintain=0.139504, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25446.2, p_obj=29706.4, heldout Acc=0.913265 (21/100), overall time=87.0998
i=34, infea=0.152078, nnz_a=7.96681, nnz_b=13.9738, uni_search=0.225912, uni_subSolve=0.0547669, uni_maintain=0.0568525, bi_search=1.03901, bi_subSolve=0.193234, bi_maintain=0.129346, admm_maintain=0.138962, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25479.9, p_obj=28281.8, heldout Acc=0.912634 (22/100), overall time=89.7687
i=35, infea=0.151812, nnz_a=8.104, nnz_b=14.0558, uni_search=0.225751, uni_subSolve=0.0549251, uni_maintain=0.0573801, bi_search=1.0394, bi_subSolve=0.195316, bi_maintain=0.12931, admm_maintain=0.141537, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25510.9, p_obj=28907.8, heldout Acc=0.913112 (23/100), overall time=92.42
i=36, infea=0.151562, nnz_a=8.23738, nnz_b=14.1351, uni_search=0.226106, uni_subSolve=0.0552924, uni_maintain=0.0581573, bi_search=1.0394, bi_subSolve=0.195068, bi_maintain=0.129758, admm_maintain=0.14172, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25540.1, p_obj=28991, heldout Acc=0.913329 (24/100), overall time=95.0851
i=37, infea=0.151318, nnz_a=8.36475, nnz_b=14.2108, uni_search=0.266812, uni_subSolve=0.0606962, uni_maintain=0.0622886, bi_search=1.06247, bi_subSolve=0.222887, bi_maintain=0.140204, admm_maintain=0.149745, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25567, p_obj=27679.2, heldout Acc=0.914204 (25/100), overall time=97.9144
i=38, infea=0.151093, nnz_a=8.49099, nnz_b=14.2836, uni_search=0.245629, uni_subSolve=0.0576897, uni_maintain=0.0613763, bi_search=1.05058, bi_subSolve=0.204905, bi_maintain=0.139373, admm_maintain=0.151494, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25592.6, p_obj=27371.3, heldout Acc=0.913671 (26/100), overall time=100.66
i=39, infea=0.150866, nnz_a=8.61571, nnz_b=14.3524, uni_search=0.244517, uni_subSolve=0.0577528, uni_maintain=0.0623399, bi_search=1.0516, bi_subSolve=0.205265, bi_maintain=0.140008, admm_maintain=0.175095, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25616.9, p_obj=26207.9, heldout Acc=0.912805 (27/100), overall time=103.43
i=40, infea=0.150668, nnz_a=8.73779, nnz_b=14.4191, uni_search=0.244515, uni_subSolve=0.0579814, uni_maintain=0.0630829, bi_search=1.05211, bi_subSolve=0.204472, bi_maintain=0.139941, admm_maintain=0.152484, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25639, p_obj=27613.1, heldout Acc=0.914213 (28/100), overall time=106.178
i=41, infea=0.150471, nnz_a=8.854, nnz_b=14.4833, uni_search=0.245927, uni_subSolve=0.0583938, uni_maintain=0.0640262, bi_search=1.05407, bi_subSolve=0.204143, bi_maintain=0.140399, admm_maintain=0.151099, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25660.6, p_obj=29484.3, heldout Acc=0.914366 (29/100), overall time=108.93
i=42, infea=0.150276, nnz_a=8.96861, nnz_b=14.5442, uni_search=0.246663, uni_subSolve=0.0585397, uni_maintain=0.0650733, bi_search=1.0526, bi_subSolve=0.20444, bi_maintain=0.140389, admm_maintain=0.151661, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25680.8, p_obj=28503.4, heldout Acc=0.914294 (30/100), overall time=111.674
i=43, infea=0.150081, nnz_a=9.08173, nnz_b=14.6035, uni_search=0.227658, uni_subSolve=0.0569239, uni_maintain=0.0643095, bi_search=1.04145, bi_subSolve=0.19634, bi_maintain=0.132065, admm_maintain=0.142962, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25699.8, p_obj=26748.9, heldout Acc=0.912697 (31/100), overall time=114.347
i=44, infea=0.149897, nnz_a=9.19102, nnz_b=14.6604, uni_search=0.228177, uni_subSolve=0.0570805, uni_maintain=0.0650365, bi_search=1.04165, bi_subSolve=0.196051, bi_maintain=0.132074, admm_maintain=0.143046, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25718.5, p_obj=27417, heldout Acc=0.914474 (32/100), overall time=117.02
i=45, infea=0.149708, nnz_a=9.29605, nnz_b=14.7156, uni_search=0.228348, uni_subSolve=0.0572787, uni_maintain=0.0661872, bi_search=1.04219, bi_subSolve=0.19717, bi_maintain=0.13219, admm_maintain=0.147047, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25736.4, p_obj=27754, heldout Acc=0.911732 (33/100), overall time=119.698
i=46, infea=0.149521, nnz_a=9.3989, nnz_b=14.7684, uni_search=0.22881, uni_subSolve=0.0574634, uni_maintain=0.0667685, bi_search=1.04205, bi_subSolve=0.197533, bi_maintain=0.132631, admm_maintain=0.143375, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25753.5, p_obj=28895.1, heldout Acc=0.912896 (34/100), overall time=122.387
i=47, infea=0.149331, nnz_a=9.49717, nnz_b=14.8197, uni_search=0.246699, uni_subSolve=0.0594714, uni_maintain=0.0696898, bi_search=1.05399, bi_subSolve=0.206223, bi_maintain=0.142184, admm_maintain=0.153262, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25769.5, p_obj=28883.5, heldout Acc=0.914231 (35/100), overall time=125.16
i=48, infea=0.149153, nnz_a=9.59618, nnz_b=14.8689, uni_search=0.246315, uni_subSolve=0.0597352, uni_maintain=0.0700178, bi_search=1.05377, bi_subSolve=0.207443, bi_maintain=0.142456, admm_maintain=0.153471, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25783.7, p_obj=28965.8, heldout Acc=0.913536 (36/100), overall time=127.921
i=49, infea=0.14897, nnz_a=9.6904, nnz_b=14.9169, uni_search=0.228707, uni_subSolve=0.0580273, uni_maintain=0.0721239, bi_search=1.04246, bi_subSolve=0.200265, bi_maintain=0.133692, admm_maintain=0.144344, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25798.3, p_obj=28092.1, heldout Acc=0.913599 (37/100), overall time=130.665
i=50, infea=0.148782, nnz_a=9.78135, nnz_b=14.9634, uni_search=0.228569, uni_subSolve=0.0582344, uni_maintain=0.0699153, bi_search=1.04192, bi_subSolve=0.202323, bi_maintain=0.13382, admm_maintain=0.148699, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25811.8, p_obj=29174.6, heldout Acc=0.911786 (38/100), overall time=133.36
i=51, infea=0.148587, nnz_a=9.86766, nnz_b=15.0072, uni_search=0.228593, uni_subSolve=0.0583902, uni_maintain=0.0705854, bi_search=1.0428, bi_subSolve=0.202635, bi_maintain=0.134041, admm_maintain=0.144969, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25825.3, p_obj=27889.8, heldout Acc=0.913816 (39/100), overall time=136.052
i=52, infea=0.148418, nnz_a=9.9532, nnz_b=15.0505, uni_search=0.228531, uni_subSolve=0.0585896, uni_maintain=0.0710431, bi_search=1.04229, bi_subSolve=0.20366, bi_maintain=0.134344, admm_maintain=0.146968, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25837.6, p_obj=27603.5, heldout Acc=0.913933 (40/100), overall time=138.749
i=53, infea=0.148245, nnz_a=10.0363, nnz_b=15.0932, uni_search=0.228901, uni_subSolve=0.0588604, uni_maintain=0.0717917, bi_search=1.04389, bi_subSolve=0.208382, bi_maintain=0.134697, admm_maintain=0.146645, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25849.1, p_obj=28077.7, heldout Acc=0.914086 (41/100), overall time=141.457
i=54, infea=0.148095, nnz_a=10.1175, nnz_b=15.1342, uni_search=0.228479, uni_subSolve=0.0588965, uni_maintain=0.0723553, bi_search=1.04308, bi_subSolve=0.20424, bi_maintain=0.134445, admm_maintain=0.14645, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25860.4, p_obj=26710.1, heldout Acc=0.911642 (42/100), overall time=144.157
i=55, infea=0.147927, nnz_a=10.1947, nnz_b=15.1748, uni_search=0.232448, uni_subSolve=0.0592221, uni_maintain=0.073262, bi_search=1.04741, bi_subSolve=0.207164, bi_maintain=0.134712, admm_maintain=0.149219, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25871.2, p_obj=27618, heldout Acc=0.912426 (43/100), overall time=146.876
i=56, infea=0.147766, nnz_a=10.2711, nnz_b=15.2134, uni_search=0.235807, uni_subSolve=0.0595139, uni_maintain=0.0740911, bi_search=1.04662, bi_subSolve=0.208194, bi_maintain=0.134858, admm_maintain=0.150771, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25881.9, p_obj=28949.1, heldout Acc=0.91442 (44/100), overall time=149.603
i=57, infea=0.147613, nnz_a=10.3457, nnz_b=15.2515, uni_search=0.234981, uni_subSolve=0.0596534, uni_maintain=0.0742631, bi_search=1.04638, bi_subSolve=0.208402, bi_maintain=0.135031, admm_maintain=0.150037, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25891.9, p_obj=27565.6, heldout Acc=0.914538 (45/100), overall time=152.338
i=58, infea=0.147461, nnz_a=10.4176, nnz_b=15.2894, uni_search=0.255215, uni_subSolve=0.0618671, uni_maintain=0.0775904, bi_search=1.05894, bi_subSolve=0.220917, bi_maintain=0.14728, admm_maintain=0.160701, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25901, p_obj=26930.1, heldout Acc=0.912905 (46/100), overall time=155.17
i=59, infea=0.147315, nnz_a=10.4879, nnz_b=15.3261, uni_search=0.254337, uni_subSolve=0.0619694, uni_maintain=0.0778327, bi_search=1.05959, bi_subSolve=0.221459, bi_maintain=0.14738, admm_maintain=0.160754, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25911.3, p_obj=26403.5, heldout Acc=0.914141 (47/100), overall time=157.998
i=60, infea=0.147162, nnz_a=10.5544, nnz_b=15.3612, uni_search=0.253462, uni_subSolve=0.0621059, uni_maintain=0.0784923, bi_search=1.05927, bi_subSolve=0.221435, bi_maintain=0.147247, admm_maintain=0.159504, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25920.7, p_obj=28862.5, heldout Acc=0.912923 (48/100), overall time=160.821
i=61, infea=0.147023, nnz_a=10.6211, nnz_b=15.3952, uni_search=0.252925, uni_subSolve=0.0621513, uni_maintain=0.0785226, bi_search=1.05878, bi_subSolve=0.222511, bi_maintain=0.147252, admm_maintain=0.158701, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25929.9, p_obj=27603.4, heldout Acc=0.912499 (49/100), overall time=163.639
i=62, infea=0.146877, nnz_a=10.683, nnz_b=15.4281, uni_search=0.234948, uni_subSolve=0.0604453, uni_maintain=0.0766459, bi_search=1.04571, bi_subSolve=0.212678, bi_maintain=0.136235, admm_maintain=0.14951, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25939.2, p_obj=27592.6, heldout Acc=0.912814 (50/100), overall time=166.371
i=63, infea=0.146708, nnz_a=10.7428, nnz_b=15.4604, uni_search=0.23376, uni_subSolve=0.0602884, uni_maintain=0.0766626, bi_search=1.04604, bi_subSolve=0.212499, bi_maintain=0.136263, admm_maintain=0.149354, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25947.3, p_obj=29439.6, heldout Acc=0.914276 (51/100), overall time=169.102
i=64, infea=0.146541, nnz_a=10.799, nnz_b=15.4923, uni_search=0.233139, uni_subSolve=0.0603655, uni_maintain=0.0768161, bi_search=1.04538, bi_subSolve=0.213905, bi_maintain=0.136342, admm_maintain=0.148839, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25956, p_obj=27270.5, heldout Acc=0.91212 (52/100), overall time=171.831
i=65, infea=0.146358, nnz_a=10.8515, nnz_b=15.523, uni_search=0.233596, uni_subSolve=0.0604879, uni_maintain=0.0768715, bi_search=1.0466, bi_subSolve=0.215904, bi_maintain=0.136846, admm_maintain=0.153903, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25963.7, p_obj=27890.9, heldout Acc=0.912454 (53/100), overall time=174.575
