using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=100
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=10
i=16, infea=0.00500149, nnz_a=5.85023, nnz_b=10.2386, uni_search=0.549002, uni_subSolve=0.0978879, uni_maintain=0.106701, bi_search=0.999476, bi_subSolve=0.169665, bi_maintain=0.140255, admm_maintain=0.323634, area1=62.8459, area23=2.0026, area4=8.12065, dual_obj=-3982.16, p_obj=41330.7, heldout Acc=0.909783, overall time=52.5603
i=17, infea=0.00474973, nnz_a=5.97763, nnz_b=10.3915, uni_search=0.868983, uni_subSolve=0.144345, uni_maintain=0.0493556, bi_search=1.40251, bi_subSolve=0.203343, bi_maintain=0.156971, admm_maintain=0.492416, area1=69.6431, area23=1.99272, area4=8.4162, dual_obj=-4070.93, p_obj=41816.3, heldout Acc=0.910523, overall time=57.428
i=18, infea=0.00451163, nnz_a=6.08666, nnz_b=10.5116, uni_search=0.937062, uni_subSolve=0.142247, uni_maintain=0.0526543, bi_search=1.3985, bi_subSolve=0.215739, bi_maintain=0.160088, admm_maintain=0.489231, area1=76.8608, area23=1.97747, area4=8.71398, dual_obj=-4156.57, p_obj=39130.3, heldout Acc=0.910541, overall time=62.3257
i=19, infea=0.00428619, nnz_a=6.17717, nnz_b=10.6041, uni_search=0.955692, uni_subSolve=0.144474, uni_maintain=0.0556353, bi_search=1.41255, bi_subSolve=0.217225, bi_maintain=0.171787, admm_maintain=0.488722, area1=84.4973, area23=1.96139, area4=9.00177, dual_obj=-4239.3, p_obj=37493.3, heldout Acc=0.911732, overall time=67.2702
i=20, infea=0.00407125, nnz_a=6.25195, nnz_b=10.6677, uni_search=0.955041, uni_subSolve=0.145401, uni_maintain=0.0580935, bi_search=1.44022, bi_subSolve=0.220483, bi_maintain=0.166708, admm_maintain=0.494461, area1=92.5133, area23=1.94471, area4=9.32757, dual_obj=-4320.12, p_obj=40445.7, heldout Acc=0.912426, overall time=72.2568
i=21, infea=0.00387081, nnz_a=6.31274, nnz_b=10.7129, uni_search=0.957858, uni_subSolve=0.146836, uni_maintain=0.0617075, bi_search=1.46154, bi_subSolve=0.221766, bi_maintain=0.168745, admm_maintain=0.515219, area1=100.969, area23=1.92558, area4=9.62823, dual_obj=-4399.01, p_obj=38495.7, heldout Acc=0.912057 (1/100), overall time=77.3064
i=22, infea=0.00368086, nnz_a=6.35681, nnz_b=10.738, uni_search=0.975929, uni_subSolve=0.149524, uni_maintain=0.0646781, bi_search=1.11479, bi_subSolve=0.178879, bi_maintain=0.148008, admm_maintain=0.283219, area1=109.837, area23=1.90873, area4=9.96346, dual_obj=-4475.99, p_obj=38746.8, heldout Acc=0.91341, overall time=81.4609
i=23, infea=0.00350501, nnz_a=6.39328, nnz_b=10.7466, uni_search=0.53217, uni_subSolve=0.110513, uni_maintain=0.058294, bi_search=1.12468, bi_subSolve=0.179112, bi_maintain=0.149142, admm_maintain=0.284547, area1=119.15, area23=1.89107, area4=10.2772, dual_obj=-4552.17, p_obj=39005, heldout Acc=0.914411, overall time=85.0447
i=24, infea=0.00333932, nnz_a=6.41792, nnz_b=10.7416, uni_search=0.531523, uni_subSolve=0.111041, uni_maintain=0.0603021, bi_search=1.14795, bi_subSolve=0.179107, bi_maintain=0.14994, admm_maintain=0.282982, area1=128.84, area23=1.87427, area4=10.616, dual_obj=-4627.14, p_obj=36755.8, heldout Acc=0.914465, overall time=88.6472
i=25, infea=0.00318561, nnz_a=6.43317, nnz_b=10.7224, uni_search=0.534609, uni_subSolve=0.111521, uni_maintain=0.0614447, bi_search=1.17108, bi_subSolve=0.180158, bi_maintain=0.150574, admm_maintain=0.282017, area1=138.91, area23=1.85686, area4=10.943, dual_obj=-4701.24, p_obj=39787.6, heldout Acc=0.914402 (1/100), overall time=92.2789
i=26, infea=0.00304229, nnz_a=6.44236, nnz_b=10.698, uni_search=0.588659, uni_subSolve=0.118831, uni_maintain=0.0668482, bi_search=1.27276, bi_subSolve=0.18687, bi_maintain=0.182288, admm_maintain=0.351955, area1=149.358, area23=1.84049, area4=11.2587, dual_obj=-4774.75, p_obj=39892.3, heldout Acc=0.915864, overall time=96.226
i=27, infea=0.00291033, nnz_a=6.44769, nnz_b=10.6673, uni_search=0.357473, uni_subSolve=0.09283, uni_maintain=0.057806, bi_search=1.05472, bi_subSolve=0.14341, bi_maintain=0.141955, admm_maintain=0.192975, area1=160.152, area23=1.8242, area4=11.5504, dual_obj=-4848.08, p_obj=37362.6, heldout Acc=0.916207, overall time=99.1907
i=28, infea=0.00278693, nnz_a=6.44938, nnz_b=10.6299, uni_search=0.356738, uni_subSolve=0.093014, uni_maintain=0.058719, bi_search=1.07054, bi_subSolve=0.143698, bi_maintain=0.142219, admm_maintain=0.194733, area1=171.248, area23=1.80937, area4=11.8585, dual_obj=-4920.89, p_obj=37051, heldout Acc=0.917217, overall time=102.176
i=29, infea=0.00267282, nnz_a=6.44315, nnz_b=10.5902, uni_search=0.356534, uni_subSolve=0.0930084, uni_maintain=0.0588142, bi_search=1.09244, bi_subSolve=0.143718, bi_maintain=0.14186, admm_maintain=0.195889, area1=182.63, area23=1.79457, area4=12.1525, dual_obj=-4992.97, p_obj=38421.4, heldout Acc=0.917118 (1/100), overall time=105.234
i=30, infea=0.00256501, nnz_a=6.43402, nnz_b=10.5437, uni_search=0.357643, uni_subSolve=0.0932396, uni_maintain=0.0594245, bi_search=1.04949, bi_subSolve=0.136746, bi_maintain=0.127494, admm_maintain=0.194335, area1=194.231, area23=1.78105, area4=12.4168, dual_obj=-5065.27, p_obj=37216.4, heldout Acc=0.918137, overall time=108.153
i=31, infea=0.00246225, nnz_a=6.42087, nnz_b=10.495, uni_search=0.357827, uni_subSolve=0.0932992, uni_maintain=0.0599977, bi_search=1.13835, bi_subSolve=0.143587, bi_maintain=0.141447, admm_maintain=0.195033, area1=206.006, area23=1.76896, area4=12.6974, dual_obj=-5137.4, p_obj=35168.9, heldout Acc=0.917984 (1/100), overall time=111.208
i=32, infea=0.00236518, nnz_a=6.40688, nnz_b=10.4406, uni_search=0.357219, uni_subSolve=0.0933219, uni_maintain=0.0600302, bi_search=1.16823, bi_subSolve=0.143345, bi_maintain=0.141263, admm_maintain=0.194438, area1=217.927, area23=1.75675, area4=12.958, dual_obj=-5208.9, p_obj=37761.4, heldout Acc=0.918651, overall time=114.293
i=33, infea=0.00227229, nnz_a=6.39031, nnz_b=10.3856, uni_search=0.35675, uni_subSolve=0.0930938, uni_maintain=0.060337, bi_search=1.18059, bi_subSolve=0.143333, bi_maintain=0.14056, admm_maintain=0.193782, area1=229.824, area23=1.7453, area4=13.2051, dual_obj=-5280.37, p_obj=36339.5, heldout Acc=0.918877, overall time=117.388
i=34, infea=0.00218378, nnz_a=6.37399, nnz_b=10.3311, uni_search=0.358548, uni_subSolve=0.0930058, uni_maintain=0.0607075, bi_search=1.20277, bi_subSolve=0.142946, bi_maintain=0.140464, admm_maintain=0.194954, area1=241.742, area23=1.73448, area4=13.4421, dual_obj=-5351.74, p_obj=37768, heldout Acc=0.917596 (1/100), overall time=120.509
i=35, infea=0.00209968, nnz_a=6.35496, nnz_b=10.277, uni_search=0.515207, uni_subSolve=0.11167, uni_maintain=0.0693983, bi_search=1.44331, bi_subSolve=0.190762, bi_maintain=0.159134, admm_maintain=0.330798, area1=253.59, area23=1.72521, area4=13.6937, dual_obj=-5422.7, p_obj=38232.3, heldout Acc=0.91977, overall time=124.699
i=36, infea=0.00202106, nnz_a=6.33617, nnz_b=10.2211, uni_search=0.372692, uni_subSolve=0.0936873, uni_maintain=0.062248, bi_search=1.27113, bi_subSolve=0.144912, bi_maintain=0.150489, admm_maintain=0.203007, area1=265.331, area23=1.71571, area4=13.9455, dual_obj=-5493.64, p_obj=37562.2, heldout Acc=0.918958 (1/100), overall time=127.953
i=37, infea=0.00194631, nnz_a=6.31562, nnz_b=10.1654, uni_search=0.369273, uni_subSolve=0.093176, uni_maintain=0.0619035, bi_search=1.28603, bi_subSolve=0.144329, bi_maintain=0.149834, admm_maintain=0.196126, area1=276.789, area23=1.70757, area4=14.2114, dual_obj=-5564.52, p_obj=35862, heldout Acc=0.920438, overall time=131.285
i=38, infea=0.0018739, nnz_a=6.29599, nnz_b=10.1142, uni_search=0.53518, uni_subSolve=0.11239, uni_maintain=0.0690427, bi_search=1.4618, bi_subSolve=0.178696, bi_maintain=0.162702, admm_maintain=0.314214, area1=287.93, area23=1.69891, area4=14.4617, dual_obj=-5635.13, p_obj=36384.4, heldout Acc=0.920889, overall time=135.249
i=39, infea=0.00180582, nnz_a=6.28121, nnz_b=10.0673, uni_search=0.369044, uni_subSolve=0.0928222, uni_maintain=0.061758, bi_search=1.31313, bi_subSolve=0.143312, bi_maintain=0.147956, admm_maintain=0.195387, area1=298.645, area23=1.69158, area4=14.6832, dual_obj=-5705.88, p_obj=36922, heldout Acc=0.921015, overall time=138.529
i=40, infea=0.00174102, nnz_a=6.26454, nnz_b=10.0174, uni_search=0.368161, uni_subSolve=0.0924831, uni_maintain=0.0614379, bi_search=1.3273, bi_subSolve=0.142972, bi_maintain=0.147615, admm_maintain=0.195109, area1=308.858, area23=1.6857, area4=14.9251, dual_obj=-5776.17, p_obj=38708.4, heldout Acc=0.921701, overall time=141.823
i=41, infea=0.0016785, nnz_a=6.24579, nnz_b=9.96972, uni_search=0.366881, uni_subSolve=0.0921628, uni_maintain=0.0613003, bi_search=1.33677, bi_subSolve=0.142353, bi_maintain=0.145928, admm_maintain=0.195189, area1=318.276, area23=1.67969, area4=15.1359, dual_obj=-5845.99, p_obj=40128.1, heldout Acc=0.921827, overall time=145.118
i=42, infea=0.0016186, nnz_a=6.22991, nnz_b=9.91593, uni_search=0.364531, uni_subSolve=0.0913116, uni_maintain=0.0599753, bi_search=1.32469, bi_subSolve=0.139871, bi_maintain=0.138829, admm_maintain=0.196952, area1=326.854, area23=1.67525, area4=15.355, dual_obj=-5915.93, p_obj=39574.1, heldout Acc=0.921845, overall time=148.371
i=43, infea=0.0015612, nnz_a=6.22121, nnz_b=9.86459, uni_search=0.393433, uni_subSolve=0.100248, uni_maintain=0.0633596, bi_search=1.54566, bi_subSolve=0.187032, bi_maintain=0.15465, admm_maintain=0.326199, area1=334.306, area23=1.67108, area4=15.5487, dual_obj=-5985.55, p_obj=37706.8, heldout Acc=0.922044, overall time=152.318
i=44, infea=0.00150331, nnz_a=6.21495, nnz_b=9.80644, uni_search=0.485307, uni_subSolve=0.105878, uni_maintain=0.0660052, bi_search=1.36697, bi_subSolve=0.140998, bi_maintain=0.14457, admm_maintain=0.195127, area1=340.428, area23=1.66814, area4=15.751, dual_obj=-6054.95, p_obj=40079.4, heldout Acc=0.92069 (1/100), overall time=155.832
i=45, infea=0.00144702, nnz_a=6.21009, nnz_b=9.75238, uni_search=0.365984, uni_subSolve=0.091425, uni_maintain=0.0589001, bi_search=1.50555, bi_subSolve=0.16914, bi_maintain=0.146099, admm_maintain=0.37668, area1=344.924, area23=1.66659, area4=15.9203, dual_obj=-6123.9, p_obj=36797.8, heldout Acc=0.922404, overall time=159.658
i=46, infea=0.00139224, nnz_a=6.20828, nnz_b=9.69125, uni_search=0.681212, uni_subSolve=0.123473, uni_maintain=0.0703942, bi_search=1.97113, bi_subSolve=0.216713, bi_maintain=0.197303, admm_maintain=0.314486, area1=348.018, area23=1.66612, area4=16.094, dual_obj=-6192.46, p_obj=38676.6, heldout Acc=0.922865, overall time=164.543
i=47, infea=0.00134329, nnz_a=6.20433, nnz_b=9.62861, uni_search=0.552306, uni_subSolve=0.155387, uni_maintain=0.0919736, bi_search=1.71218, bi_subSolve=0.199339, bi_maintain=0.179085, admm_maintain=0.328914, area1=349.965, area23=1.66568, area4=16.2651, dual_obj=-6260.66, p_obj=36893, heldout Acc=0.922711 (1/100), overall time=169.135
i=48, infea=0.00130023, nnz_a=6.1996, nnz_b=9.56874, uni_search=0.949766, uni_subSolve=0.158789, uni_maintain=0.0747105, bi_search=1.68592, bi_subSolve=0.169109, bi_maintain=0.195699, admm_maintain=0.204888, area1=351.132, area23=1.66482, area4=16.395, dual_obj=-6328.37, p_obj=37350.8, heldout Acc=0.923334, overall time=173.911
i=49, infea=0.00126067, nnz_a=6.18755, nnz_b=9.50518, uni_search=0.913326, uni_subSolve=0.130916, uni_maintain=0.0968189, bi_search=1.86203, bi_subSolve=0.195508, bi_maintain=0.187742, admm_maintain=0.205404, area1=351.814, area23=1.66533, area4=16.5363, dual_obj=-6396.2, p_obj=37061.1, heldout Acc=0.923072 (1/100), overall time=178.823
i=50, infea=0.00122618, nnz_a=6.16274, nnz_b=9.43627, uni_search=0.683941, uni_subSolve=0.153753, uni_maintain=0.0680121, bi_search=1.62251, bi_subSolve=0.176524, bi_maintain=0.157559, admm_maintain=0.285332, area1=352.225, area23=1.66483, area4=16.6743, dual_obj=-6463.65, p_obj=37921.7, heldout Acc=0.923803, overall time=183.258
i=51, infea=0.00119451, nnz_a=6.12835, nnz_b=9.36605, uni_search=0.562511, uni_subSolve=0.120835, uni_maintain=0.0649987, bi_search=2.16009, bi_subSolve=0.209983, bi_maintain=0.240351, admm_maintain=0.294811, area1=352.462, area23=1.66492, area4=16.8001, dual_obj=-6531.14, p_obj=37019.8, heldout Acc=0.923559 (1/100), overall time=188.321
i=52, infea=0.00116517, nnz_a=6.08725, nnz_b=9.2978, uni_search=0.417973, uni_subSolve=0.0956065, uni_maintain=0.0628905, bi_search=1.66588, bi_subSolve=0.189124, bi_maintain=0.1658, admm_maintain=0.441034, area1=352.555, area23=1.66429, area4=16.9157, dual_obj=-6598.83, p_obj=36138.6, heldout Acc=0.924101, overall time=192.656
i=53, infea=0.00113773, nnz_a=6.03833, nnz_b=9.22378, uni_search=0.852689, uni_subSolve=0.176196, uni_maintain=0.0996183, bi_search=1.90269, bi_subSolve=0.17595, bi_maintain=0.169276, admm_maintain=0.572706, area1=352.609, area23=1.66444, area4=17.028, dual_obj=-6666.63, p_obj=37894.1, heldout Acc=0.923848 (1/100), overall time=198.309
i=54, infea=0.00111259, nnz_a=5.98242, nnz_b=9.15415, uni_search=0.457132, uni_subSolve=0.127452, uni_maintain=0.0769105, bi_search=1.83974, bi_subSolve=0.249148, bi_maintain=0.189505, admm_maintain=0.531258, area1=352.61, area23=1.66362, area4=17.1115, dual_obj=-6734.54, p_obj=35085.4, heldout Acc=0.923667 (2/100), overall time=203.041
i=55, infea=0.00108982, nnz_a=5.92212, nnz_b=9.08055, uni_search=0.773124, uni_subSolve=0.1193, uni_maintain=0.0728637, bi_search=1.58658, bi_subSolve=0.190928, bi_maintain=0.14748, admm_maintain=0.222876, area1=352.591, area23=1.6631, area4=17.2204, dual_obj=-6802.58, p_obj=37535.6, heldout Acc=0.924633, overall time=207.826
i=56, infea=0.00106848, nnz_a=5.86037, nnz_b=9.01122, uni_search=0.647036, uni_subSolve=0.119559, uni_maintain=0.0731355, bi_search=1.71364, bi_subSolve=0.189656, bi_maintain=0.167925, admm_maintain=0.406287, area1=352.583, area23=1.66211, area4=17.2836, dual_obj=-6870.78, p_obj=35887.1, heldout Acc=0.924416 (1/100), overall time=212.48
i=57, infea=0.00104748, nnz_a=5.79899, nnz_b=8.93975, uni_search=0.741975, uni_subSolve=0.126598, uni_maintain=0.0755072, bi_search=1.75744, bi_subSolve=0.194841, bi_maintain=0.165804, admm_maintain=0.385949, area1=352.551, area23=1.66115, area4=17.381, dual_obj=-6939.38, p_obj=36711.3, heldout Acc=0.924913, overall time=217.292
i=58, infea=0.0010266, nnz_a=5.73396, nnz_b=8.87507, uni_search=0.749349, uni_subSolve=0.126747, uni_maintain=0.0751169, bi_search=1.69188, bi_subSolve=0.184785, bi_maintain=0.16493, admm_maintain=0.359626, area1=352.51, area23=1.66074, area4=17.4574, dual_obj=-7007.9, p_obj=38304.8, heldout Acc=0.925165, overall time=221.976
i=59, infea=0.00100813, nnz_a=5.66953, nnz_b=8.8041, uni_search=0.678967, uni_subSolve=0.120577, uni_maintain=0.0746694, bi_search=1.70025, bi_subSolve=0.184241, bi_maintain=0.164893, admm_maintain=0.360658, area1=352.416, area23=1.65982, area4=17.5443, dual_obj=-7076.73, p_obj=35777.8, heldout Acc=0.925057 (1/100), overall time=226.578
i=60, infea=0.000988373, nnz_a=5.60224, nnz_b=8.73403, uni_search=0.678748, uni_subSolve=0.12007, uni_maintain=0.0736304, bi_search=1.6838, bi_subSolve=0.182202, bi_maintain=0.162884, admm_maintain=0.366347, area1=352.333, area23=1.659, area4=17.5967, dual_obj=-7145.97, p_obj=36568.3, heldout Acc=0.925102 (2/100), overall time=231.179
i=61, infea=0.000970342, nnz_a=5.53905, nnz_b=8.66709, uni_search=0.792561, uni_subSolve=0.128439, uni_maintain=0.0754431, bi_search=1.76145, bi_subSolve=0.191914, bi_maintain=0.162152, admm_maintain=0.421429, area1=352.238, area23=1.65699, area4=17.6612, dual_obj=-7215.15, p_obj=35025.8, heldout Acc=0.925174, overall time=236.095
i=62, infea=0.000952428, nnz_a=5.47387, nnz_b=8.6049, uni_search=0.755514, uni_subSolve=0.125122, uni_maintain=0.0742948, bi_search=1.61124, bi_subSolve=0.172008, bi_maintain=0.150349, admm_maintain=0.195615, area1=352.155, area23=1.65646, area4=17.7328, dual_obj=-7284.44, p_obj=36047.3, heldout Acc=0.925364, overall time=240.344
i=63, infea=0.000936677, nnz_a=5.41296, nnz_b=8.54041, uni_search=0.447969, uni_subSolve=0.0960127, uni_maintain=0.0622417, bi_search=1.68249, bi_subSolve=0.179511, bi_maintain=0.158428, admm_maintain=0.359339, area1=352.046, area23=1.65446, area4=17.7631, dual_obj=-7353.82, p_obj=34413.3, heldout Acc=0.925752, overall time=244.566
i=64, infea=0.000921459, nnz_a=5.35227, nnz_b=8.47216, uni_search=0.671367, uni_subSolve=0.116615, uni_maintain=0.0709826, bi_search=1.63301, bi_subSolve=0.174076, bi_maintain=0.154687, admm_maintain=0.3415, area1=351.92, area23=1.65374, area4=17.838, dual_obj=-7423.62, p_obj=36173.7, heldout Acc=0.925084 (1/100), overall time=249.039
