using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=100
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=0.1
i=16, infea=0.166007, nnz_a=3.9464, nnz_b=5.8835, uni_search=0.303894, uni_subSolve=0.0658848, uni_maintain=0.0413826, bi_search=1.05621, bi_subSolve=0.0922704, bi_maintain=0.108376, admm_maintain=0.177703, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26563.4, p_obj=28124.1, heldout Acc=0.919518 (1/100), overall time=47.8148
i=17, infea=0.15961, nnz_a=4.02838, nnz_b=5.92864, uni_search=0.324127, uni_subSolve=0.0687207, uni_maintain=0.0426163, bi_search=1.0675, bi_subSolve=0.0945592, bi_maintain=0.112214, admm_maintain=0.164551, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26584.2, p_obj=26774, heldout Acc=0.92079, overall time=50.5661
i=18, infea=0.153045, nnz_a=4.09632, nnz_b=5.96181, uni_search=0.324352, uni_subSolve=0.0694118, uni_maintain=0.0433254, bi_search=1.06784, bi_subSolve=0.0951861, bi_maintain=0.111079, admm_maintain=0.164592, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26578.4, p_obj=25640.1, heldout Acc=0.92217, overall time=53.3126
i=19, infea=0.146622, nnz_a=4.15721, nnz_b=5.98876, uni_search=0.324079, uni_subSolve=0.0701849, uni_maintain=0.0440323, bi_search=1.06765, bi_subSolve=0.0955921, bi_maintain=0.109726, admm_maintain=0.16367, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26546.3, p_obj=27264, heldout Acc=0.92281, overall time=56.0601
i=20, infea=0.140525, nnz_a=4.20786, nnz_b=6.00758, uni_search=0.323656, uni_subSolve=0.0707885, uni_maintain=0.0451411, bi_search=1.06813, bi_subSolve=0.0958424, bi_maintain=0.108853, admm_maintain=0.1653, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26479.2, p_obj=28774.1, heldout Acc=0.922206 (1/100), overall time=58.8061
i=21, infea=0.134844, nnz_a=4.25596, nnz_b=6.01521, uni_search=0.331198, uni_subSolve=0.0769786, uni_maintain=0.0464213, bi_search=1.10714, bi_subSolve=0.108276, bi_maintain=0.108693, admm_maintain=0.16307, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26381.9, p_obj=26407, heldout Acc=0.922991, overall time=61.6841
i=22, infea=0.129558, nnz_a=4.30074, nnz_b=6.01347, uni_search=0.331101, uni_subSolve=0.0775478, uni_maintain=0.0466119, bi_search=1.10444, bi_subSolve=0.108434, bi_maintain=0.107735, admm_maintain=0.164295, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26257.1, p_obj=25272.7, heldout Acc=0.925282, overall time=64.5554
i=23, infea=0.124691, nnz_a=4.34071, nnz_b=6.00644, uni_search=0.329877, uni_subSolve=0.0779023, uni_maintain=0.0473884, bi_search=1.10544, bi_subSolve=0.108313, bi_maintain=0.107021, admm_maintain=0.163828, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26115.5, p_obj=26824.7, heldout Acc=0.925093 (1/100), overall time=67.4256
i=24, infea=0.120205, nnz_a=4.37821, nnz_b=5.99556, uni_search=0.329835, uni_subSolve=0.0783365, uni_maintain=0.0481659, bi_search=1.10447, bi_subSolve=0.108483, bi_maintain=0.105829, admm_maintain=0.161536, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25957.4, p_obj=24324.4, heldout Acc=0.925526, overall time=70.2893
i=25, infea=0.115987, nnz_a=4.40917, nnz_b=5.98295, uni_search=0.330352, uni_subSolve=0.07871, uni_maintain=0.048765, bi_search=1.10314, bi_subSolve=0.108405, bi_maintain=0.105069, admm_maintain=0.162722, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25794, p_obj=24786.8, heldout Acc=0.924642 (1/100), overall time=73.1572
