using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.100
D=47237
K=225
N=20835
d=75.9802
r=6
i=19, a_nnz=6.74231, ever_a_nnz=8.07401, b_nnz=41.0714, uni_search=2.34469, uni_subSolve=0.591425, uni_maintain_time=0.0820121, bi_search=0.229299, bi_subSolve=0.28029, bi_maintain_time=0.109783, admm_maintain=0.281621, area4=1.03369, infea=1006.22, d_obj=12212.3, p_obj=811011., heldout Acc=0.995111, overall time=59.9343
i=20, a_nnz=6.87564, ever_a_nnz=8.28044, b_nnz=43.4778, uni_search=2.05818, uni_subSolve=0.532991, uni_maintain_time=0.0967056, bi_search=0.221455, bi_subSolve=0.248628, bi_maintain_time=0.105775, admm_maintain=0.27522, area4=1.03264, infea=987.989, d_obj=12434.6, overall time=63.7605
i=21, a_nnz=7.00374, ever_a_nnz=8.47646, b_nnz=45.8543, uni_search=1.76159, uni_subSolve=0.47, uni_maintain_time=0.0938798, bi_search=0.231737, bi_subSolve=0.260771, bi_maintain_time=0.101423, admm_maintain=0.286128, area4=1.03187, infea=972.09, d_obj=12700.7, overall time=67.2528
i=22, a_nnz=7.12762, ever_a_nnz=8.66235, b_nnz=48.2025, uni_search=1.82267, uni_subSolve=0.493601, uni_maintain_time=0.0984547, bi_search=0.23617, bi_subSolve=0.265363, bi_maintain_time=0.101065, admm_maintain=0.295482, area4=1.0359, infea=936.478, d_obj=12960.2, overall time=70.896
i=23, a_nnz=7.24368, ever_a_nnz=8.83806, b_nnz=50.5042, uni_search=1.87171, uni_subSolve=0.511277, uni_maintain_time=0.100886, bi_search=0.244385, bi_subSolve=0.277077, bi_maintain_time=0.10488, admm_maintain=0.308954, area4=1.03513, infea=908.421, d_obj=13196.8, overall time=74.6537
i=24, a_nnz=7.35354, ever_a_nnz=9.00432, b_nnz=52.7828, uni_search=1.90496, uni_subSolve=0.522921, uni_maintain_time=0.10142, bi_search=0.25237, bi_subSolve=0.287952, bi_maintain_time=0.108548, admm_maintain=0.32183, area4=1.03302, infea=878.157, d_obj=13376.7, overall time=78.5041
i=25, a_nnz=7.46403, ever_a_nnz=9.16755, b_nnz=55.0831, uni_search=1.93917, uni_subSolve=0.53423, uni_maintain_time=0.102775, bi_search=0.262097, bi_subSolve=0.299053, bi_maintain_time=0.110689, admm_maintain=0.333791, area4=1.03158, infea=857.227, d_obj=13503.5, overall time=82.4476
i=26, a_nnz=7.57231, ever_a_nnz=9.32445, b_nnz=57.3432, uni_search=1.97453, uni_subSolve=0.54748, uni_maintain_time=0.104086, bi_search=0.27184, bi_subSolve=0.311417, bi_maintain_time=0.113674, admm_maintain=0.345934, area4=1.03782, infea=839.801, d_obj=13578.9, overall time=86.4841
i=27, a_nnz=7.67612, ever_a_nnz=9.47377, b_nnz=59.5696, uni_search=2.0339, uni_subSolve=0.571887, uni_maintain_time=0.104991, bi_search=0.278983, bi_subSolve=0.321188, bi_maintain_time=0.116973, admm_maintain=0.357664, area4=1.04099, infea=822.137, d_obj=13590.2, overall time=90.6493
i=28, a_nnz=7.77365, ever_a_nnz=9.61857, b_nnz=61.8002, uni_search=2.03644, uni_subSolve=0.56924, uni_maintain_time=0.10518, bi_search=0.288419, bi_subSolve=0.332347, bi_maintain_time=0.11855, admm_maintain=0.36757, area4=1.04003, infea=806.098, d_obj=13600.5, overall time=94.8553
i=29, a_nnz=7.86811, ever_a_nnz=9.7558, b_nnz=63.9685, uni_search=2.32959, uni_subSolve=0.6799, uni_maintain_time=0.106059, bi_search=0.418033, bi_subSolve=0.487632, bi_maintain_time=0.146367, admm_maintain=0.516916, area4=1.0406, infea=792.745, d_obj=13559.4, p_obj=688900., heldout Acc=0.993778 (1/100), overall time=100.066
i=30, a_nnz=7.95546, ever_a_nnz=9.88572, b_nnz=66.0546, uni_search=10.8732, uni_subSolve=2.69156, uni_maintain_time=0.118788, bi_search=0.250333, bi_subSolve=0.374213, bi_maintain_time=0.127265, admm_maintain=0.324405, area4=1.03792, infea=784.238, d_obj=13517, overall time=115.159
i=31, a_nnz=8.049, ever_a_nnz=10.0149, b_nnz=68.1414, uni_search=1.9344, uni_subSolve=0.491003, uni_maintain_time=0.0800819, bi_search=0.255005, bi_subSolve=0.310206, bi_maintain_time=0.101452, admm_maintain=0.327978, area4=1.0432, infea=775.69, d_obj=13469.1, overall time=118.997
i=32, a_nnz=8.13333, ever_a_nnz=10.1356, b_nnz=70.1647, uni_search=1.94557, uni_subSolve=0.494809, uni_maintain_time=0.0799013, bi_search=0.263597, bi_subSolve=0.320356, bi_maintain_time=0.103428, admm_maintain=0.336021, area4=1.04185, infea=763.622, d_obj=13432.7, overall time=122.888
i=33, a_nnz=8.21949, ever_a_nnz=10.2582, b_nnz=72.267, uni_search=1.96509, uni_subSolve=0.500476, uni_maintain_time=0.0806331, bi_search=0.268181, bi_subSolve=0.325999, bi_maintain_time=0.104738, admm_maintain=0.345281, area4=1.04377, infea=758.459, d_obj=13427.3, overall time=126.833
i=34, a_nnz=8.30324, ever_a_nnz=10.3745, b_nnz=74.3064, uni_search=2.0063, uni_subSolve=0.516171, uni_maintain_time=0.0810884, bi_search=0.274, bi_subSolve=0.337544, bi_maintain_time=0.108213, admm_maintain=0.352619, area4=1.04195, infea=747.735, d_obj=13405.4, overall time=130.866
i=35, a_nnz=8.39246, ever_a_nnz=10.4873, b_nnz=76.2958, uni_search=2.005, uni_subSolve=0.514621, uni_maintain_time=0.0808119, bi_search=0.279537, bi_subSolve=0.342853, bi_maintain_time=0.109673, admm_maintain=0.360001, area4=1.04358, infea=740.816, d_obj=13420.2, overall time=134.924
i=36, a_nnz=8.47295, ever_a_nnz=10.5981, b_nnz=78.3357, uni_search=2.03562, uni_subSolve=0.527652, uni_maintain_time=0.0818667, bi_search=0.287178, bi_subSolve=0.35188, bi_maintain_time=0.110399, admm_maintain=0.369819, area4=1.04473, infea=729.723, d_obj=13468.7, overall time=139.063
