using heldout data set: /scratch/cluster/ianyen/data/multilabel/rcv1_regions.subtest.100
D=47237
K=225
N=20835
d=75.9802
r=6
i=16, a_nnz=4.84176, ever_a_nnz=5.42376, b_nnz=22.5257, uni_search=2.96369, uni_subSolve=0.115936, uni_maintain_time=0.037196, bi_search=43.9864, bi_subSolve=0.105749, bi_maintain_time=0.049207, admm_maintain=0.0916036, area4=-nan, infea=851.385, d_obj=11579.4, p_obj=1.11004e+06., heldout Acc=0.989778 (7/50), overall time=812.393
i=17, a_nnz=4.91418, ever_a_nnz=5.52637, b_nnz=23.8319, uni_search=3.01123, uni_subSolve=0.119816, uni_maintain_time=0.0375154, bi_search=44.0137, bi_subSolve=0.104574, bi_maintain_time=0.0457346, admm_maintain=0.0944362, area4=-nan, infea=822.59, d_obj=11561.6, p_obj=1.02908e+06., heldout Acc=0.979556 (8/50), overall time=859.947
i=18, a_nnz=4.98407, ever_a_nnz=5.62222, b_nnz=25.1087, uni_search=3.87773, uni_subSolve=0.172428, uni_maintain_time=0.047851, bi_search=47.2605, bi_subSolve=0.224257, bi_maintain_time=0.131024, admm_maintain=0.152932, area4=-nan, infea=804.57, d_obj=11596.2, p_obj=1.06537e+06., heldout Acc=0.979111 (9/50), overall time=912.009
i=19, a_nnz=5.05155, ever_a_nnz=5.70799, b_nnz=26.3166, uni_search=3.10005, uni_subSolve=0.126177, uni_maintain_time=0.0379463, bi_search=44.4338, bi_subSolve=0.134703, bi_maintain_time=0.0604877, admm_maintain=0.12421, area4=-nan, infea=778.787, d_obj=11636.2, p_obj=1.12122e+06., heldout Acc=0.990222 (10/50), overall time=960.2
i=20, a_nnz=5.115, ever_a_nnz=5.78666, b_nnz=27.4624, uni_search=3.34171, uni_subSolve=0.153524, uni_maintain_time=0.0429134, bi_search=44.1798, bi_subSolve=0.138013, bi_maintain_time=0.0590951, admm_maintain=0.117494, area4=-nan, infea=751.083, d_obj=11665.7, p_obj=1.0439e+06., heldout Acc=0.985778 (11/50), overall time=1008.39
i=21, a_nnz=5.17643, ever_a_nnz=5.86211, b_nnz=28.6058, uni_search=3.63296, uni_subSolve=0.196676, uni_maintain_time=0.0464633, bi_search=45.9609, bi_subSolve=0.201281, bi_maintain_time=0.101938, admm_maintain=0.156452, area4=-nan, infea=719.271, d_obj=11764.5, p_obj=1.01004e+06., heldout Acc=0.988 (12/50), overall time=1058.88
i=22, a_nnz=5.22817, ever_a_nnz=5.92714, b_nnz=29.6571, uni_search=3.10636, uni_subSolve=0.123184, uni_maintain_time=0.0374783, bi_search=43.98, bi_subSolve=0.115626, bi_maintain_time=0.0476043, admm_maintain=0.101924, area4=-nan, infea=678.733, d_obj=11777.6, p_obj=996155., heldout Acc=0.986667 (13/50), overall time=1106.52
i=23, a_nnz=5.28126, ever_a_nnz=5.98906, b_nnz=30.6809, uni_search=3.35843, uni_subSolve=0.151211, uni_maintain_time=0.0420649, bi_search=44.1866, bi_subSolve=0.146708, bi_maintain_time=0.0603263, admm_maintain=0.125934, area4=-nan, infea=648.123, d_obj=11805.5, p_obj=984944., heldout Acc=0.992, overall time=1154.75
i=24, a_nnz=5.32681, ever_a_nnz=6.04238, b_nnz=31.6127, uni_search=3.64976, uni_subSolve=0.172162, uni_maintain_time=0.0446097, bi_search=46.3429, bi_subSolve=0.209014, bi_maintain_time=0.102758, admm_maintain=0.124301, area4=-nan, infea=616.526, d_obj=11788.8, p_obj=985390., heldout Acc=0.996, overall time=1205.59
i=25, a_nnz=5.36856, ever_a_nnz=6.09268, b_nnz=32.5153, uni_search=3.93608, uni_subSolve=0.24271, uni_maintain_time=0.0453728, bi_search=44.3696, bi_subSolve=0.167292, bi_maintain_time=0.0700645, admm_maintain=0.146645, area4=-nan, infea=587.194, d_obj=11695.4
