using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=3, admm_step_size=1, C=1, eta=10
i=19, infea=0.0359892, nnz_a=10.187, nnz_b=17.1175, uni_search=27.5456, uni_subSolve=1.35085, uni_maintain=0.97544, bi_search=18.3229, bi_subSolve=1.10674, bi_maintain=4.79331, admm_maintain=1.46514, area1=263.353, area23=1.11629, area4=1.00929, dual_obj=-12487.9, p_obj=190480, heldout Acc=0.439636, overall time=937.339
i=20, infea=0.0365212, nnz_a=10.3626, nnz_b=17.6217, uni_search=27.0322, uni_subSolve=1.35329, uni_maintain=1.00068, bi_search=14.1256, bi_subSolve=0.87641, bi_maintain=3.6785, admm_maintain=1.26497, area1=287.824, area23=1.12411, area4=1.01185, dual_obj=-12937.8, overall time=991.688
i=21, infea=0.037011, nnz_a=10.5327, nnz_b=18.1046, uni_search=25.6519, uni_subSolve=1.23645, uni_maintain=1.00584, bi_search=13.9662, bi_subSolve=0.865811, bi_maintain=3.59294, admm_maintain=1.28574, area1=313.394, area23=1.13182, area4=1.01437, dual_obj=-13381.2, overall time=1044.2
i=22, infea=0.0375009, nnz_a=10.6939, nnz_b=18.5664, uni_search=25.6744, uni_subSolve=1.27009, uni_maintain=1.02359, bi_search=14.6197, bi_subSolve=0.885598, bi_maintain=3.64837, admm_maintain=1.55244, area1=339.915, area23=1.13922, area4=1.01705, dual_obj=-13818.2, overall time=1097.78
i=23, infea=0.0379576, nnz_a=10.8558, nnz_b=19.006, uni_search=25.8037, uni_subSolve=1.27647, uni_maintain=1.04176, bi_search=15.0119, bi_subSolve=0.924706, bi_maintain=3.78059, admm_maintain=1.2957, area1=367.554, area23=1.14701, area4=1.02062, dual_obj=-14251.5, overall time=1151.84
i=24, infea=0.0383727, nnz_a=11.005, nnz_b=19.427, uni_search=25.7404, uni_subSolve=1.30019, uni_maintain=1.05324, bi_search=15.4019, bi_subSolve=0.920245, bi_maintain=3.79297, admm_maintain=1.30318, area1=396.042, area23=1.1543, area4=1.02481, dual_obj=-14678.9, overall time=1206.26
i=25, infea=0.0387757, nnz_a=11.1512, nnz_b=19.8303, uni_search=25.9564, uni_subSolve=1.36264, uni_maintain=1.07538, bi_search=13.1877, bi_subSolve=0.808055, bi_maintain=3.35423, admm_maintain=1.12418, area1=425.625, area23=1.1614, area4=1.02896, dual_obj=-15101.8, overall time=1257.97
i=26, infea=0.0391597, nnz_a=11.2928, nnz_b=20.2163, uni_search=24.8567, uni_subSolve=1.15191, uni_maintain=1.17769, bi_search=13.0153, bi_subSolve=0.782535, bi_maintain=3.2329, admm_maintain=1.1586, area1=456.169, area23=1.16876, area4=1.03336, dual_obj=-15521.8, overall time=1308.08
i=27, infea=0.0395091, nnz_a=11.4291, nnz_b=20.5928, uni_search=25.2335, uni_subSolve=1.26054, uni_maintain=1.17916, bi_search=16.945, bi_subSolve=1.01294, bi_maintain=4.2625, admm_maintain=1.32442, area1=487.716, area23=1.17635, area4=1.03738, dual_obj=-15934.7, overall time=1364.21
i=28, infea=0.0398271, nnz_a=11.559, nnz_b=20.952, uni_search=25.5506, uni_subSolve=1.37349, uni_maintain=1.18848, bi_search=14.3753, bi_subSolve=0.832796, bi_maintain=3.4703, admm_maintain=1.15784, area1=520.259, area23=1.18388, area4=1.03975, dual_obj=-16342, overall time=1417.01
