using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=1, admm_step_size=1, C=1, eta=10
i=17, infea=0.032951, nnz_a=10.1719, nnz_b=16.4584, uni_search=26.4534, uni_subSolve=0.463443, uni_maintain=0.465011, bi_search=3429.17, bi_subSolve=0.625216, bi_maintain=1.68885, admm_maintain=0.374912, area1=-nan, area23=-nan, area4=-nan, dual_obj=-11879.1, p_obj=172728, heldout Acc=0.441344, overall time=63448.7
i=18, infea=0.0333818, nnz_a=10.3924, nnz_b=17.0524, uni_search=26.4606, uni_subSolve=0.47167, uni_maintain=0.473985, bi_search=3473.8, bi_subSolve=0.666119, bi_maintain=1.81052, admm_maintain=0.418438, area1=-nan, area23=-nan, area4=-nan, dual_obj=-12341.5, p_obj=216296, heldout Acc=0.439636 (1/100), overall time=66956.7
i=19, infea=0.0338185, nnz_a=10.6097, nnz_b=17.6212, uni_search=27.2267, uni_subSolve=0.496573, uni_maintain=0.507494, bi_search=3476.72, bi_subSolve=0.676703, bi_maintain=1.88475, admm_maintain=0.386376, area1=-nan, area23=-nan, area4=-nan, dual_obj=-12794.9, p_obj=181629, heldout Acc=0.437358 (2/100), overall time=70468.4
i=20, infea=0.0342162, nnz_a=10.815, nnz_b=18.1671, uni_search=26.4389, uni_subSolve=0.486664, uni_maintain=0.490778, bi_search=3431.94, bi_subSolve=0.666322, bi_maintain=1.8598, admm_maintain=0.39003, area1=-nan, area23=-nan, area4=-nan, dual_obj=-13240.3, p_obj=182715, heldout Acc=0.466401, overall time=73934.5
i=21, infea=0.0345894, nnz_a=11.0174, nnz_b=18.6927, uni_search=26.4499, uni_subSolve=0.494164, uni_maintain=0.498815, bi_search=3426.12, bi_subSolve=0.68298, bi_maintain=1.8893, admm_maintain=0.394347, area1=-nan, area23=-nan, area4=-nan, dual_obj=-13678.6, p_obj=185034, heldout Acc=0.469248, overall time=77394.8
i=22, infea=0.0349708, nnz_a=11.2068, nnz_b=19.1976, uni_search=26.4522, uni_subSolve=0.501878, uni_maintain=0.506927, bi_search=3426.51, bi_subSolve=0.69626, bi_maintain=1.93513, admm_maintain=0.399986, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14111.4, p_obj=182562, heldout Acc=0.449317 (1/100), overall time=80855.6
i=23, infea=0.0353262, nnz_a=11.3931, nnz_b=19.6805, uni_search=26.4483, uni_subSolve=0.509128, uni_maintain=0.514866, bi_search=3426.96, bi_subSolve=0.711107, bi_maintain=1.98099, admm_maintain=0.404697, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14537.3, p_obj=183599, heldout Acc=0.461276 (2/100), overall time=84316.9
i=24, infea=0.0356708, nnz_a=11.5731, nnz_b=20.1457, uni_search=26.4557, uni_subSolve=0.516179, uni_maintain=0.523912, bi_search=3464.12, bi_subSolve=0.752519, bi_maintain=2.1054, admm_maintain=0.686586, area1=-nan, area23=-nan, area4=-nan, dual_obj=-14958.5, p_obj=191581, heldout Acc=0.45672 (3/100), overall time=87816.1
i=25, infea=0.0359934, nnz_a=11.7442, nnz_b=20.595, uni_search=27.0308, uni_subSolve=0.552796, uni_maintain=0.567451, bi_search=3517.93, bi_subSolve=0.812057, bi_maintain=2.26514, admm_maintain=0.447895, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15376, p_obj=172563, heldout Acc=0.458428 (4/100), overall time=91369.8
i=26, infea=0.0362865, nnz_a=11.906, nnz_b=21.0269, uni_search=27.1423, uni_subSolve=0.55554, uni_maintain=0.578083, bi_search=3497.09, bi_subSolve=0.796084, bi_maintain=2.26091, admm_maintain=0.443233, area1=-nan, area23=-nan, area4=-nan, dual_obj=-15786.7, p_obj=177056, heldout Acc=0.455581 (5/100), overall time=94902.7
i=27, infea=0.03657, nnz_a=12.0587, nnz_b=21.4451, uni_search=27.891, uni_subSolve=0.583295, uni_maintain=0.601613, bi_search=3520.72, bi_subSolve=0.828275, bi_maintain=2.33342, admm_maintain=0.483714, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16192.3, p_obj=169501, heldout Acc=0.472665, overall time=98460.3
i=28, infea=0.0368486, nnz_a=12.2068, nnz_b=21.8447, uni_search=27.5242, uni_subSolve=0.584021, uni_maintain=0.600343, bi_search=3519.77, bi_subSolve=0.829836, bi_maintain=2.36045, admm_maintain=0.450812, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16593.4, p_obj=176408, heldout Acc=0.47836, overall time=102017
i=29, infea=0.0370961, nnz_a=12.3452, nnz_b=22.2319, uni_search=27.8747, uni_subSolve=0.597782, uni_maintain=0.617441, bi_search=3520.6, bi_subSolve=0.840805, bi_maintain=2.388, admm_maintain=0.458131, area1=-nan, area23=-nan, area4=-nan, dual_obj=-16987.8, p_obj=152199, heldout Acc=0.472096 (1/100), overall time=105574
