using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=1, admm_step_size=0, C=1, eta=10
i=17, infea=0.0731359, nnz_a=13.1549, nnz_b=18.2235, uni_search=32.7025, uni_subSolve=0.683218, uni_maintain=0.745264, bi_search=4705.4, bi_subSolve=3.94372, bi_maintain=2.71615, admm_maintain=0.806922, area1=-nan, area23=-nan, area4=-nan, dual_obj=-18937, p_obj=208618, heldout Acc=0.310934 (1/100), overall time=75875.4
i=18, infea=0.0768384, nnz_a=13.6135, nnz_b=19.1171, uni_search=29.967, uni_subSolve=0.609581, uni_maintain=0.697429, bi_search=4722.59, bi_subSolve=4.13583, bi_maintain=2.94987, admm_maintain=0.764282, area1=-nan, area23=-nan, area4=-nan, dual_obj=-19906.4, p_obj=195535, heldout Acc=0.331435, overall time=80642.8
i=19, infea=0.0804909, nnz_a=14.0598, nnz_b=20.0049, uni_search=47.5418, uni_subSolve=1.13532, uni_maintain=1.34073, bi_search=4654.43, bi_subSolve=4.18975, bi_maintain=3.11945, admm_maintain=0.642302, area1=-nan, area23=-nan, area4=-nan, dual_obj=-20868, p_obj=200026, heldout Acc=0.321754 (1/100), overall time=85361.3
i=20, infea=0.0840726, nnz_a=14.4932, nnz_b=20.8861, uni_search=41.0037, uni_subSolve=0.994645, uni_maintain=1.16543, bi_search=4349.77, bi_subSolve=3.88227, bi_maintain=3.01555, admm_maintain=0.806431, area1=-nan, area23=-nan, area4=-nan, dual_obj=-21822.8, p_obj=198980, heldout Acc=0.31549 (2/100), overall time=89767.9
i=21, infea=0.0876162, nnz_a=14.9154, nnz_b=21.7599, uni_search=29.7921, uni_subSolve=0.653371, uni_maintain=0.762145, bi_search=4609.37, bi_subSolve=4.27783, bi_maintain=3.3522, admm_maintain=0.910078, area1=-nan, area23=-nan, area4=-nan, dual_obj=-22768.8, p_obj=187258, heldout Acc=0.322893 (3/100), overall time=94422.6
i=22, infea=0.0910937, nnz_a=15.3275, nnz_b=22.6268, uni_search=36.7583, uni_subSolve=0.876832, uni_maintain=1.04258, bi_search=4405.66, bi_subSolve=4.05565, bi_maintain=3.28644, admm_maintain=0.669084, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23707.9, p_obj=197149, heldout Acc=0.335991, overall time=98880.3
i=23, infea=0.0945361, nnz_a=15.7281, nnz_b=23.4882, uni_search=43.6316, uni_subSolve=1.10553, uni_maintain=1.37512, bi_search=4095.02, bi_subSolve=3.68343, bi_maintain=3.13177, admm_maintain=0.534869, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24639.5, p_obj=210081, heldout Acc=0.33656, overall time=103034
i=24, infea=0.0979275, nnz_a=16.1197, nnz_b=24.3419, uni_search=30.4117, uni_subSolve=0.717836, uni_maintain=0.851464, bi_search=4356.78, bi_subSolve=4.06008, bi_maintain=3.43899, admm_maintain=0.727728, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25564.4, p_obj=198479, heldout Acc=0.322893 (1/100), overall time=107436
i=25, infea=0.101282, nnz_a=16.5031, nnz_b=25.1894, uni_search=33.2484, uni_subSolve=0.80197, uni_maintain=0.973598, bi_search=4419.82, bi_subSolve=4.15371, bi_maintain=3.57493, admm_maintain=1.01758, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26482.3, p_obj=195227, heldout Acc=0.332005 (2/100), overall time=111905
i=26, infea=0.104529, nnz_a=16.8769, nnz_b=26.0309, uni_search=39.3043, uni_subSolve=1.01126, uni_maintain=1.26358, bi_search=4378.65, bi_subSolve=4.17864, bi_maintain=3.69874, admm_maintain=1.17859, area1=-nan, area23=-nan, area4=-nan, dual_obj=-27393.8, p_obj=181960, heldout Acc=0.318337 (3/100), overall time=116340
i=27, infea=0.10772, nnz_a=17.2415, nnz_b=26.8663, uni_search=39.0878, uni_subSolve=1.02261, uni_maintain=1.28159, bi_search=4281.46, bi_subSolve=4.06324, bi_maintain=3.66941, admm_maintain=1.0301, area1=-nan, area23=-nan, area4=-nan, dual_obj=-28297.9, p_obj=192797, heldout Acc=0.351936, overall time=120677
i=28, infea=0.110866, nnz_a=17.5984, nnz_b=27.6945, uni_search=26.9652, uni_subSolve=0.667967, uni_maintain=0.779501, bi_search=4226.39, bi_subSolve=3.98568, bi_maintain=3.65583, admm_maintain=0.921311, area1=-nan, area23=-nan, area4=-nan, dual_obj=-29194.9, p_obj=198764, heldout Acc=0.357631, overall time=124946
i=29, infea=0.113973, nnz_a=17.9464, nnz_b=28.5158, uni_search=33.1734, uni_subSolve=0.859357, uni_maintain=1.05742, bi_search=5155.33, bi_subSolve=5.02166, bi_maintain=4.29579, admm_maintain=0.803603, area1=-nan, area23=-nan, area4=-nan, dual_obj=-30086.6, p_obj=197102, heldout Acc=0.351367 (1/100), overall time=130152
