using heldout data set: /scratch/cluster/ianyen/data/ChineseOCR/data.fea.test, early_terminate=100
D=86
K=3039
N=172318
nSeq=11954
split_up_rate=3, admm_step_size=1, C=1, eta=1
i=19, infea=0.186996, nnz_a=12.203, nnz_b=16.062, uni_search=24.923, uni_subSolve=1.26161, uni_maintain=1.0701, bi_search=11.3687, bi_subSolve=0.712145, bi_maintain=3.16194, admm_maintain=1.10622, area1=312.123, area23=1.05092, area4=1.00115, dual_obj=-39269.7, p_obj=238613, heldout Acc=0.297267, overall time=876.545
i=20, infea=0.192003, nnz_a=12.498, nnz_b=16.4986, uni_search=24.6328, uni_subSolve=1.25591, uni_maintain=1.0811, bi_search=13.2962, bi_subSolve=0.825954, bi_maintain=3.61382, admm_maintain=1.00201, area1=341.933, area23=1.0548, area4=1.00147, dual_obj=-40955.6, overall time=926.845
i=21, infea=0.19687, nnz_a=12.7796, nnz_b=16.9167, uni_search=24.4626, uni_subSolve=1.26313, uni_maintain=1.11272, bi_search=12.5943, bi_subSolve=0.73913, bi_maintain=3.27649, admm_maintain=1.13501, area1=372.923, area23=1.05918, area4=1.00177, dual_obj=-42622.9, overall time=976.126
i=22, infea=0.201583, nnz_a=13.0461, nnz_b=17.3267, uni_search=24.3225, uni_subSolve=1.26537, uni_maintain=1.11474, bi_search=13.3541, bi_subSolve=0.804479, bi_maintain=3.49279, admm_maintain=1.16651, area1=405.12, area23=1.0636, area4=1.00207, dual_obj=-44271.2, overall time=1026.32
i=23, infea=0.206156, nnz_a=13.306, nnz_b=17.7229, uni_search=24.732, uni_subSolve=1.32649, uni_maintain=1.16111, bi_search=14.1185, bi_subSolve=0.812869, bi_maintain=3.55201, admm_maintain=1.08676, area1=438.462, area23=1.06809, area4=1.00238, dual_obj=-45894.4, overall time=1077.67
i=24, infea=0.210617, nnz_a=13.5591, nnz_b=18.1109, uni_search=24.8434, uni_subSolve=1.36989, uni_maintain=1.19975, bi_search=13.7425, bi_subSolve=0.772947, bi_maintain=3.35108, admm_maintain=1.39767, area1=473.035, area23=1.07277, area4=1.00358, dual_obj=-47498.4, overall time=1129.09
i=25, infea=0.214968, nnz_a=13.8016, nnz_b=18.4899, uni_search=24.8677, uni_subSolve=1.3918, uni_maintain=1.26623, bi_search=14.8629, bi_subSolve=0.852347, bi_maintain=3.65136, admm_maintain=1.32764, area1=508.695, area23=1.07776, area4=1.00407, dual_obj=-49082.8, overall time=1182.15
i=26, infea=0.219215, nnz_a=14.0344, nnz_b=18.8626, uni_search=24.2824, uni_subSolve=1.33632, uni_maintain=1.19454, bi_search=15.2874, bi_subSolve=0.829518, bi_maintain=3.5654, admm_maintain=1.34302, area1=545.388, area23=1.08304, area4=1.00474, dual_obj=-50648.1, overall time=1234.62
i=27, infea=0.223406, nnz_a=14.2559, nnz_b=19.2252, uni_search=24.6376, uni_subSolve=1.39737, uni_maintain=1.2311, bi_search=15.3883, bi_subSolve=0.836773, bi_maintain=3.5651, admm_maintain=1.39126, area1=583.066, area23=1.08825, area4=1.00636, dual_obj=-52191.5, overall time=1287.72
i=28, infea=0.227496, nnz_a=14.4697, nnz_b=19.5804, uni_search=24.2111, uni_subSolve=1.36271, uni_maintain=1.22541, bi_search=17.7731, bi_subSolve=0.957041, bi_maintain=4.1432, admm_maintain=1.44136, area1=621.675, area23=1.09356, area4=1.00747, dual_obj=-53722.6, overall time=1343.44
i=29, infea=0.231489, nnz_a=14.6777, nnz_b=19.9252, uni_search=24.2176, uni_subSolve=1.39254, uni_maintain=1.25662, bi_search=16.0542, bi_subSolve=0.835589, bi_maintain=3.54133, admm_maintain=1.42573, area1=661.346, area23=1.09926, area4=1.00913, dual_obj=-55234.2, p_obj=175044, heldout Acc=0.394077, overall time=1396.79
i=30, infea=0.235313, nnz_a=14.8755, nnz_b=20.2638, uni_search=24.2559, uni_subSolve=1.40792, uni_maintain=1.26592, bi_search=16.7555, bi_subSolve=0.870586, bi_maintain=3.64705, admm_maintain=1.38, area1=701.9, area23=1.10484, area4=1.01065, dual_obj=-56731.4, overall time=1450.99
i=31, infea=0.238956, nnz_a=15.0681, nnz_b=20.5926, uni_search=24.4656, uni_subSolve=1.43741, uni_maintain=1.28799, bi_search=18.7389, bi_subSolve=0.946322, bi_maintain=3.98717, admm_maintain=1.21992, area1=743.395, area23=1.1106, area4=1.01134, dual_obj=-58212, overall time=1507.66
i=32, infea=0.242521, nnz_a=15.2551, nnz_b=20.9079, uni_search=24.463, uni_subSolve=1.45434, uni_maintain=1.30773, bi_search=18.3938, bi_subSolve=0.90272, bi_maintain=3.78913, admm_maintain=1.38372, area1=785.795, area23=1.11635, area4=1.01283, dual_obj=-59677.2, overall time=1564.01
i=33, infea=0.245965, nnz_a=15.4295, nnz_b=21.2198, uni_search=24.1865, uni_subSolve=1.43972, uni_maintain=1.31237, bi_search=21.0035, bi_subSolve=1.03627, bi_maintain=4.37242, admm_maintain=1.14616, area1=829.038, area23=1.12255, area4=1.01499, dual_obj=-61126.7, overall time=1623.1
i=34, infea=0.249367, nnz_a=15.6056, nnz_b=21.5243, uni_search=24.1572, uni_subSolve=1.45058, uni_maintain=1.31738, bi_search=19.3072, bi_subSolve=0.918467, bi_maintain=3.81513, admm_maintain=1.50551, area1=873.151, area23=1.12919, area4=1.01608, dual_obj=-62556.6, overall time=1680.2
i=35, infea=0.252622, nnz_a=15.7699, nnz_b=21.817, uni_search=24.4041, uni_subSolve=1.49437, uni_maintain=1.35451, bi_search=21.2709, bi_subSolve=1.00105, bi_maintain=4.16285, admm_maintain=1.26512, area1=917.991, area23=1.13503, area4=1.01832, dual_obj=-63975.4, overall time=1739.75
i=36, infea=0.255747, nnz_a=15.9374, nnz_b=22.1068, uni_search=24.4906, uni_subSolve=1.5182, uni_maintain=1.36847, bi_search=20.5723, bi_subSolve=0.947509, bi_maintain=3.9126, admm_maintain=1.49896, area1=963.729, area23=1.14145, area4=1.0211, dual_obj=-65375.8, overall time=1798.73
i=37, infea=0.258803, nnz_a=16.0976, nnz_b=22.3827, uni_search=24.1241, uni_subSolve=1.48576, uni_maintain=1.36292, bi_search=23.2676, bi_subSolve=1.05253, bi_maintain=4.39273, admm_maintain=1.25136, area1=1009.98, area23=1.14822, area4=1.02277, dual_obj=-66761, overall time=1860.28
i=38, infea=0.261769, nnz_a=16.2477, nnz_b=22.6547, uni_search=24.2269, uni_subSolve=1.51691, uni_maintain=1.38279, bi_search=21.9064, bi_subSolve=0.989531, bi_maintain=4.05103, admm_maintain=1.47075, area1=1057.02, area23=1.15479, area4=1.02433, dual_obj=-68132.1, overall time=1920.49
i=39, infea=0.26456, nnz_a=16.4004, nnz_b=22.9177, uni_search=24.4241, uni_subSolve=1.54954, uni_maintain=1.41366, bi_search=23.212, bi_subSolve=1.00828, bi_maintain=4.15109, admm_maintain=1.55104, area1=1104.79, area23=1.16113, area4=1.02684, dual_obj=-69481.1, p_obj=195905, heldout Acc=0.4459, overall time=1982.5
i=40, infea=0.26725, nnz_a=16.5441, nnz_b=23.1745, uni_search=24.2198, uni_subSolve=1.52979, uni_maintain=1.40077, bi_search=23.3721, bi_subSolve=1.01892, bi_maintain=4.15696, admm_maintain=1.49377, area1=1153.13, area23=1.16766, area4=1.02795, dual_obj=-70822.5, overall time=2044.34
