using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=19, a_nnz=10.7086, ever_a_nnz=10.9664, b_nnz=66.3076, uni_search=1.20392, uni_subSolve=0.100204, uni_maintain_time=0.031997, bi_search=6.70347, bi_subSolve=0.241372, bi_maintain_time=0.136468, admm_maintain=0.0599939, area4=-nan, infea=111.393, d_obj=-1652.74, p_obj=3339.6......., heldout Acc=0.985268, overall time=165.561
i=20, a_nnz=10.8549, ever_a_nnz=11.116, b_nnz=68.2931, uni_search=1.07543, uni_subSolve=0.0765025, uni_maintain_time=0.0299095, bi_search=6.54075, bi_subSolve=0.0739627, bi_maintain_time=0.0371367, admm_maintain=0.0616363, area4=-nan, infea=109.739, d_obj=-1704.99, overall time=173.519
i=21, a_nnz=10.9927, ever_a_nnz=11.2599, b_nnz=70.2534, uni_search=1.31922, uni_subSolve=0.128941, uni_maintain_time=0.0339672, bi_search=6.57852, bi_subSolve=0.10733, bi_maintain_time=0.0549353, admm_maintain=0.0745361, area4=-nan, infea=108.266, d_obj=-1748.5, overall time=181.949
i=22, a_nnz=11.123, ever_a_nnz=11.3941, b_nnz=72.124, uni_search=1.27625, uni_subSolve=0.118483, uni_maintain_time=0.0359938, bi_search=6.57924, bi_subSolve=0.0996017, bi_maintain_time=0.0514349, admm_maintain=0.163295, area4=-nan, infea=101.647, d_obj=-1800.02, overall time=190.441
i=23, a_nnz=11.2402, ever_a_nnz=11.5138, b_nnz=73.8571, uni_search=1.6018, uni_subSolve=0.190903, uni_maintain_time=0.0368076, bi_search=6.54878, bi_subSolve=0.0797411, bi_maintain_time=0.0396446, admm_maintain=0.0655452, area4=-nan, infea=101.256, d_obj=-1813.52, overall time=199.071
i=24, a_nnz=11.3492, ever_a_nnz=11.6229, b_nnz=75.4859, uni_search=1.11787, uni_subSolve=0.08243, uni_maintain_time=0.0311358, bi_search=6.64049, bi_subSolve=0.274425, bi_maintain_time=0.152192, admm_maintain=0.099473, area4=-nan, infea=93.7486, d_obj=-1838.81, overall time=207.534
i=25, a_nnz=11.4552, ever_a_nnz=11.7309, b_nnz=77.1384, uni_search=1.0656, uni_subSolve=0.0736919, uni_maintain_time=0.0249183, bi_search=6.55395, bi_subSolve=0.116043, bi_maintain_time=0.0585614, admm_maintain=0.0600258, area4=-nan, infea=98.8353, d_obj=-1864.81, overall time=215.55
i=26, a_nnz=11.5572, ever_a_nnz=11.8374, b_nnz=78.8032, uni_search=1.07399, uni_subSolve=0.0745732, uni_maintain_time=0.0250324, bi_search=6.55148, bi_subSolve=0.122011, bi_maintain_time=0.0614334, admm_maintain=0.0611227, area4=-nan, infea=101.561, d_obj=-1897.24, overall time=223.582
i=27, a_nnz=11.6538, ever_a_nnz=11.9351, b_nnz=80.3302, uni_search=1.08052, uni_subSolve=0.0756921, uni_maintain_time=0.0251235, bi_search=6.59739, bi_subSolve=0.152333, bi_maintain_time=0.080215, admm_maintain=0.14864, area4=-nan, infea=98.6883, d_obj=-1925.56, overall time=231.854
i=28, a_nnz=11.7431, ever_a_nnz=12.0294, b_nnz=81.8499, uni_search=1.72828, uni_subSolve=0.217346, uni_maintain_time=0.0378905, bi_search=6.66366, bi_subSolve=0.321374, bi_maintain_time=0.182684, admm_maintain=0.115181, area4=-nan, infea=92.6219, d_obj=-1959.77, overall time=241.235
i=29, a_nnz=11.8279, ever_a_nnz=12.1125, b_nnz=83.2215, uni_search=1.75314, uni_subSolve=0.226739, uni_maintain_time=0.0383255, bi_search=6.6795, bi_subSolve=0.293359, bi_maintain_time=0.16357, admm_maintain=0.0696585, area4=-nan, infea=81.613, d_obj=-2013.55, p_obj=2687.75......., heldout Acc=0.985612, overall time=250.562
i=30, a_nnz=11.914, ever_a_nnz=12.202, b_nnz=84.6727, uni_search=1.35458, uni_subSolve=0.125977, uni_maintain_time=0.0304711, bi_search=6.62718, bi_subSolve=0.18956, bi_maintain_time=0.095456, admm_maintain=0.0812172, area4=-nan, infea=83.0609, d_obj=-2023.03, overall time=259.151
i=31, a_nnz=11.9998, ever_a_nnz=12.2879, b_nnz=86.1471, uni_search=1.34626, uni_subSolve=0.123564, uni_maintain_time=0.0303513, bi_search=6.62966, bi_subSolve=0.191524, bi_maintain_time=0.0950916, admm_maintain=0.0949731, area4=-nan, infea=81.1468, d_obj=-2048.38, overall time=267.752
i=32, a_nnz=12.0726, ever_a_nnz=12.3655, b_nnz=87.4699, uni_search=1.3551, uni_subSolve=0.125687, uni_maintain_time=0.031233, bi_search=6.62979, bi_subSolve=0.193906, bi_maintain_time=0.0956467, admm_maintain=0.0809248, area4=-nan, infea=84.8817, d_obj=-2056.23, overall time=276.365
i=33, a_nnz=12.1394, ever_a_nnz=12.4377, b_nnz=88.7439, uni_search=1.35894, uni_subSolve=0.126229, uni_maintain_time=0.0306653, bi_search=6.62923, bi_subSolve=0.196202, bi_maintain_time=0.0967401, admm_maintain=0.101278, area4=-nan, infea=78.7139, d_obj=-2084.26, overall time=284.992
i=34, a_nnz=12.2001, ever_a_nnz=12.5019, b_nnz=89.9079, uni_search=1.37521, uni_subSolve=0.128903, uni_maintain_time=0.0308682, bi_search=6.63089, bi_subSolve=0.198669, bi_maintain_time=0.0969535, admm_maintain=0.0991822, area4=-nan, infea=70.3435, d_obj=-2096.4, overall time=293.636
i=35, a_nnz=12.2771, ever_a_nnz=12.5764, b_nnz=91.2235, uni_search=1.35916, uni_subSolve=0.127219, uni_maintain_time=0.0301968, bi_search=6.63083, bi_subSolve=0.202765, bi_maintain_time=0.0988067, admm_maintain=0.087792, area4=-nan, infea=78.5051, d_obj=-2116.02, overall time=302.272
i=36, a_nnz=12.341, ever_a_nnz=12.6418, b_nnz=92.4153, uni_search=1.3818, uni_subSolve=0.131887, uni_maintain_time=0.0308956, bi_search=6.63302, bi_subSolve=0.206478, bi_maintain_time=0.101066, admm_maintain=0.0806067, area4=-nan, infea=71.9501, d_obj=-2135.25, overall time=310.943
i=37, a_nnz=12.3964, ever_a_nnz=12.7004, b_nnz=93.5029, uni_search=1.52333, uni_subSolve=0.143256, uni_maintain_time=0.0277647, bi_search=6.69979, bi_subSolve=0.24154, bi_maintain_time=0.132186, admm_maintain=0.147393, area4=-nan, infea=76.3892, d_obj=-2144.94, overall time=319.987
i=38, a_nnz=12.4607, ever_a_nnz=12.7653, b_nnz=94.7608, uni_search=1.58961, uni_subSolve=0.174962, uni_maintain_time=0.0367208, bi_search=6.72808, bi_subSolve=0.32153, bi_maintain_time=0.166592, admm_maintain=0.195687, area4=-nan, infea=72.8513, d_obj=-2159.81, overall time=329.391
