using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=19, a_nnz=10.56, ever_a_nnz=10.7207, b_nnz=62.3063, uni_search=1.05169, uni_subSolve=0.0753578, uni_maintain_time=0.030057, bi_search=6.4907, bi_subSolve=0.0686793, bi_maintain_time=0.0327891, admm_maintain=0.0555926, area4=-nan, infea=250.184, d_obj=-794.135, p_obj=3881.73......., heldout Acc=0.987421, overall time=150.042
i=20, a_nnz=10.6807, ever_a_nnz=10.8449, b_nnz=63.9574, uni_search=1.46075, uni_subSolve=0.140647, uni_maintain_time=0.0328668, bi_search=6.60754, bi_subSolve=0.184918, bi_maintain_time=0.101388, admm_maintain=0.076508, area4=-nan, infea=244.868, d_obj=-820.363, overall time=158.736
i=21, a_nnz=10.7813, ever_a_nnz=10.9501, b_nnz=65.415, uni_search=1.49231, uni_subSolve=0.14598, uni_maintain_time=0.0332696, bi_search=6.58869, bi_subSolve=0.184309, bi_maintain_time=0.101599, admm_maintain=0.080739, area4=-nan, infea=242.269, d_obj=-835.531, overall time=167.443
i=22, a_nnz=10.8932, ever_a_nnz=11.0629, b_nnz=66.9629, uni_search=1.51719, uni_subSolve=0.154102, uni_maintain_time=0.0342677, bi_search=6.59236, bi_subSolve=0.188627, bi_maintain_time=0.103044, admm_maintain=0.0915763, area4=-nan, infea=241.477, d_obj=-864.866, overall time=176.185
i=23, a_nnz=10.9945, ever_a_nnz=11.1669, b_nnz=68.4245, uni_search=1.1485, uni_subSolve=0.0927314, uni_maintain_time=0.02596, bi_search=6.58388, bi_subSolve=0.142931, bi_maintain_time=0.0762333, admm_maintain=0.0973065, area4=-nan, infea=241.737, d_obj=-881.336, overall time=184.442
i=24, a_nnz=11.085, ever_a_nnz=11.2574, b_nnz=69.7578, uni_search=1.53545, uni_subSolve=0.154992, uni_maintain_time=0.0344431, bi_search=6.58875, bi_subSolve=0.191259, bi_maintain_time=0.105124, admm_maintain=0.0796929, area4=-nan, infea=227.626, d_obj=-916.945, overall time=193.232
i=25, a_nnz=11.1758, ever_a_nnz=11.348, b_nnz=71.0793, uni_search=1.54372, uni_subSolve=0.160774, uni_maintain_time=0.0337438, bi_search=6.59354, bi_subSolve=0.20112, bi_maintain_time=0.108093, admm_maintain=0.0936691, area4=-nan, infea=232.02, d_obj=-934.206, overall time=202.067
i=26, a_nnz=11.2545, ever_a_nnz=11.4288, b_nnz=72.3392, uni_search=1.53829, uni_subSolve=0.156378, uni_maintain_time=0.0342663, bi_search=6.59578, bi_subSolve=0.201824, bi_maintain_time=0.109152, admm_maintain=0.0956549, area4=-nan, infea=228.803, d_obj=-963.481, overall time=210.888
i=27, a_nnz=11.3355, ever_a_nnz=11.5101, b_nnz=73.6144, uni_search=1.54298, uni_subSolve=0.156718, uni_maintain_time=0.0340431, bi_search=6.60867, bi_subSolve=0.19993, bi_maintain_time=0.108267, admm_maintain=0.0901955, area4=-nan, infea=221.023, d_obj=-979.36, overall time=219.724
i=28, a_nnz=11.4079, ever_a_nnz=11.585, b_nnz=74.784, uni_search=1.55718, uni_subSolve=0.159633, uni_maintain_time=0.0344496, bi_search=6.59312, bi_subSolve=0.208257, bi_maintain_time=0.113099, admm_maintain=0.112675, area4=-nan, infea=217.059, d_obj=-1010.13, overall time=228.604
i=29, a_nnz=11.4846, ever_a_nnz=11.6617, b_nnz=76.0189, uni_search=1.57077, uni_subSolve=0.163345, uni_maintain_time=0.0344566, bi_search=6.5938, bi_subSolve=0.204097, bi_maintain_time=0.109906, admm_maintain=0.0887514, area4=-nan, infea=223.422, d_obj=-1024.28, p_obj=2776.78......., heldout Acc=0.986043 (1/50), overall time=237.466
i=30, a_nnz=11.5547, ever_a_nnz=11.7331, b_nnz=77.1744, uni_search=1.04657, uni_subSolve=0.0686305, uni_maintain_time=0.0233207, bi_search=6.46224, bi_subSolve=0.0679246, bi_maintain_time=0.0301379, admm_maintain=0.0496491, area4=-nan, infea=213.478, d_obj=-1055.85, overall time=245.267
i=31, a_nnz=11.6176, ever_a_nnz=11.796, b_nnz=78.2552, uni_search=1.02371, uni_subSolve=0.0636978, uni_maintain_time=0.0211636, bi_search=6.47404, bi_subSolve=0.0719251, bi_maintain_time=0.0333872, admm_maintain=0.0514401, area4=-nan, infea=222.797, d_obj=-1067.71, overall time=253.059
i=32, a_nnz=11.68, ever_a_nnz=11.8593, b_nnz=79.3198, uni_search=1.05808, uni_subSolve=0.0700223, uni_maintain_time=0.0235783, bi_search=6.46738, bi_subSolve=0.0685967, bi_maintain_time=0.0316922, admm_maintain=0.0519193, area4=-nan, infea=208.538, d_obj=-1093.25, overall time=260.884
i=33, a_nnz=11.7446, ever_a_nnz=11.9237, b_nnz=80.4255, uni_search=1.06602, uni_subSolve=0.0716526, uni_maintain_time=0.0233879, bi_search=6.46272, bi_subSolve=0.0683109, bi_maintain_time=0.0309535, admm_maintain=0.0515304, area4=-nan, infea=206.432, d_obj=-1113.32, overall time=268.712
i=34, a_nnz=11.7995, ever_a_nnz=11.9781, b_nnz=81.4008, uni_search=1.04171, uni_subSolve=0.0667377, uni_maintain_time=0.0214147, bi_search=6.46762, bi_subSolve=0.0723313, bi_maintain_time=0.0327617, admm_maintain=0.0531653, area4=-nan, infea=198.176, d_obj=-1146.18, overall time=276.523
i=35, a_nnz=11.8531, ever_a_nnz=12.0334, b_nnz=82.4051, uni_search=1.0687, uni_subSolve=0.071619, uni_maintain_time=0.0234967, bi_search=6.46797, bi_subSolve=0.0721865, bi_maintain_time=0.0327651, admm_maintain=0.0536813, area4=-nan, infea=195.562, d_obj=-1165.33, overall time=284.368
i=36, a_nnz=11.9105, ever_a_nnz=12.0908, b_nnz=83.4343, uni_search=1.0724, uni_subSolve=0.0722391, uni_maintain_time=0.0237174, bi_search=6.46252, bi_subSolve=0.0705004, bi_maintain_time=0.0316734, admm_maintain=0.0524901, area4=-nan, infea=205.417, d_obj=-1170.47, overall time=292.207
i=37, a_nnz=11.9556, ever_a_nnz=12.1397, b_nnz=84.3442, uni_search=1.04746, uni_subSolve=0.0673443, uni_maintain_time=0.0211173, bi_search=6.46034, bi_subSolve=0.069258, bi_maintain_time=0.0310326, admm_maintain=0.0511515, area4=-nan, infea=197.584, d_obj=-1197.27, overall time=300.007
i=38, a_nnz=12.0105, ever_a_nnz=12.1945, b_nnz=85.3423, uni_search=1.03958, uni_subSolve=0.0649187, uni_maintain_time=0.0203503, bi_search=6.43051, bi_subSolve=0.0716118, bi_maintain_time=0.0312323, admm_maintain=0.0548456, area4=-nan, infea=196.323, d_obj=-1211.61, overall time=307.777
