using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=18, a_nnz=9.97596, ever_a_nnz=14.867, b_nnz=112.7, uni_search=0.479874, uni_subSolve=0.0752216, uni_maintain_time=0.0194251, bi_search=0.0423479, bi_subSolve=0.0930813, bi_maintain_time=0.0352612, admm_maintain=0.0826639, area4=1.09848, infea=65.0152, d_obj=502.803, overall time=12.0525
i=19, a_nnz=10.0953, ever_a_nnz=15.1955, b_nnz=117.79, uni_search=0.491662, uni_subSolve=0.0794738, uni_maintain_time=0.0193825, bi_search=0.0460867, bi_subSolve=0.0981171, bi_maintain_time=0.0362803, admm_maintain=0.0880361, area4=1.1125, infea=68.8067, d_obj=506.562, p_obj=2294.04......., heldout Acc=0.983717, overall time=12.9888
i=20, a_nnz=10.2349, ever_a_nnz=15.5278, b_nnz=123.088, uni_search=0.503446, uni_subSolve=0.0824346, uni_maintain_time=0.0202257, bi_search=0.0485696, bi_subSolve=0.102659, bi_maintain_time=0.0381675, admm_maintain=0.108612, area4=1.10616, infea=69.5269, d_obj=491.693, overall time=13.9887
i=21, a_nnz=10.3357, ever_a_nnz=15.8294, b_nnz=128.094, uni_search=0.523418, uni_subSolve=0.0906782, uni_maintain_time=0.021235, bi_search=0.0504966, bi_subSolve=0.106457, bi_maintain_time=0.0392725, admm_maintain=0.0947087, area4=1.11617, infea=71.5669, d_obj=483.213, overall time=14.9979
i=22, a_nnz=10.4392, ever_a_nnz=16.1165, b_nnz=133.073, uni_search=0.521538, uni_subSolve=0.08849, uni_maintain_time=0.0201696, bi_search=0.0509539, bi_subSolve=0.108943, bi_maintain_time=0.0395267, admm_maintain=0.0980481, area4=1.11718, infea=72.0938, d_obj=475.109, overall time=16.011
i=23, a_nnz=10.5323, ever_a_nnz=16.3781, b_nnz=137.756, uni_search=0.540422, uni_subSolve=0.0967893, uni_maintain_time=0.0211732, bi_search=0.0517621, bi_subSolve=0.111665, bi_maintain_time=0.0402521, admm_maintain=0.100507, area4=1.12986, infea=71.8657, d_obj=474.291, overall time=17.0603
i=24, a_nnz=10.6129, ever_a_nnz=16.6241, b_nnz=142.262, uni_search=0.545858, uni_subSolve=0.0981615, uni_maintain_time=0.0207989, bi_search=0.0558734, bi_subSolve=0.117314, bi_maintain_time=0.0418439, admm_maintain=0.104991, area4=1.1342, infea=71.6829, d_obj=475.525, overall time=18.136
i=25, a_nnz=10.6927, ever_a_nnz=16.8618, b_nnz=146.731, uni_search=0.543318, uni_subSolve=0.0964623, uni_maintain_time=0.0200627, bi_search=0.0563096, bi_subSolve=0.119763, bi_maintain_time=0.0426048, admm_maintain=0.107901, area4=1.12352, infea=71.4109, d_obj=478.922, overall time=19.2159
i=26, a_nnz=10.7583, ever_a_nnz=17.0778, b_nnz=150.86, uni_search=0.567615, uni_subSolve=0.106769, uni_maintain_time=0.0210986, bi_search=0.0627488, bi_subSolve=0.127467, bi_maintain_time=0.0457371, admm_maintain=0.117654, area4=1.14321, infea=70.5076, d_obj=479.741, overall time=20.362
i=27, a_nnz=10.8216, ever_a_nnz=17.2929, b_nnz=155.013, uni_search=0.558486, uni_subSolve=0.101289, uni_maintain_time=0.0200385, bi_search=0.059509, bi_subSolve=0.126055, bi_maintain_time=0.0445955, admm_maintain=0.113596, area4=1.13821, infea=68.83, d_obj=474.68, overall time=21.4839
