using heldout data set: /scratch/cluster/ianyen/data/multilabel/bibtex.test
D=1837
K=159
N=5991
d=68.0461
r=1
i=19, a_nnz=10.2173, ever_a_nnz=14.6099, b_nnz=108.835, uni_search=1.40226, uni_subSolve=0.103932, uni_maintain_time=0.0300114, bi_search=6.51164, bi_subSolve=0.134356, bi_maintain_time=0.0533601, admm_maintain=0.131846, area4=-nan, infea=76.3998, d_obj=662.457, p_obj=1670.54......., heldout Acc=0.9832, overall time=158.2
i=20, a_nnz=10.3642, ever_a_nnz=14.9289, b_nnz=113.677, uni_search=1.32163, uni_subSolve=0.0834963, uni_maintain_time=0.0231342, bi_search=6.46412, bi_subSolve=0.115738, bi_maintain_time=0.0428338, admm_maintain=0.101982, area4=-nan, infea=76.1408, d_obj=597.39, overall time=166.507
i=21, a_nnz=10.4987, ever_a_nnz=15.2188, b_nnz=118.242, uni_search=1.84599, uni_subSolve=0.166558, uni_maintain_time=0.0477561, bi_search=6.71456, bi_subSolve=0.251703, bi_maintain_time=0.110731, admm_maintain=0.185736, area4=-nan, infea=76.6547, d_obj=564.174, overall time=175.993
i=22, a_nnz=10.5999, ever_a_nnz=15.4861, b_nnz=122.653, uni_search=1.89918, uni_subSolve=0.174895, uni_maintain_time=0.0498101, bi_search=6.71191, bi_subSolve=0.258834, bi_maintain_time=0.111479, admm_maintain=0.189324, area4=-nan, infea=78.2636, d_obj=546.292, overall time=185.553
i=23, a_nnz=10.6784, ever_a_nnz=15.7243, b_nnz=126.723, uni_search=1.91135, uni_subSolve=0.1763, uni_maintain_time=0.0479443, bi_search=6.71538, bi_subSolve=0.264031, bi_maintain_time=0.112032, admm_maintain=0.193659, area4=-nan, infea=78.1649, d_obj=530.635, overall time=195.139
i=24, a_nnz=10.7526, ever_a_nnz=15.9404, b_nnz=130.487, uni_search=1.93505, uni_subSolve=0.182105, uni_maintain_time=0.0481822, bi_search=6.70737, bi_subSolve=0.271124, bi_maintain_time=0.112979, admm_maintain=0.212657, area4=-nan, infea=78.1993, d_obj=520.661, overall time=204.788
i=25, a_nnz=10.807, ever_a_nnz=16.1457, b_nnz=134.217, uni_search=1.95407, uni_subSolve=0.183728, uni_maintain_time=0.0482, bi_search=6.72651, bi_subSolve=0.277812, bi_maintain_time=0.114479, admm_maintain=0.207516, area4=-nan, infea=80.2334, d_obj=535.986, overall time=214.422
i=26, a_nnz=10.8638, ever_a_nnz=16.3305, b_nnz=137.673, uni_search=1.48525, uni_subSolve=0.106442, uni_maintain_time=0.0231212, bi_search=6.4844, bi_subSolve=0.199409, bi_maintain_time=0.0721033, admm_maintain=0.120749, area4=-nan, infea=80.1773, d_obj=520.651, overall time=223.022
i=27, a_nnz=10.9195, ever_a_nnz=16.5153, b_nnz=141.104, uni_search=1.45393, uni_subSolve=0.0987307, uni_maintain_time=0.0232763, bi_search=6.4623, bi_subSolve=0.139358, bi_maintain_time=0.0491273, admm_maintain=0.122981, area4=-nan, infea=76.6622, d_obj=514.994, overall time=231.483
i=28, a_nnz=10.9648, ever_a_nnz=16.6727, b_nnz=144.123, uni_search=1.46383, uni_subSolve=0.100042, uni_maintain_time=0.0228805, bi_search=6.46346, bi_subSolve=0.141337, bi_maintain_time=0.0498654, admm_maintain=0.135166, area4=-nan, infea=75.1407, d_obj=500.946, overall time=239.982
i=29, a_nnz=11.0174, ever_a_nnz=16.8399, b_nnz=147.316, uni_search=1.46167, uni_subSolve=0.0980827, uni_maintain_time=0.0222088, bi_search=6.47042, bi_subSolve=0.143778, bi_maintain_time=0.0513643, admm_maintain=0.139583, area4=-nan, infea=73.422, d_obj=459.121, p_obj=1461.62......., heldout Acc=0.982769 (1/50), overall time=248.509
i=30, a_nnz=11.0466, ever_a_nnz=16.9873, b_nnz=150.17, uni_search=1.80952, uni_subSolve=0.169896, uni_maintain_time=0.0384267, bi_search=6.57396, bi_subSolve=0.285876, bi_maintain_time=0.114023, admm_maintain=0.18784, area4=-nan, infea=72.3834, d_obj=452.215, overall time=257.876
i=31, a_nnz=11.0643, ever_a_nnz=17.1239, b_nnz=152.888, uni_search=1.84207, uni_subSolve=0.176309, uni_maintain_time=0.039181, bi_search=6.54838, bi_subSolve=0.20654, bi_maintain_time=0.0872639, admm_maintain=0.183141, area4=-nan, infea=72.6583, d_obj=436.151, overall time=267.12
