using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=0, C=1, eta=10
i=16, infea=0.0284846, nnz_a=5.74928, nnz_b=9.81087, uni_search=0.219659, uni_subSolve=0.0528963, uni_maintain=0.0454994, bi_search=1.01432, bi_subSolve=0.119628, bi_maintain=0.0922209, admm_maintain=0.151163, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7667.36, p_obj=40376, heldout Acc=0.923397 (1/1000), overall time=42.5323
i=17, infea=0.029045, nnz_a=5.8891, nnz_b=10.0242, uni_search=0.235561, uni_subSolve=0.0548431, uni_maintain=0.0462259, bi_search=1.02741, bi_subSolve=0.125312, bi_maintain=0.100947, admm_maintain=0.130586, area1=-nan, area23=-nan, area4=-nan, dual_obj=-7963.4, p_obj=39909.1, heldout Acc=0.925228 (2/1000), overall time=45.0692
i=18, infea=0.0295728, nnz_a=6.02487, nnz_b=10.2204, uni_search=0.234101, uni_subSolve=0.0549871, uni_maintain=0.0469532, bi_search=1.03067, bi_subSolve=0.125809, bi_maintain=0.102099, admm_maintain=0.134922, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8252.76, p_obj=40971.7, heldout Acc=0.924985 (3/1000), overall time=47.6098
i=19, infea=0.030116, nnz_a=6.15443, nnz_b=10.4056, uni_search=0.233062, uni_subSolve=0.0550094, uni_maintain=0.0472795, bi_search=1.03364, bi_subSolve=0.127389, bi_maintain=0.10391, admm_maintain=0.136365, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8534.51, p_obj=38928.4, heldout Acc=0.92577, overall time=50.1585
i=20, infea=0.0306188, nnz_a=6.28214, nnz_b=10.5812, uni_search=0.236157, uni_subSolve=0.0556747, uni_maintain=0.049002, bi_search=1.03427, bi_subSolve=0.128631, bi_maintain=0.105131, admm_maintain=0.135332, area1=-nan, area23=-nan, area4=-nan, dual_obj=-8809.39, p_obj=40301.2, heldout Acc=0.925138 (1/1000), overall time=52.7159
i=21, infea=0.0311096, nnz_a=6.40601, nnz_b=10.7444, uni_search=0.235149, uni_subSolve=0.0556656, uni_maintain=0.049836, bi_search=1.03596, bi_subSolve=0.13053, bi_maintain=0.106418, admm_maintain=0.134398, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9079.02, p_obj=40232.5, heldout Acc=0.92724, overall time=55.2784
i=22, infea=0.031592, nnz_a=6.52711, nnz_b=10.9009, uni_search=0.235319, uni_subSolve=0.0558841, uni_maintain=0.0509371, bi_search=1.04763, bi_subSolve=0.151386, bi_maintain=0.11145, admm_maintain=0.140788, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9343.08, p_obj=39369.6, heldout Acc=0.926735 (1/1000), overall time=57.9026
i=23, infea=0.0320459, nnz_a=6.64213, nnz_b=11.0494, uni_search=0.274981, uni_subSolve=0.0604145, uni_maintain=0.0529966, bi_search=1.06555, bi_subSolve=0.237596, bi_maintain=0.114903, admm_maintain=0.163185, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9601.55, p_obj=37416.9, heldout Acc=0.92752, overall time=60.7568
i=24, infea=0.0324928, nnz_a=6.75459, nnz_b=11.1906, uni_search=0.275056, uni_subSolve=0.0606224, uni_maintain=0.0542154, bi_search=1.06967, bi_subSolve=0.244459, bi_maintain=0.117164, admm_maintain=0.16924, area1=-nan, area23=-nan, area4=-nan, dual_obj=-9855, p_obj=37431.6, heldout Acc=0.925634 (1/1000), overall time=63.6381
i=25, infea=0.0329262, nnz_a=6.86357, nnz_b=11.3238, uni_search=0.286974, uni_subSolve=0.0618291, uni_maintain=0.0556187, bi_search=1.07085, bi_subSolve=0.247359, bi_maintain=0.118737, admm_maintain=0.171796, area1=-nan, area23=-nan, area4=-nan, dual_obj=-10104.1, p_obj=40695.2, heldout Acc=0.926374 (2/1000), overall time=66.5513
