using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=0, C=1, eta=1
i=16, infea=0.159566, nnz_a=5.27853, nnz_b=11.1737, uni_search=0.24527, uni_subSolve=0.0520571, uni_maintain=0.0424123, bi_search=1.03024, bi_subSolve=0.131032, bi_maintain=0.122583, admm_maintain=0.139628, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23956.2, p_obj=28995.4, heldout Acc=0.913103 (2/1000), overall time=44.3884
i=17, infea=0.158663, nnz_a=5.44125, nnz_b=11.4438, uni_search=0.245972, uni_subSolve=0.0524177, uni_maintain=0.0436317, bi_search=1.03195, bi_subSolve=0.133332, bi_maintain=0.123753, admm_maintain=0.138946, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24160.4, p_obj=26777.2, heldout Acc=0.912435 (3/1000), overall time=46.9763
i=18, infea=0.157928, nnz_a=5.60611, nnz_b=11.6937, uni_search=0.246526, uni_subSolve=0.0527086, uni_maintain=0.0441788, bi_search=1.03267, bi_subSolve=0.136448, bi_maintain=0.12476, admm_maintain=0.139235, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24333.6, p_obj=28548.3, heldout Acc=0.916143 (4/1000), overall time=49.581
i=19, infea=0.157263, nnz_a=5.77143, nnz_b=11.9244, uni_search=0.246202, uni_subSolve=0.0530051, uni_maintain=0.0452646, bi_search=1.03324, bi_subSolve=0.140605, bi_maintain=0.125847, admm_maintain=0.13985, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24481.6, p_obj=27748.5, heldout Acc=0.913419 (5/1000), overall time=52.1862
i=20, infea=0.156683, nnz_a=5.9336, nnz_b=12.1362, uni_search=0.245707, uni_subSolve=0.0532411, uni_maintain=0.0458804, bi_search=1.03428, bi_subSolve=0.146092, bi_maintain=0.126756, admm_maintain=0.140316, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24610.5, p_obj=29371.6, heldout Acc=0.914014 (6/1000), overall time=54.8145
i=21, infea=0.156193, nnz_a=6.09619, nnz_b=12.3305, uni_search=0.243082, uni_subSolve=0.0532312, uni_maintain=0.0465547, bi_search=1.03326, bi_subSolve=0.151856, bi_maintain=0.126845, admm_maintain=0.143171, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24722.9, p_obj=26717.1, heldout Acc=0.911236 (7/1000), overall time=57.4372
i=22, infea=0.155739, nnz_a=6.25765, nnz_b=12.5107, uni_search=0.264118, uni_subSolve=0.0551026, uni_maintain=0.0483265, bi_search=1.06024, bi_subSolve=0.168658, bi_maintain=0.142452, admm_maintain=0.161293, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24822.5, p_obj=28496, heldout Acc=0.914177 (8/1000), overall time=60.2059
i=23, infea=0.155305, nnz_a=6.4176, nnz_b=12.6777, uni_search=0.284136, uni_subSolve=0.0566365, uni_maintain=0.0501277, bi_search=1.06054, bi_subSolve=0.175969, bi_maintain=0.142748, admm_maintain=0.1624, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24911.2, p_obj=28162.2, heldout Acc=0.914339 (9/1000), overall time=62.9921
i=24, infea=0.154922, nnz_a=6.57557, nnz_b=12.8342, uni_search=0.239751, uni_subSolve=0.0529827, uni_maintain=0.0487549, bi_search=1.03075, bi_subSolve=0.16687, bi_maintain=0.120876, admm_maintain=0.141404, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24991.1, p_obj=26698.6, heldout Acc=0.915584 (10/1000), overall time=65.6089
i=25, infea=0.154552, nnz_a=6.73086, nnz_b=12.9782, uni_search=0.239263, uni_subSolve=0.0532098, uni_maintain=0.049474, bi_search=1.03095, bi_subSolve=0.172725, bi_maintain=0.121246, admm_maintain=0.141248, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25062.8, p_obj=28302.9, heldout Acc=0.914276 (11/1000), overall time=68.2287
i=26, infea=0.154189, nnz_a=6.88489, nnz_b=13.1122, uni_search=0.239552, uni_subSolve=0.0535272, uni_maintain=0.0501636, bi_search=1.03144, bi_subSolve=0.17771, bi_maintain=0.122335, admm_maintain=0.141323, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25128.1, p_obj=28620.6, heldout Acc=0.913717 (12/1000), overall time=70.8803
i=27, infea=0.153817, nnz_a=7.03924, nnz_b=13.2372, uni_search=0.239241, uni_subSolve=0.0537648, uni_maintain=0.0509133, bi_search=1.03205, bi_subSolve=0.182095, bi_maintain=0.122853, admm_maintain=0.142053, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25187.5, p_obj=27259.9, heldout Acc=0.912111 (13/1000), overall time=73.5148
i=28, infea=0.153483, nnz_a=7.19035, nnz_b=13.3547, uni_search=0.239489, uni_subSolve=0.0540953, uni_maintain=0.052305, bi_search=1.0328, bi_subSolve=0.186436, bi_maintain=0.123366, admm_maintain=0.143037, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25241.3, p_obj=27555.8, heldout Acc=0.912183 (14/1000), overall time=76.1574
i=29, infea=0.153156, nnz_a=7.34081, nnz_b=13.4667, uni_search=0.239556, uni_subSolve=0.0543547, uni_maintain=0.0527492, bi_search=1.03317, bi_subSolve=0.18879, bi_maintain=0.123755, admm_maintain=0.144065, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25290.8, p_obj=27559.9, heldout Acc=0.914086 (15/1000), overall time=78.8647
i=30, infea=0.152832, nnz_a=7.48689, nnz_b=13.573, uni_search=0.243777, uni_subSolve=0.0557686, uni_maintain=0.0547372, bi_search=1.03717, bi_subSolve=0.195993, bi_maintain=0.132413, admm_maintain=0.146246, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25336.5, p_obj=28653.5, heldout Acc=0.914637 (16/1000), overall time=81.6155
