using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=0.1
i=16, infea=0.165066, nnz_a=3.92171, nnz_b=5.86252, uni_search=0.448165, uni_subSolve=0.0822764, uni_maintain=0.0433661, bi_search=1.16602, bi_subSolve=0.115788, bi_maintain=0.134116, admm_maintain=0.232334, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26552.9, p_obj=28543.6, heldout Acc=0.92198, overall time=50.9645
i=17, infea=0.158632, nnz_a=4.00202, nnz_b=5.90522, uni_search=0.429894, uni_subSolve=0.0807283, uni_maintain=0.0445221, bi_search=1.064, bi_subSolve=0.0923064, bi_maintain=0.110929, admm_maintain=0.191709, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26577.2, p_obj=29664.5, heldout Acc=0.922251, overall time=53.8968
i=18, infea=0.152151, nnz_a=4.07058, nnz_b=5.93885, uni_search=0.327159, uni_subSolve=0.0689264, uni_maintain=0.0424135, bi_search=1.06196, bi_subSolve=0.0925363, bi_maintain=0.10916, admm_maintain=0.168228, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26574.5, p_obj=26666.1, heldout Acc=0.921448 (1/1000), overall time=56.6346
i=19, infea=0.145786, nnz_a=4.13102, nnz_b=5.969, uni_search=0.325522, uni_subSolve=0.0696727, uni_maintain=0.0433488, bi_search=1.06228, bi_subSolve=0.0929462, bi_maintain=0.107979, admm_maintain=0.167768, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26541.1, p_obj=26786.4, heldout Acc=0.923676, overall time=59.3701
i=20, infea=0.139671, nnz_a=4.18662, nnz_b=5.98468, uni_search=0.331459, uni_subSolve=0.0756239, uni_maintain=0.0445517, bi_search=1.0719, bi_subSolve=0.0973218, bi_maintain=0.106233, admm_maintain=0.156866, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26472.4, p_obj=25204.2, heldout Acc=0.92263 (1/1000), overall time=62.1533
i=21, infea=0.133945, nnz_a=4.23743, nnz_b=5.99263, uni_search=0.300551, uni_subSolve=0.0692075, uni_maintain=0.0439212, bi_search=1.05233, bi_subSolve=0.0930403, bi_maintain=0.102767, admm_maintain=0.158535, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26377.3, p_obj=25840.1, heldout Acc=0.925102, overall time=64.829
i=22, infea=0.128695, nnz_a=4.28293, nnz_b=5.99021, uni_search=0.321205, uni_subSolve=0.071896, uni_maintain=0.0456802, bi_search=1.06286, bi_subSolve=0.0947904, bi_maintain=0.104517, admm_maintain=0.165181, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26254.9, p_obj=26321.3, heldout Acc=0.924308 (1/1000), overall time=67.5704
i=23, infea=0.123889, nnz_a=4.32354, nnz_b=5.98794, uni_search=0.316972, uni_subSolve=0.0720533, uni_maintain=0.0457515, bi_search=1.06258, bi_subSolve=0.0946737, bi_maintain=0.103296, admm_maintain=0.159341, area1=-nan, area23=-nan, area4=-nan, dual_obj=-26111.5, p_obj=24508.7, heldout Acc=0.925526, overall time=70.295
i=24, infea=0.119428, nnz_a=4.36008, nnz_b=5.97411, uni_search=0.406777, uni_subSolve=0.0838485, uni_maintain=0.0493455, bi_search=1.06071, bi_subSolve=0.0953849, bi_maintain=0.101399, admm_maintain=0.158865, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25953.1, p_obj=25280.2, heldout Acc=0.924597 (1/1000), overall time=73.1583
i=25, infea=0.115281, nnz_a=4.39441, nnz_b=5.95757, uni_search=0.313579, uni_subSolve=0.0728503, uni_maintain=0.0475875, bi_search=1.16992, bi_subSolve=0.117586, bi_maintain=0.120846, admm_maintain=0.212184, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25790.2, p_obj=23818.8, heldout Acc=0.925445 (2/1000), overall time=76.1667
i=26, infea=0.111362, nnz_a=4.42596, nnz_b=5.94452, uni_search=0.302851, uni_subSolve=0.0724711, uni_maintain=0.0469481, bi_search=1.07006, bi_subSolve=0.0966817, bi_maintain=0.100179, admm_maintain=0.216314, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25629.8, p_obj=24483.5, heldout Acc=0.926419, overall time=78.9944
i=27, infea=0.107685, nnz_a=4.45492, nnz_b=5.92465, uni_search=0.434078, uni_subSolve=0.0905698, uni_maintain=0.0542784, bi_search=1.17963, bi_subSolve=0.118996, bi_maintain=0.121136, admm_maintain=0.214648, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25472, p_obj=22295.5, heldout Acc=0.927042, overall time=82.2637
i=28, infea=0.10415, nnz_a=4.48195, nnz_b=5.90806, uni_search=0.428471, uni_subSolve=0.0904702, uni_maintain=0.0546896, bi_search=1.17774, bi_subSolve=0.11839, bi_maintain=0.11965, admm_maintain=0.214459, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25316.8, p_obj=23188.8, heldout Acc=0.92678 (1/1000), overall time=85.5193
i=29, infea=0.100743, nnz_a=4.50533, nnz_b=5.8891, uni_search=0.431153, uni_subSolve=0.0900006, uni_maintain=0.0542078, bi_search=1.17472, bi_subSolve=0.117001, bi_maintain=0.119112, admm_maintain=0.21485, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25173.8, p_obj=24164.1, heldout Acc=0.926861 (2/1000), overall time=88.7629
i=30, infea=0.0974428, nnz_a=4.5258, nnz_b=5.87148, uni_search=0.427882, uni_subSolve=0.0907908, uni_maintain=0.0548721, bi_search=1.17549, bi_subSolve=0.117971, bi_maintain=0.117769, admm_maintain=0.21384, area1=-nan, area23=-nan, area4=-nan, dual_obj=-25036.9, p_obj=24470.2, heldout Acc=0.927565, overall time=92.0133
i=31, infea=0.094242, nnz_a=4.54299, nnz_b=5.85396, uni_search=0.421691, uni_subSolve=0.0900934, uni_maintain=0.0553523, bi_search=1.17036, bi_subSolve=0.117014, bi_maintain=0.116392, admm_maintain=0.213068, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24910.7, p_obj=22777.7, heldout Acc=0.92733 (1/1000), overall time=95.2419
i=32, infea=0.091154, nnz_a=4.5567, nnz_b=5.83684, uni_search=0.42629, uni_subSolve=0.0909278, uni_maintain=0.0565301, bi_search=1.16864, bi_subSolve=0.116571, bi_maintain=0.115584, admm_maintain=0.212743, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24789.5, p_obj=21440.8, heldout Acc=0.927781, overall time=98.4725
i=33, infea=0.0882091, nnz_a=4.56883, nnz_b=5.82116, uni_search=0.421354, uni_subSolve=0.0902783, uni_maintain=0.0561497, bi_search=1.13077, bi_subSolve=0.107468, bi_maintain=0.105274, admm_maintain=0.135036, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24672.7, p_obj=22107.6, heldout Acc=0.928007, overall time=101.469
i=34, infea=0.0853988, nnz_a=4.57727, nnz_b=5.80961, uni_search=0.255204, uni_subSolve=0.0702732, uni_maintain=0.0499678, bi_search=1.04858, bi_subSolve=0.0914056, bi_maintain=0.0895651, admm_maintain=0.159015, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24553.6, p_obj=21927.3, heldout Acc=0.926049 (1/1000), overall time=104.088
i=35, infea=0.0827121, nnz_a=4.58165, nnz_b=5.79641, uni_search=0.304935, uni_subSolve=0.0744508, uni_maintain=0.0515232, bi_search=1.0527, bi_subSolve=0.0918195, bi_maintain=0.0907882, admm_maintain=0.159944, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24435.9, p_obj=22739.1, heldout Acc=0.928359, overall time=106.831
i=36, infea=0.0801581, nnz_a=4.58244, nnz_b=5.7877, uni_search=0.324498, uni_subSolve=0.0764547, uni_maintain=0.0539182, bi_search=1.06471, bi_subSolve=0.0941894, bi_maintain=0.0960561, admm_maintain=0.167349, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24320.2, p_obj=22558.1, heldout Acc=0.928368, overall time=109.595
i=37, infea=0.0776566, nnz_a=4.58248, nnz_b=5.78021, uni_search=0.320318, uni_subSolve=0.0752244, uni_maintain=0.0533848, bi_search=1.07086, bi_subSolve=0.0943505, bi_maintain=0.10103, admm_maintain=0.179944, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24201.7, p_obj=20827.9, heldout Acc=0.928142 (1/1000), overall time=112.397
i=38, infea=0.0752586, nnz_a=4.58234, nnz_b=5.77174, uni_search=0.353139, uni_subSolve=0.0790029, uni_maintain=0.0566443, bi_search=1.08203, bi_subSolve=0.0965433, bi_maintain=0.106123, admm_maintain=0.165645, area1=-nan, area23=-nan, area4=-nan, dual_obj=-24082.4, p_obj=21724.2, heldout Acc=0.928278 (2/1000), overall time=115.253
i=39, infea=0.0729099, nnz_a=4.58072, nnz_b=5.76193, uni_search=0.319642, uni_subSolve=0.0753439, uni_maintain=0.0530371, bi_search=1.05952, bi_subSolve=0.0923964, bi_maintain=0.0918681, admm_maintain=0.166176, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23967.8, p_obj=20166.3, heldout Acc=0.928016 (3/1000), overall time=117.987
i=40, infea=0.0706182, nnz_a=4.57847, nnz_b=5.75121, uni_search=0.319691, uni_subSolve=0.0755621, uni_maintain=0.0529466, bi_search=1.05963, bi_subSolve=0.0922696, bi_maintain=0.0914079, admm_maintain=0.165504, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23853.6, p_obj=20049.8, heldout Acc=0.928467, overall time=120.724
i=41, infea=0.0684342, nnz_a=4.57766, nnz_b=5.74131, uni_search=0.32034, uni_subSolve=0.0755136, uni_maintain=0.0531817, bi_search=1.05898, bi_subSolve=0.0921464, bi_maintain=0.0912652, admm_maintain=0.165067, area1=-nan, area23=-nan, area4=-nan, dual_obj=-23741.4, p_obj=21318.2, heldout Acc=0.928557, overall time=123.46
