using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=0.1
i=16, infea=0.165716, nnz_a=3.9267, nnz_b=5.87874, uni_search=0.270481, uni_subSolve=0.0635558, uni_maintain=0.0398635, bi_search=0.528362, bi_subSolve=0.0904471, bi_maintain=0.101818, admm_maintain=0.136931, area1=24.5885, area23=1.84692, area4=4.45794, dual_obj=-26553.9, p_obj=28891, heldout Acc=0.921647, overall time=33.0018
i=17, infea=0.159245, nnz_a=4.00521, nnz_b=5.92388, uni_search=0.268868, uni_subSolve=0.0644963, uni_maintain=0.0407452, bi_search=0.544857, bi_subSolve=0.0909014, bi_maintain=0.100118, admm_maintain=0.141472, area1=26.5507, area23=1.86832, area4=4.80714, dual_obj=-26575, p_obj=28162.1, heldout Acc=0.921051 (1/1000), overall time=35.08
i=18, infea=0.152724, nnz_a=4.07281, nnz_b=5.96086, uni_search=0.270639, uni_subSolve=0.0652839, uni_maintain=0.0415447, bi_search=0.556751, bi_subSolve=0.0913264, bi_maintain=0.0985209, admm_maintain=0.138391, area1=28.5972, area23=1.88075, area4=5.07804, dual_obj=-26571.2, p_obj=25962.5, heldout Acc=0.9218, overall time=37.1584
i=19, infea=0.146396, nnz_a=4.13089, nnz_b=5.98948, uni_search=0.270726, uni_subSolve=0.0660551, uni_maintain=0.0423618, bi_search=0.583898, bi_subSolve=0.0917426, bi_maintain=0.0975227, admm_maintain=0.140123, area1=30.7187, area23=1.89048, area4=5.36487, dual_obj=-26537.5, p_obj=27008.9, heldout Acc=0.921602 (1/1000), overall time=39.2687
i=20, infea=0.140377, nnz_a=4.18497, nnz_b=6.00675, uni_search=0.268351, uni_subSolve=0.0667622, uni_maintain=0.0429307, bi_search=0.584171, bi_subSolve=0.0925949, bi_maintain=0.0970567, admm_maintain=0.13832, area1=32.9268, area23=1.89213, area4=5.58966, dual_obj=-26473.1, p_obj=29144.8, heldout Acc=0.923857, overall time=41.3783
i=21, infea=0.134759, nnz_a=4.23582, nnz_b=6.01697, uni_search=0.266245, uni_subSolve=0.0673142, uni_maintain=0.0443218, bi_search=0.590983, bi_subSolve=0.092322, bi_maintain=0.0958785, admm_maintain=0.138734, area1=35.1967, area23=1.8898, area4=5.77088, dual_obj=-26377.6, p_obj=25777.2, heldout Acc=0.924669, overall time=43.4942
i=22, infea=0.129583, nnz_a=4.28273, nnz_b=6.01567, uni_search=0.266643, uni_subSolve=0.0679976, uni_maintain=0.0439002, bi_search=0.604874, bi_subSolve=0.0927897, bi_maintain=0.0952981, admm_maintain=0.140804, area1=37.5484, area23=1.88207, area4=6.06378, dual_obj=-26253.1, p_obj=26160.9, heldout Acc=0.92484, overall time=45.6308
i=23, infea=0.124778, nnz_a=4.32625, nnz_b=6.01071, uni_search=0.290479, uni_subSolve=0.072041, uni_maintain=0.0488646, bi_search=0.632852, bi_subSolve=0.0997901, bi_maintain=0.0993185, admm_maintain=0.145375, area1=39.9795, area23=1.87531, area4=6.22953, dual_obj=-26111.3, p_obj=24533.6, heldout Acc=0.92383 (1/1000), overall time=47.8869
i=24, infea=0.120314, nnz_a=4.36413, nnz_b=6.00157, uni_search=0.276592, uni_subSolve=0.0732835, uni_maintain=0.0471021, bi_search=0.649365, bi_subSolve=0.10056, bi_maintain=0.097515, admm_maintain=0.177841, area1=42.5273, area23=1.86434, area4=6.40889, dual_obj=-25956.2, p_obj=26077.6, heldout Acc=0.925806, overall time=50.1836
i=25, infea=0.116092, nnz_a=4.39794, nnz_b=5.98886, uni_search=0.276116, uni_subSolve=0.0736455, uni_maintain=0.0469201, bi_search=0.654307, bi_subSolve=0.100238, bi_maintain=0.0963214, admm_maintain=0.146323, area1=45.1429, area23=1.85537, area4=6.59107, dual_obj=-25795.7, p_obj=22955.9, heldout Acc=0.926031, overall time=52.4497
