using heldout data set: /scratch/cluster/ianyen/data/POS/wsj.pos.crf.test, early_terminate=1000
D=47124
K=45
N=196223
nSeq=3808
split_up_rate=1, admm_step_size=1, C=1, eta=10
i=16, infea=0.0049937, nnz_a=5.87733, nnz_b=10.2904, uni_search=0.730022, uni_subSolve=0.123753, uni_maintain=0.0490685, bi_search=1.1312, bi_subSolve=0.189914, bi_maintain=0.148084, admm_maintain=0.378961, area1=61.584, area23=2.01267, area4=8.27488, dual_obj=-3980.41, p_obj=41249.4, heldout Acc=0.910478, overall time=59.4505
i=17, infea=0.00473804, nnz_a=6.00311, nnz_b=10.4378, uni_search=0.651576, uni_subSolve=0.119157, uni_maintain=0.0500236, bi_search=1.08956, bi_subSolve=0.182395, bi_maintain=0.153301, admm_maintain=0.368666, area1=68.4258, area23=2.00044, area4=8.63231, dual_obj=-4067.97, p_obj=41018.4, heldout Acc=0.911263, overall time=63.3291
i=18, infea=0.00449739, nnz_a=6.11439, nnz_b=10.554, uni_search=0.64177, uni_subSolve=0.118921, uni_maintain=0.0518472, bi_search=1.10382, bi_subSolve=0.183287, bi_maintain=0.157629, admm_maintain=0.355517, area1=75.6671, area23=1.98651, area4=8.97873, dual_obj=-4152.79, p_obj=39594, heldout Acc=0.911696, overall time=67.1947
i=19, infea=0.00427349, nnz_a=6.20595, nnz_b=10.6451, uni_search=0.653344, uni_subSolve=0.121432, uni_maintain=0.0541195, bi_search=1.13094, bi_subSolve=0.186241, bi_maintain=0.159501, admm_maintain=0.376383, area1=83.3471, area23=1.96931, area4=9.32312, dual_obj=-4234.87, p_obj=41936.7, heldout Acc=0.911984, overall time=71.1343
i=20, infea=0.004063, nnz_a=6.27986, nnz_b=10.7108, uni_search=0.717371, uni_subSolve=0.126861, uni_maintain=0.0572867, bi_search=1.22693, bi_subSolve=0.197556, bi_maintain=0.161973, admm_maintain=0.412188, area1=91.4114, area23=1.95233, area4=9.66651, dual_obj=-4314.71, p_obj=37600.1, heldout Acc=0.912246, overall time=75.3413
i=21, infea=0.00386497, nnz_a=6.3384, nnz_b=10.7527, uni_search=0.725786, uni_subSolve=0.128383, uni_maintain=0.0596773, bi_search=1.24717, bi_subSolve=0.198642, bi_maintain=0.164578, admm_maintain=0.382997, area1=99.9306, area23=1.93325, area4=10.0221, dual_obj=-4393.13, p_obj=37134.4, heldout Acc=0.912742, overall time=79.5377
i=22, infea=0.00367675, nnz_a=6.38273, nnz_b=10.773, uni_search=0.647294, uni_subSolve=0.123172, uni_maintain=0.0620738, bi_search=1.19862, bi_subSolve=0.191189, bi_maintain=0.166132, admm_maintain=0.377424, area1=108.841, area23=1.91482, area4=10.3807, dual_obj=-4469.85, p_obj=38106.7, heldout Acc=0.913166, overall time=83.5653
i=23, infea=0.00350314, nnz_a=6.41787, nnz_b=10.7787, uni_search=0.657307, uni_subSolve=0.124225, uni_maintain=0.0641558, bi_search=1.22769, bi_subSolve=0.192805, bi_maintain=0.167506, admm_maintain=0.363927, area1=118.179, area23=1.89533, area4=10.7098, dual_obj=-4545.82, p_obj=38429.9, heldout Acc=0.914123, overall time=87.6289
i=24, infea=0.00334006, nnz_a=6.4421, nnz_b=10.772, uni_search=0.646058, uni_subSolve=0.123744, uni_maintain=0.0659799, bi_search=1.26111, bi_subSolve=0.194526, bi_maintain=0.169087, admm_maintain=0.38944, area1=127.949, area23=1.87759, area4=11.0555, dual_obj=-4620.45, p_obj=39506.2, heldout Acc=0.915097, overall time=91.7736
i=25, infea=0.00318787, nnz_a=6.45921, nnz_b=10.7556, uni_search=0.736057, uni_subSolve=0.132095, uni_maintain=0.0694473, bi_search=1.35217, bi_subSolve=0.204539, bi_maintain=0.169019, admm_maintain=0.394443, area1=138.119, area23=1.85967, area4=11.399, dual_obj=-4694.68, p_obj=37455.4, heldout Acc=0.915124, overall time=96.1759
